experiment,kind,checkpoint_status,action,checkpoint,log_file,line
experiment-3,lsas_eval,BEST,OK,experiments/experiment-3/checkpoints/resnet18_lejepa_probe_best.pt,experiments/experiment-3/logs/eval_lejepa_47866114.out,28
experiment-3,lsas_eval,BEST,OK,experiments/experiment-3/checkpoints/resnet18_supervised_best.pt,experiments/experiment-3/logs/eval_supervised_47862209.err,11
experiment-3,lsas_eval,BEST,OK,experiments/experiment-3/checkpoints/resnet18_supervised_best.pt,experiments/experiment-3/logs/eval_supervised_47862209.out,28
experiment-3,lsas_eval,BEST,OK,experiments/experiment-3/checkpoints/resnet18_supervised_best.pt,experiments/experiment-3/logs/eval_supervised_47863282.out,28
experiment-c10-r18-lejepa,lsas_eval,BEST,OK,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_probe_best.pt,experiments/experiment-c10-r18-lejepa/logs/eval_lejepa_predicted_48096127.out,29
experiment-c10-r18-lejepa,lsas_eval,BEST,OK,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_probe_best.pt,experiments/experiment-c10-r18-lejepa/logs/eval_lejepa_true_48096130.out,29
experiment-c10-r18-lejepa,feature_spaces,LAST,RERUN_FEATURE_SPACES_WITH_BEST,outputs/checkpoints/resnet18_lejepa_backbone_last.pt,experiments/experiment-c10-r18-lejepa/logs/feature_spaces_lejepa_48106177.out,3
experiment-c10-r18-lejepa,feature_spaces,LAST,RERUN_FEATURE_SPACES_WITH_BEST,outputs/checkpoints/resnet18_lejepa_backbone_last.pt,experiments/experiment-c10-r18-lejepa/logs/feature_spaces_lejepa_48107092.out,3
experiment-c10-r18-lejepa,representation,BEST,OK,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_probe_best.pt,experiments/experiment-c10-r18-lejepa/logs/repr_lejepa_48096123.out,28
experiment-c10-r18-lejepa-light-config,lsas_eval,BEST,OK,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_probe_best.pt,experiments/experiment-c10-r18-lejepa-light-config/logs/eval_lejepa_predicted_48181100.out,29
experiment-c10-r18-lejepa-light-config,lsas_eval,BEST,OK,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_probe_best.pt,experiments/experiment-c10-r18-lejepa-light-config/logs/eval_lejepa_true_48181137.out,29
experiment-c10-r18-lejepa-light-config,feature_spaces,LAST,RERUN_FEATURE_SPACES_WITH_BEST,outputs/checkpoints/resnet18_lejepa_backbone_last.pt,experiments/experiment-c10-r18-lejepa-light-config/logs/feature_spaces_lejepa_48181099.out,3
experiment-c10-r18-lejepa-light-config,feature_spaces,LAST,RERUN_FEATURE_SPACES_WITH_BEST,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,experiments/experiment-c10-r18-lejepa-light-config/logs/feature_spaces_lejepa_48189225.out,4
experiment-c10-r18-lejepa-light-config,representation,BEST,OK,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_probe_best.pt,experiments/experiment-c10-r18-lejepa-light-config/logs/repr_lejepa_48181096.out,28
experiment-c10-r18-lejepa-light-v3,lsas_eval,BEST,OK,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_probe_best.pt,experiments/experiment-c10-r18-lejepa-light-v3/logs/eval_lejepa_predicted_48210500.out,29
experiment-c10-r18-lejepa-light-v3,lsas_eval,BEST,OK,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_probe_best.pt,experiments/experiment-c10-r18-lejepa-light-v3/logs/eval_lejepa_true_48210501.out,29
experiment-c10-r18-lejepa-light-v3,feature_spaces,LAST,RERUN_FEATURE_SPACES_WITH_BEST,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_last.pt,experiments/experiment-c10-r18-lejepa-light-v3/logs/feature_spaces_lejepa_48210499.out,2
