sample_idx,mode,layer,true_label,pred_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,backbone.layer1,3,1,0.6784042716026306,0.38930168747901917,0.5338529795408249
1,lejepa,backbone.layer1,8,0,-0.3988577723503113,0.3981338143348694,-0.00036197900772094727
2,lejepa,backbone.layer1,8,8,-0.5937995314598083,0.1565956026315689,-0.21860196441411972
3,lejepa,backbone.layer1,0,8,-0.04024120420217514,0.4544296860694885,0.2070942409336567
4,lejepa,backbone.layer1,6,6,0.14977633953094482,0.05073673278093338,0.1002565361559391
5,lejepa,backbone.layer1,6,6,0.0,0.0,0.0
6,lejepa,backbone.layer1,1,6,-0.4937484860420227,0.20213191211223602,-0.14580828696489334
7,lejepa,backbone.layer1,6,7,0.2648352086544037,0.04690341278910637,0.15586931072175503
8,lejepa,backbone.layer1,3,5,0.03431390970945358,0.037024009972810745,0.035668959841132164
9,lejepa,backbone.layer1,1,8,-0.548097550868988,0.19790895283222198,-0.17509429901838303
10,lejepa,backbone.layer1,0,8,0.686432957649231,0.24177587032318115,0.46410441398620605
11,lejepa,backbone.layer1,9,7,-0.08183900266885757,0.27052053809165955,0.09434076771140099
12,lejepa,backbone.layer1,5,6,0.617638885974884,0.19938620924949646,0.40851254761219025
13,lejepa,backbone.layer1,7,5,-0.051821205765008926,0.01092326920479536,-0.020448968280106783
14,lejepa,backbone.layer1,9,1,0.4772271513938904,0.289844810962677,0.3835359811782837
15,lejepa,backbone.layer1,8,1,-0.16340549290180206,0.2170606106519699,0.026827558875083923
16,lejepa,backbone.layer1,5,7,0.0,0.0,0.0
17,lejepa,backbone.layer1,7,1,-0.09835847467184067,0.1820218712091446,0.04183169826865196
18,lejepa,backbone.layer1,8,0,0.6392858624458313,0.5287644267082214,0.5840251445770264
19,lejepa,backbone.layer1,6,6,0.7029354572296143,0.26652762293815613,0.4847315400838852
20,lejepa,backbone.layer1,7,7,-0.1944645345211029,0.05018380656838417,-0.07214036397635937
21,lejepa,backbone.layer1,0,0,-0.727848470211029,0.28636130690574646,-0.2207435816526413
22,lejepa,backbone.layer1,4,5,0.11721047013998032,0.3468610346317291,0.23203575238585472
23,lejepa,backbone.layer1,9,7,0.0,0.0,0.0
24,lejepa,backbone.layer1,5,7,0.6820873022079468,0.15700751543045044,0.4195474088191986
25,lejepa,backbone.layer1,2,7,0.6806057095527649,0.36494046449661255,0.5227730870246887
26,lejepa,backbone.layer1,4,6,0.48686981201171875,0.16328592598438263,0.3250778689980507
27,lejepa,backbone.layer1,0,9,0.8994390964508057,0.4711849093437195,0.6853120028972626
28,lejepa,backbone.layer1,9,1,-0.10795839875936508,0.13610342144966125,0.014072511345148087
29,lejepa,backbone.layer1,6,6,0.0,0.0,0.0
30,lejepa,backbone.layer1,6,6,0.0,0.0,0.0
31,lejepa,backbone.layer1,5,6,0.1308039277791977,0.34835973381996155,0.23958183079957962
32,lejepa,backbone.layer1,4,5,0.4090752899646759,0.43694937229156494,0.4230123311281204
33,lejepa,backbone.layer1,5,7,0.0,0.0,0.0
34,lejepa,backbone.layer1,9,8,0.4579818844795227,0.3088145852088928,0.38339823484420776
35,lejepa,backbone.layer1,2,5,0.005963495466858149,0.008126121014356613,0.007044808240607381
36,lejepa,backbone.layer1,4,6,0.533008873462677,0.4669269323348999,0.49996790289878845
37,lejepa,backbone.layer1,1,9,0.35302865505218506,0.47624245285987854,0.4146355539560318
38,lejepa,backbone.layer1,9,7,-0.12490889430046082,0.30942490696907043,0.09225800633430481
39,lejepa,backbone.layer1,5,5,0.04932224750518799,0.34749820828437805,0.19841022789478302
40,lejepa,backbone.layer1,4,8,-0.3755701184272766,0.18023338913917542,-0.0976683646440506
41,lejepa,backbone.layer1,6,6,0.0,0.0,0.0
42,lejepa,backbone.layer1,5,5,0.34953469038009644,0.48183733224868774,0.4156860113143921
43,lejepa,backbone.layer1,6,6,0.0,0.0,0.0
44,lejepa,backbone.layer1,0,0,0.17931197583675385,0.28532570600509644,0.23231884092092514
45,lejepa,backbone.layer1,9,8,0.3644900918006897,0.38649508357048035,0.375492587685585
46,lejepa,backbone.layer1,3,6,0.30155450105667114,0.050691843032836914,0.17612317204475403
47,lejepa,backbone.layer1,9,8,0.467881441116333,0.3929581940174103,0.43041981756687164
48,lejepa,backbone.layer1,7,6,0.04059859365224838,0.029008399695158005,0.034803496673703194
49,lejepa,backbone.layer1,6,6,-0.0029935722704976797,0.0037697567604482174,0.00038809224497526884
50,lejepa,backbone.layer1,9,8,0.416176438331604,0.3605807423591614,0.3883785903453827
