architecture,checkpoint,feature_source,knn_k,knn_accuracy,knn_correct,knn_total,feature_dim,bank_samples,query_samples,temperature,bank_std_mean,bank_std_min,bank_norm_mean,query_std_mean,query_std_min,query_norm_mean,elapsed_minutes
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,1,0.4188,4188,10000,512,50000,10000,0.07,0.2663319706916809,0.13040024042129517,8.63608169555664,0.26618117094039917,0.12655209004878998,8.642631530761719,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,5,0.4669,4669,10000,512,50000,10000,0.07,0.2663319706916809,0.13040024042129517,8.63608169555664,0.26618117094039917,0.12655209004878998,8.642631530761719,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,10,0.4931,4931,10000,512,50000,10000,0.07,0.2663319706916809,0.13040024042129517,8.63608169555664,0.26618117094039917,0.12655209004878998,8.642631530761719,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,20,0.5098,5098,10000,512,50000,10000,0.07,0.2663319706916809,0.13040024042129517,8.63608169555664,0.26618117094039917,0.12655209004878998,8.642631530761719,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,50,0.5119,5119,10000,512,50000,10000,0.07,0.2663319706916809,0.13040024042129517,8.63608169555664,0.26618117094039917,0.12655209004878998,8.642631530761719,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,100,0.5085,5085,10000,512,50000,10000,0.07,0.2663319706916809,0.13040024042129517,8.63608169555664,0.26618117094039917,0.12655209004878998,8.642631530761719,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,projector,1,0.3978,3978,10000,256,50000,10000,0.07,1.0201765298843384,0.8827396035194397,16.338350296020508,1.0178674459457397,0.8676720857620239,16.317148208618164,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,projector,5,0.4357,4357,10000,256,50000,10000,0.07,1.0201765298843384,0.8827396035194397,16.338350296020508,1.0178674459457397,0.8676720857620239,16.317148208618164,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,projector,10,0.4523,4523,10000,256,50000,10000,0.07,1.0201765298843384,0.8827396035194397,16.338350296020508,1.0178674459457397,0.8676720857620239,16.317148208618164,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,projector,20,0.466,4660,10000,256,50000,10000,0.07,1.0201765298843384,0.8827396035194397,16.338350296020508,1.0178674459457397,0.8676720857620239,16.317148208618164,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,projector,50,0.4811,4811,10000,256,50000,10000,0.07,1.0201765298843384,0.8827396035194397,16.338350296020508,1.0178674459457397,0.8676720857620239,16.317148208618164,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,projector,100,0.4836,4836,10000,256,50000,10000,0.07,1.0201765298843384,0.8827396035194397,16.338350296020508,1.0178674459457397,0.8676720857620239,16.317148208618164,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,1,0.4062,4062,10000,256,50000,10000,0.07,2.709946870803833,2.2910027503967285,43.414127349853516,2.701129674911499,2.2525546550750732,43.3204231262207,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,5,0.4474,4474,10000,256,50000,10000,0.07,2.709946870803833,2.2910027503967285,43.414127349853516,2.701129674911499,2.2525546550750732,43.3204231262207,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,10,0.4619,4619,10000,256,50000,10000,0.07,2.709946870803833,2.2910027503967285,43.414127349853516,2.701129674911499,2.2525546550750732,43.3204231262207,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,20,0.4756,4756,10000,256,50000,10000,0.07,2.709946870803833,2.2910027503967285,43.414127349853516,2.701129674911499,2.2525546550750732,43.3204231262207,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,50,0.4826,4826,10000,256,50000,10000,0.07,2.709946870803833,2.2910027503967285,43.414127349853516,2.701129674911499,2.2525546550750732,43.3204231262207,0.8008909503618876
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,100,0.4846,4846,10000,256,50000,10000,0.07,2.709946870803833,2.2910027503967285,43.414127349853516,2.701129674911499,2.2525546550750732,43.3204231262207,0.8008909503618876
