architecture,checkpoint,feature_source,knn_k,knn_accuracy,knn_correct,knn_total,feature_dim,bank_samples,query_samples,temperature,bank_std_mean,bank_std_min,bank_norm_mean,query_std_mean,query_std_min,query_norm_mean,elapsed_minutes
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,backbone,1,0.4184,4184,10000,512,50000,10000,0.07,0.2657572627067566,0.12808048725128174,8.629420280456543,0.26563435792922974,0.12336663156747818,8.637042045593262,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,backbone,5,0.4679,4679,10000,512,50000,10000,0.07,0.2657572627067566,0.12808048725128174,8.629420280456543,0.26563435792922974,0.12336663156747818,8.637042045593262,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,backbone,10,0.4957,4957,10000,512,50000,10000,0.07,0.2657572627067566,0.12808048725128174,8.629420280456543,0.26563435792922974,0.12336663156747818,8.637042045593262,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,backbone,20,0.5075,5075,10000,512,50000,10000,0.07,0.2657572627067566,0.12808048725128174,8.629420280456543,0.26563435792922974,0.12336663156747818,8.637042045593262,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,backbone,50,0.5116,5116,10000,512,50000,10000,0.07,0.2657572627067566,0.12808048725128174,8.629420280456543,0.26563435792922974,0.12336663156747818,8.637042045593262,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,backbone,100,0.5082,5082,10000,512,50000,10000,0.07,0.2657572627067566,0.12808048725128174,8.629420280456543,0.26563435792922974,0.12336663156747818,8.637042045593262,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,projector,1,0.4004,4004,10000,256,50000,10000,0.07,1.0207154750823975,0.8834904432296753,16.354795455932617,1.0194836854934692,0.8682063221931458,16.35116195678711,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,projector,5,0.438,4380,10000,256,50000,10000,0.07,1.0207154750823975,0.8834904432296753,16.354795455932617,1.0194836854934692,0.8682063221931458,16.35116195678711,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,projector,10,0.4549,4549,10000,256,50000,10000,0.07,1.0207154750823975,0.8834904432296753,16.354795455932617,1.0194836854934692,0.8682063221931458,16.35116195678711,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,projector,20,0.4693,4693,10000,256,50000,10000,0.07,1.0207154750823975,0.8834904432296753,16.354795455932617,1.0194836854934692,0.8682063221931458,16.35116195678711,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,projector,50,0.4814,4814,10000,256,50000,10000,0.07,1.0207154750823975,0.8834904432296753,16.354795455932617,1.0194836854934692,0.8682063221931458,16.35116195678711,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,projector,100,0.4842,4842,10000,256,50000,10000,0.07,1.0207154750823975,0.8834904432296753,16.354795455932617,1.0194836854934692,0.8682063221931458,16.35116195678711,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,predictor,1,0.4071,4071,10000,256,50000,10000,0.07,2.700446367263794,2.280911445617676,43.276546478271484,2.6937620639801025,2.2386794090270996,43.21596908569336,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,predictor,5,0.4459,4459,10000,256,50000,10000,0.07,2.700446367263794,2.280911445617676,43.276546478271484,2.6937620639801025,2.2386794090270996,43.21596908569336,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,predictor,10,0.4643,4643,10000,256,50000,10000,0.07,2.700446367263794,2.280911445617676,43.276546478271484,2.6937620639801025,2.2386794090270996,43.21596908569336,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,predictor,20,0.4769,4769,10000,256,50000,10000,0.07,2.700446367263794,2.280911445617676,43.276546478271484,2.6937620639801025,2.2386794090270996,43.21596908569336,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,predictor,50,0.4832,4832,10000,256,50000,10000,0.07,2.700446367263794,2.280911445617676,43.276546478271484,2.6937620639801025,2.2386794090270996,43.21596908569336,0.9360698620478313
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-config/checkpoints/resnet18_lejepa_backbone_last.pt,predictor,100,0.4857,4857,10000,256,50000,10000,0.07,2.700446367263794,2.280911445617676,43.276546478271484,2.6937620639801025,2.2386794090270996,43.21596908569336,0.9360698620478313
