sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,true,backbone.layer1,3,2,3,0.008694805204868317,0.3488747775554657,0.178784791380167
1,lejepa,gradcam,true,backbone.layer1,8,1,8,0.1749582290649414,0.183930903673172,0.1794445663690567
2,lejepa,gradcam,true,backbone.layer1,8,8,8,0.1959933042526245,0.23445574939250946,0.21522452682256699
3,lejepa,gradcam,true,backbone.layer1,0,8,0,-0.1758388876914978,0.06319409608840942,-0.05632239580154419
4,lejepa,gradcam,true,backbone.layer1,6,6,6,0.5647228956222534,0.5127647519111633,0.5387438237667084
5,lejepa,gradcam,true,backbone.layer1,6,6,6,0.3072187006473541,0.4685826003551483,0.3879006505012512
6,lejepa,gradcam,true,backbone.layer1,1,8,1,0.1542123258113861,0.2147156149148941,0.1844639703631401
7,lejepa,gradcam,true,backbone.layer1,6,4,6,0.25090694427490234,0.42629802227020264,0.3386024832725525
8,lejepa,gradcam,true,backbone.layer1,3,3,3,0.053167860954999924,0.35958993434906006,0.20637889765203
9,lejepa,gradcam,true,backbone.layer1,1,1,1,0.1765151172876358,0.19378474354743958,0.1851499304175377
10,lejepa,gradcam,true,backbone.layer1,0,8,0,-0.012398714199662209,0.1312372088432312,0.059419247321784496
11,lejepa,gradcam,true,backbone.layer1,9,9,9,0.4357044994831085,0.4164993464946747,0.4261019229888916
12,lejepa,gradcam,true,backbone.layer1,5,1,5,0.0328158400952816,0.39043575525283813,0.21162579767405987
13,lejepa,gradcam,true,backbone.layer1,7,1,7,0.4517888128757477,0.2765207290649414,0.36415477097034454
14,lejepa,gradcam,true,backbone.layer1,9,9,9,0.4538375437259674,0.298450231552124,0.3761438876390457
15,lejepa,gradcam,true,backbone.layer1,8,6,8,-0.12545239925384521,0.23393939435482025,0.05424349755048752
16,lejepa,gradcam,true,backbone.layer1,5,5,5,-0.23351836204528809,0.23888370394706726,0.0026826709508895874
17,lejepa,gradcam,true,backbone.layer1,7,7,7,0.24479371309280396,0.4493893086910248,0.34709151089191437
18,lejepa,gradcam,true,backbone.layer1,8,8,8,0.17640574276447296,0.18748429417610168,0.18194501847028732
19,lejepa,gradcam,true,backbone.layer1,6,4,6,0.4019326865673065,0.46327173709869385,0.4326022118330002
20,lejepa,gradcam,true,backbone.layer1,7,1,7,0.6806050539016724,0.4645560681819916,0.572580561041832
21,lejepa,gradcam,true,backbone.layer1,0,0,0,-0.3532702922821045,0.17132622003555298,-0.09097203612327576
22,lejepa,gradcam,true,backbone.layer1,4,0,4,0.131404310464859,0.18254022300243378,0.1569722667336464
23,lejepa,gradcam,true,backbone.layer1,9,9,9,0.2260015606880188,0.2430570274591446,0.2345292940735817
24,lejepa,gradcam,true,backbone.layer1,5,4,5,-0.18356914818286896,0.3010297417640686,0.05873029679059982
25,lejepa,gradcam,true,backbone.layer1,2,2,2,-0.05210575461387634,0.2347991168498993,0.09134668111801147
26,lejepa,gradcam,true,backbone.layer1,4,5,4,0.312712699174881,0.36170315742492676,0.33720792829990387
27,lejepa,gradcam,true,backbone.layer1,0,7,0,-0.12984246015548706,0.15320837497711182,0.011682957410812378
28,lejepa,gradcam,true,backbone.layer1,9,1,9,-0.07036355137825012,0.08730725198984146,0.00847185030579567
29,lejepa,gradcam,true,backbone.layer1,6,6,6,0.1983259618282318,0.4963243305683136,0.3473251461982727
30,lejepa,gradcam,true,backbone.layer1,6,6,6,0.11222375929355621,0.38671043515205383,0.24946709722280502
31,lejepa,gradcam,true,backbone.layer1,5,7,5,0.1536373794078827,0.4941409230232239,0.3238891512155533
32,lejepa,gradcam,true,backbone.layer1,4,4,4,0.0294527355581522,0.4229944944381714,0.2262236149981618
33,lejepa,gradcam,true,backbone.layer1,5,5,5,0.3135935366153717,0.4392968714237213,0.3764452040195465
34,lejepa,gradcam,true,backbone.layer1,9,9,9,0.5223237872123718,0.4172413945198059,0.46978259086608887
35,lejepa,gradcam,true,backbone.layer1,2,3,2,-0.02953258715569973,0.24318143725395203,0.10682442504912615
36,lejepa,gradcam,true,backbone.layer1,4,6,4,0.11950086802244186,0.38790416717529297,0.2537025175988674
37,lejepa,gradcam,true,backbone.layer1,1,9,1,-0.10359717160463333,0.003815815318375826,-0.04989067814312875
38,lejepa,gradcam,true,backbone.layer1,9,6,9,-0.023867027834057808,0.06512469053268433,0.02062883134931326
39,lejepa,gradcam,true,backbone.layer1,5,8,5,0.04740532115101814,0.37880733609199524,0.2131063286215067
40,lejepa,gradcam,true,backbone.layer1,4,1,4,0.06788111478090286,0.40274250507354736,0.2353118099272251
41,lejepa,gradcam,true,backbone.layer1,6,6,6,0.5853084921836853,0.477716326713562,0.5315124094486237
42,lejepa,gradcam,true,backbone.layer1,5,2,5,0.38711047172546387,0.25491219758987427,0.32101133465766907
43,lejepa,gradcam,true,backbone.layer1,6,4,6,0.4149203598499298,0.4491121470928192,0.4320162534713745
44,lejepa,gradcam,true,backbone.layer1,0,0,0,0.4553178548812866,0.17031899094581604,0.31281842291355133
45,lejepa,gradcam,true,backbone.layer1,9,9,9,0.051574911922216415,0.17876990139484406,0.11517240665853024
46,lejepa,gradcam,true,backbone.layer1,3,3,3,-0.13747598230838776,0.22979342937469482,0.046158723533153534
47,lejepa,gradcam,true,backbone.layer1,9,9,9,0.14416107535362244,0.16873547434806824,0.15644827485084534
48,lejepa,gradcam,true,backbone.layer1,7,4,7,0.30288106203079224,0.45019131898880005,0.37653619050979614
49,lejepa,gradcam,true,backbone.layer1,6,6,6,0.4764544367790222,0.45736321806907654,0.4669088274240494
50,lejepa,gradcam,true,backbone.layer1,9,9,9,0.11280584335327148,0.23302824795246124,0.17291704565286636
51,lejepa,gradcam,true,backbone.layer1,8,8,8,-0.16501042246818542,0.11707434803247452,-0.023968037217855453
52,lejepa,gradcam,true,backbone.layer1,0,8,0,0.0,0.0,0.0
53,lejepa,gradcam,true,backbone.layer1,3,3,3,-0.1769808530807495,0.22307515144348145,0.023047149181365967
54,lejepa,gradcam,true,backbone.layer1,8,8,8,0.2574310898780823,0.27585262060165405,0.26664185523986816
55,lejepa,gradcam,true,backbone.layer1,8,8,8,-0.1509416103363037,0.25227952003479004,0.050668954849243164
56,lejepa,gradcam,true,backbone.layer1,7,5,7,0.3684283196926117,0.3594685196876526,0.36394841969013214
57,lejepa,gradcam,true,backbone.layer1,7,1,7,0.2827173173427582,0.37335988879203796,0.32803860306739807
58,lejepa,gradcam,true,backbone.layer1,4,6,4,-0.10668574273586273,0.1370946615934372,0.015204459428787231
59,lejepa,gradcam,true,backbone.layer1,6,5,6,0.3859122693538666,0.39542362093925476,0.39066794514656067
60,lejepa,gradcam,true,backbone.layer1,7,7,7,0.5713704824447632,0.360808789730072,0.4660896360874176
61,lejepa,gradcam,true,backbone.layer1,3,6,3,-0.030644260346889496,0.2960999011993408,0.13272782042622566
62,lejepa,gradcam,true,backbone.layer1,6,6,6,0.2649906277656555,0.43036943674087524,0.3476800322532654
63,lejepa,gradcam,true,backbone.layer1,3,7,3,0.22356528043746948,0.290729820728302,0.25714755058288574
0,lejepa,gradcam,true,backbone.layer2,3,2,3,-0.08356927335262299,0.2048494517803192,0.060640089213848114
1,lejepa,gradcam,true,backbone.layer2,8,1,8,0.296181321144104,0.5383912920951843,0.41728630661964417
2,lejepa,gradcam,true,backbone.layer2,8,8,8,0.24593795835971832,0.4442242383956909,0.3450810983777046
3,lejepa,gradcam,true,backbone.layer2,0,8,0,0.4972916543483734,0.4460832178592682,0.4716874361038208
4,lejepa,gradcam,true,backbone.layer2,6,6,6,-0.266368567943573,0.1861722767353058,-0.040098145604133606
5,lejepa,gradcam,true,backbone.layer2,6,6,6,-0.37370404601097107,0.19830536842346191,-0.08769933879375458
6,lejepa,gradcam,true,backbone.layer2,1,8,1,0.14834798872470856,0.37751027941703796,0.26292913407087326
7,lejepa,gradcam,true,backbone.layer2,6,4,6,0.34839534759521484,0.28480881452560425,0.31660208106040955
8,lejepa,gradcam,true,backbone.layer2,3,3,3,0.30969512462615967,0.1896376758813858,0.24966640025377274
9,lejepa,gradcam,true,backbone.layer2,1,1,1,0.0503397136926651,0.24990248680114746,0.15012110024690628
10,lejepa,gradcam,true,backbone.layer2,0,8,0,0.12383164465427399,0.5077762007713318,0.3158039227128029
11,lejepa,gradcam,true,backbone.layer2,9,9,9,-0.007729610428214073,0.22559407353401184,0.10893223155289888
12,lejepa,gradcam,true,backbone.layer2,5,1,5,0.23929330706596375,0.3259078860282898,0.28260059654712677
13,lejepa,gradcam,true,backbone.layer2,7,1,7,-0.11689777672290802,0.31174376606941223,0.0974229946732521
14,lejepa,gradcam,true,backbone.layer2,9,9,9,0.3362007141113281,0.4241006672382355,0.3801506906747818
15,lejepa,gradcam,true,backbone.layer2,8,6,8,-0.11158826947212219,0.34061717987060547,0.11451445519924164
16,lejepa,gradcam,true,backbone.layer2,5,5,5,0.17188583314418793,0.35013347864151,0.26100965589284897
17,lejepa,gradcam,true,backbone.layer2,7,7,7,-0.36777442693710327,0.17120800912380219,-0.09828320890665054
18,lejepa,gradcam,true,backbone.layer2,8,8,8,0.4693741202354431,0.5022057890892029,0.485789954662323
19,lejepa,gradcam,true,backbone.layer2,6,4,6,0.5692489147186279,0.36299148201942444,0.4661201983690262
20,lejepa,gradcam,true,backbone.layer2,7,1,7,-0.19661454856395721,0.12368399649858475,-0.036465276032686234
21,lejepa,gradcam,true,backbone.layer2,0,0,0,-0.4748677909374237,0.29177162051200867,-0.09154808521270752
22,lejepa,gradcam,true,backbone.layer2,4,0,4,0.0,0.0,0.0
23,lejepa,gradcam,true,backbone.layer2,9,9,9,-0.16876181960105896,0.27270644903182983,0.05197231471538544
24,lejepa,gradcam,true,backbone.layer2,5,4,5,0.08643195778131485,0.3786567747592926,0.23254436627030373
25,lejepa,gradcam,true,backbone.layer2,2,2,2,0.18770891427993774,0.4551457166671753,0.3214273154735565
26,lejepa,gradcam,true,backbone.layer2,4,5,4,-0.10677126049995422,0.22939236462116241,0.061310552060604095
27,lejepa,gradcam,true,backbone.layer2,0,7,0,0.5976598858833313,0.4327159523963928,0.5151879191398621
28,lejepa,gradcam,true,backbone.layer2,9,1,9,0.02920578047633171,0.3901233673095703,0.209664573892951
29,lejepa,gradcam,true,backbone.layer2,6,6,6,0.24922628700733185,0.32221347093582153,0.2857198789715767
