sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,predicted,backbone.layer1,3,3,3,0.04917168244719505,0.13049881160259247,0.08983524702489376
1,lejepa,gradcam,predicted,backbone.layer1,8,1,1,0.3279344141483307,0.44822025299072266,0.3880773335695267
2,lejepa,gradcam,predicted,backbone.layer1,8,8,8,0.2899303734302521,0.14655795693397522,0.21824416518211365
3,lejepa,gradcam,predicted,backbone.layer1,0,0,0,-0.14401687681674957,0.15606717765331268,0.006025150418281555
4,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.16694195568561554,0.48633384704589844,0.326637901365757
5,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.22510068118572235,0.353746235370636,0.28942345827817917
6,lejepa,gradcam,predicted,backbone.layer1,1,5,5,0.382246732711792,0.23150481283664703,0.3068757727742195
7,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.44816359877586365,0.44401228427886963,0.44608794152736664
8,lejepa,gradcam,predicted,backbone.layer1,3,3,3,0.21334724128246307,0.21261833608150482,0.21298278868198395
9,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.013804529793560505,0.19242356717586517,0.10311404848471284
10,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.016077982261776924,0.0691291019320488,0.04260354209691286
11,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.33650481700897217,0.36253830790519714,0.34952156245708466
12,lejepa,gradcam,predicted,backbone.layer1,5,6,6,0.27938705682754517,0.44248971343040466,0.3609383851289749
13,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.3464295566082001,0.2871277928352356,0.31677867472171783
14,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.4971567988395691,0.3579076826572418,0.42753224074840546
15,lejepa,gradcam,predicted,backbone.layer1,8,6,6,0.5266632437705994,0.4875282645225525,0.5070957541465759
16,lejepa,gradcam,predicted,backbone.layer1,5,5,5,-0.09733680635690689,0.09585896134376526,-0.000738922506570816
17,lejepa,gradcam,predicted,backbone.layer1,7,6,6,0.3934122323989868,0.43679726123809814,0.4151047468185425
18,lejepa,gradcam,predicted,backbone.layer1,8,8,8,0.1739659607410431,0.20963063836097717,0.19179829955101013
19,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.3236722946166992,0.4502168595790863,0.38694457709789276
20,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.5040416717529297,0.3170850872993469,0.4105633795261383
21,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.5303995609283447,0.2690112292766571,0.3997053951025009
22,lejepa,gradcam,predicted,backbone.layer1,4,4,4,0.3775118291378021,0.08107391744852066,0.2292928732931614
23,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.08498361706733704,0.378084272146225,0.231533944606781
24,lejepa,gradcam,predicted,backbone.layer1,5,4,4,0.030820073559880257,0.012907636351883411,0.021863854955881834
25,lejepa,gradcam,predicted,backbone.layer1,2,2,2,0.2319677472114563,0.140057772397995,0.18601275980472565
26,lejepa,gradcam,predicted,backbone.layer1,4,7,7,0.1393517106771469,0.3524307906627655,0.2458912506699562
27,lejepa,gradcam,predicted,backbone.layer1,0,7,7,0.39079394936561584,0.36672496795654297,0.3787594586610794
28,lejepa,gradcam,predicted,backbone.layer1,9,7,7,0.2580087184906006,0.22487127780914307,0.24143999814987183
29,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.21738316118717194,0.38992300629615784,0.3036530837416649
30,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.2581420838832855,0.3962964117527008,0.32721924781799316
31,lejepa,gradcam,predicted,backbone.layer1,5,7,7,0.3890742063522339,0.47877752780914307,0.4339258670806885
32,lejepa,gradcam,predicted,backbone.layer1,4,4,4,-0.0072913262993097305,0.22341015934944153,0.1080594165250659
33,lejepa,gradcam,predicted,backbone.layer1,5,5,5,0.24850118160247803,0.3193567097187042,0.2839289456605911
