sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,true,backbone.layer1,3,3,3,0.04917168244719505,0.13049881160259247,0.08983524702489376
1,lejepa,gradcam,true,backbone.layer1,8,1,8,0.29577186703681946,0.31246957182884216,0.3041207194328308
2,lejepa,gradcam,true,backbone.layer1,8,8,8,0.2899303734302521,0.14655795693397522,0.21824416518211365
3,lejepa,gradcam,true,backbone.layer1,0,0,0,-0.14401687681674957,0.15606717765331268,0.006025150418281555
4,lejepa,gradcam,true,backbone.layer1,6,6,6,0.16778405010700226,0.4862635135650635,0.32702378183603287
5,lejepa,gradcam,true,backbone.layer1,6,6,6,0.22510068118572235,0.353746235370636,0.28942345827817917
6,lejepa,gradcam,true,backbone.layer1,1,5,1,0.3115084767341614,0.40507033467292786,0.3582894057035446
7,lejepa,gradcam,true,backbone.layer1,6,6,6,0.44816359877586365,0.44401228427886963,0.44608794152736664
8,lejepa,gradcam,true,backbone.layer1,3,3,3,0.21334724128246307,0.21261833608150482,0.21298278868198395
9,lejepa,gradcam,true,backbone.layer1,1,1,1,0.013804529793560505,0.19242356717586517,0.10311404848471284
10,lejepa,gradcam,true,backbone.layer1,0,0,0,0.016077982261776924,0.0691291019320488,0.04260354209691286
11,lejepa,gradcam,true,backbone.layer1,9,9,9,0.33650481700897217,0.36253830790519714,0.34952156245708466
12,lejepa,gradcam,true,backbone.layer1,5,6,5,-0.11764025688171387,0.03324022516608238,-0.04220001585781574
13,lejepa,gradcam,true,backbone.layer1,7,7,7,0.3464295566082001,0.2871277928352356,0.31677867472171783
14,lejepa,gradcam,true,backbone.layer1,9,9,9,0.4971567988395691,0.3579076826572418,0.42753224074840546
15,lejepa,gradcam,true,backbone.layer1,8,6,8,-0.13576753437519073,0.12598444521427155,-0.004891544580459595
16,lejepa,gradcam,true,backbone.layer1,5,5,5,-0.09733680635690689,0.09585896134376526,-0.000738922506570816
17,lejepa,gradcam,true,backbone.layer1,7,6,7,-0.009177136234939098,0.3087589740753174,0.14979091892018914
18,lejepa,gradcam,true,backbone.layer1,8,8,8,0.1739659607410431,0.20963063836097717,0.19179829955101013
