architecture,checkpoint,feature_source,knn_k,knn_accuracy,knn_correct,knn_total,feature_dim,bank_samples,query_samples,temperature,bank_std_mean,bank_std_min,bank_norm_mean,query_std_mean,query_std_min,query_norm_mean,elapsed_minutes
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,1,0.4606,4606,10000,512,50000,10000,0.07,0.24691830575466156,0.14595206081867218,8.377859115600586,0.2463623583316803,0.1441442221403122,8.369256973266602,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,5,0.5121,5121,10000,512,50000,10000,0.07,0.24691830575466156,0.14595206081867218,8.377859115600586,0.2463623583316803,0.1441442221403122,8.369256973266602,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,10,0.5357,5357,10000,512,50000,10000,0.07,0.24691830575466156,0.14595206081867218,8.377859115600586,0.2463623583316803,0.1441442221403122,8.369256973266602,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,20,0.5495,5495,10000,512,50000,10000,0.07,0.24691830575466156,0.14595206081867218,8.377859115600586,0.2463623583316803,0.1441442221403122,8.369256973266602,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,50,0.5534,5534,10000,512,50000,10000,0.07,0.24691830575466156,0.14595206081867218,8.377859115600586,0.2463623583316803,0.1441442221403122,8.369256973266602,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,100,0.5458,5458,10000,512,50000,10000,0.07,0.24691830575466156,0.14595206081867218,8.377859115600586,0.2463623583316803,0.1441442221403122,8.369256973266602,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,projector,1,0.4235,4235,10000,256,50000,10000,0.07,1.0025686025619507,0.872473418712616,16.06376075744629,0.9970871806144714,0.8603318333625793,15.989171981811523,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,projector,5,0.463,4630,10000,256,50000,10000,0.07,1.0025686025619507,0.872473418712616,16.06376075744629,0.9970871806144714,0.8603318333625793,15.989171981811523,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,projector,10,0.4839,4839,10000,256,50000,10000,0.07,1.0025686025619507,0.872473418712616,16.06376075744629,0.9970871806144714,0.8603318333625793,15.989171981811523,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,projector,20,0.5012,5012,10000,256,50000,10000,0.07,1.0025686025619507,0.872473418712616,16.06376075744629,0.9970871806144714,0.8603318333625793,15.989171981811523,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,projector,50,0.5119,5119,10000,256,50000,10000,0.07,1.0025686025619507,0.872473418712616,16.06376075744629,0.9970871806144714,0.8603318333625793,15.989171981811523,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,projector,100,0.5152,5152,10000,256,50000,10000,0.07,1.0025686025619507,0.872473418712616,16.06376075744629,0.9970871806144714,0.8603318333625793,15.989171981811523,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,1,0.4354,4354,10000,256,50000,10000,0.07,2.1245510578155518,1.8159023523330688,34.03944396972656,2.112658739089966,1.79555344581604,33.87594223022461,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,5,0.4781,4781,10000,256,50000,10000,0.07,2.1245510578155518,1.8159023523330688,34.03944396972656,2.112658739089966,1.79555344581604,33.87594223022461,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,10,0.4956,4956,10000,256,50000,10000,0.07,2.1245510578155518,1.8159023523330688,34.03944396972656,2.112658739089966,1.79555344581604,33.87594223022461,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,20,0.5067,5067,10000,256,50000,10000,0.07,2.1245510578155518,1.8159023523330688,34.03944396972656,2.112658739089966,1.79555344581604,33.87594223022461,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,50,0.5155,5155,10000,256,50000,10000,0.07,2.1245510578155518,1.8159023523330688,34.03944396972656,2.112658739089966,1.79555344581604,33.87594223022461,0.8111947735150655
resnet18_cifar,experiments/experiment-c10-r18-lejepa-light-v3/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,100,0.5166,5166,10000,256,50000,10000,0.07,2.1245510578155518,1.8159023523330688,34.03944396972656,2.112658739089966,1.79555344581604,33.87594223022461,0.8111947735150655
