sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,predicted,backbone.layer1,3,2,2,-0.29209062457084656,0.01879994571208954,-0.1366453394293785
1,lejepa,gradcam,predicted,backbone.layer1,8,1,1,0.3608962297439575,0.49616605043411255,0.42853114008903503
2,lejepa,gradcam,predicted,backbone.layer1,8,8,8,0.3469543755054474,0.3151470422744751,0.33105070888996124
3,lejepa,gradcam,predicted,backbone.layer1,0,8,8,-0.24689140915870667,0.16678981482982635,-0.040050797164440155
4,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.44689565896987915,0.5008727312088013,0.4738841950893402
5,lejepa,gradcam,predicted,backbone.layer1,6,6,6,-0.0010166496504098177,0.3192651569843292,0.1591242536669597
6,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.2903272807598114,0.2793521285057068,0.2848397046327591
7,lejepa,gradcam,predicted,backbone.layer1,6,4,4,-0.1771637499332428,0.06512260437011719,-0.056020572781562805
8,lejepa,gradcam,predicted,backbone.layer1,3,5,5,-0.3427451252937317,0.05724175274372101,-0.14275168627500534
9,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.15644019842147827,0.3355425000190735,0.24599134922027588
10,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.021347088739275932,0.31566473841667175,0.16850591357797384
11,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.3519209027290344,0.4361482560634613,0.39403457939624786
12,lejepa,gradcam,predicted,backbone.layer1,5,4,4,-0.1276901662349701,0.011504163965582848,-0.05809300113469362
13,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.4577130675315857,0.304307222366333,0.38101014494895935
14,lejepa,gradcam,predicted,backbone.layer1,9,8,8,-0.14356198906898499,0.09271374344825745,-0.02542412281036377
15,lejepa,gradcam,predicted,backbone.layer1,8,9,9,0.2298254519701004,0.4081735610961914,0.3189995065331459
16,lejepa,gradcam,predicted,backbone.layer1,5,5,5,0.21086670458316803,0.37103092670440674,0.2909488156437874
17,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.013375959359109402,0.21916218101978302,0.11626907018944621
18,lejepa,gradcam,predicted,backbone.layer1,8,1,1,0.12791959941387177,0.4550965130329132,0.2915080562233925
19,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.4118427038192749,0.48047804832458496,0.44616037607192993
20,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.4794149696826935,0.3859815299510956,0.43269824981689453
21,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.5635603666305542,0.18878428637981415,0.3761723265051842
22,lejepa,gradcam,predicted,backbone.layer1,4,0,0,0.08753285557031631,0.37823545932769775,0.23288415744900703
23,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.16543133556842804,0.2869512438774109,0.22619128972291946
24,lejepa,gradcam,predicted,backbone.layer1,5,4,4,0.062441159039735794,0.217304065823555,0.1398726124316454
25,lejepa,gradcam,predicted,backbone.layer1,2,2,2,-0.17505784332752228,0.022925345227122307,-0.07606624905019999
26,lejepa,gradcam,predicted,backbone.layer1,4,6,6,0.40903782844543457,0.4547934830188751,0.43191565573215485
27,lejepa,gradcam,predicted,backbone.layer1,0,7,7,0.5270971059799194,0.35340604186058044,0.44025157392024994
28,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.3827851712703705,0.418173611164093,0.40047939121723175
29,lejepa,gradcam,predicted,backbone.layer1,6,4,4,-0.3618758022785187,0.1456523984670639,-0.10811170190572739
30,lejepa,gradcam,predicted,backbone.layer1,6,6,6,-0.13862241804599762,0.19307221472263336,0.02722489833831787
31,lejepa,gradcam,predicted,backbone.layer1,5,4,4,0.5607271194458008,0.407970130443573,0.4843486249446869
32,lejepa,gradcam,predicted,backbone.layer1,4,4,4,-0.007489655166864395,0.03762853518128395,0.015069440007209778
33,lejepa,gradcam,predicted,backbone.layer1,5,5,5,0.01508247945457697,0.292592853307724,0.15383766638115048
34,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.5474250316619873,0.5902242660522461,0.5688246488571167
35,lejepa,gradcam,predicted,backbone.layer1,2,3,3,-0.16323696076869965,0.03809283301234245,-0.0625720638781786
36,lejepa,gradcam,predicted,backbone.layer1,4,4,4,0.21565291285514832,0.29132893681526184,0.2534909248352051
37,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.14419235289096832,0.24189205467700958,0.19304220378398895
38,lejepa,gradcam,predicted,backbone.layer1,9,7,7,0.38216859102249146,0.41300415992736816,0.3975863754749298
39,lejepa,gradcam,predicted,backbone.layer1,5,9,9,0.246077299118042,0.3904053866863251,0.31824134290218353
40,lejepa,gradcam,predicted,backbone.layer1,4,0,0,-0.13518211245536804,0.14395007491111755,0.004383981227874756
41,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.07484661787748337,0.25171011686325073,0.16327836737036705
42,lejepa,gradcam,predicted,backbone.layer1,5,5,5,-0.04750441387295723,0.19266200065612793,0.07257879339158535
43,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.22944462299346924,0.42939361929893494,0.3294191211462021
44,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.1645236313343048,0.1244681179523468,0.1444958746433258
45,lejepa,gradcam,predicted,backbone.layer1,9,1,1,0.3081941306591034,0.2723303437232971,0.29026223719120026
46,lejepa,gradcam,predicted,backbone.layer1,3,5,5,-0.015238389372825623,0.24631944298744202,0.1155405268073082
47,lejepa,gradcam,predicted,backbone.layer1,9,6,6,0.587489902973175,0.5314911603927612,0.5594905316829681
48,lejepa,gradcam,predicted,backbone.layer1,7,4,4,0.021310333162546158,0.203719824552536,0.11251507885754108
49,lejepa,gradcam,predicted,backbone.layer1,6,4,4,-0.18139202892780304,0.030360640957951546,-0.07551569398492575
50,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.008951699361205101,0.30974650382995605,0.15934910159558058
51,lejepa,gradcam,predicted,backbone.layer1,8,8,8,0.2911171615123749,0.3156926929950714,0.30340492725372314
52,lejepa,gradcam,predicted,backbone.layer1,0,4,4,0.6026159524917603,0.38858360052108765,0.49559977650642395
53,lejepa,gradcam,predicted,backbone.layer1,3,5,5,0.06357285380363464,0.2536633014678955,0.15861807763576508
54,lejepa,gradcam,predicted,backbone.layer1,8,8,8,0.17847208678722382,0.26005181670188904,0.21926195174455643
55,lejepa,gradcam,predicted,backbone.layer1,8,8,8,0.39577698707580566,0.39394235610961914,0.3948596715927124
56,lejepa,gradcam,predicted,backbone.layer1,7,5,5,-0.24009805917739868,0.08339998126029968,-0.0783490389585495
57,lejepa,gradcam,predicted,backbone.layer1,7,8,8,0.7519519329071045,0.5220171213150024,0.6369845271110535
58,lejepa,gradcam,predicted,backbone.layer1,4,3,3,0.3706396222114563,0.3679141700267792,0.36927689611911774
59,lejepa,gradcam,predicted,backbone.layer1,6,2,2,0.04095076024532318,0.22255977988243103,0.1317552700638771
60,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.5849102735519409,0.47955596446990967,0.5322331190109253
