sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,true,backbone.layer1,3,2,3,0.07183804363012314,0.2993702292442322,0.18560413643717766
1,lejepa,gradcam,true,backbone.layer1,8,1,8,0.0684267058968544,0.09418629109859467,0.08130649849772453
2,lejepa,gradcam,true,backbone.layer1,8,8,8,0.3469543755054474,0.3151470422744751,0.33105070888996124
3,lejepa,gradcam,true,backbone.layer1,0,8,0,-0.0883416011929512,0.2331850826740265,0.07242174074053764
4,lejepa,gradcam,true,backbone.layer1,6,6,6,0.44606253504753113,0.5002791285514832,0.47317083179950714
5,lejepa,gradcam,true,backbone.layer1,6,6,6,-0.0010166496504098177,0.3192651569843292,0.1591242536669597
6,lejepa,gradcam,true,backbone.layer1,1,1,1,0.2903272807598114,0.2793521285057068,0.2848397046327591
7,lejepa,gradcam,true,backbone.layer1,6,4,6,0.443013995885849,0.41507136821746826,0.42904268205165863
8,lejepa,gradcam,true,backbone.layer1,3,5,3,0.11954112350940704,0.3230779469013214,0.22130953520536423
9,lejepa,gradcam,true,backbone.layer1,1,1,1,0.15644019842147827,0.3355425000190735,0.24599134922027588
10,lejepa,gradcam,true,backbone.layer1,0,0,0,0.021347088739275932,0.31566473841667175,0.16850591357797384
11,lejepa,gradcam,true,backbone.layer1,9,9,9,0.3519209027290344,0.4361482560634613,0.39403457939624786
12,lejepa,gradcam,true,backbone.layer1,5,4,5,-0.17644281685352325,0.13245521485805511,-0.02199380099773407
13,lejepa,gradcam,true,backbone.layer1,7,7,7,0.4577130675315857,0.304307222366333,0.38101014494895935
14,lejepa,gradcam,true,backbone.layer1,9,8,9,0.10438179969787598,0.35291263461112976,0.22864721715450287
15,lejepa,gradcam,true,backbone.layer1,8,9,8,-0.31214848160743713,0.1037728562951088,-0.10418781265616417
16,lejepa,gradcam,true,backbone.layer1,5,5,5,0.21086670458316803,0.37103092670440674,0.2909488156437874
17,lejepa,gradcam,true,backbone.layer1,7,7,7,0.013375959359109402,0.21916218101978302,0.11626907018944621
18,lejepa,gradcam,true,backbone.layer1,8,1,8,0.15754786133766174,0.33620941638946533,0.24687863886356354
19,lejepa,gradcam,true,backbone.layer1,6,6,6,0.4118427038192749,0.48047804832458496,0.44616037607192993
20,lejepa,gradcam,true,backbone.layer1,7,7,7,0.4794149696826935,0.3859815299510956,0.43269824981689453
