sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,predicted,backbone.layer1,3,3,3,0.07640333473682404,0.2850593328475952,0.18073133379220963
1,lejepa,gradcam,predicted,backbone.layer1,8,8,8,0.06169666349887848,0.23197931051254272,0.1468379870057106
2,lejepa,gradcam,predicted,backbone.layer1,8,8,8,0.14064817130565643,0.18077346682548523,0.16071081906557083
3,lejepa,gradcam,predicted,backbone.layer1,0,0,0,-0.1594158262014389,0.2166726440191269,0.028628408908843994
4,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.18033228814601898,0.45621341466903687,0.3182728514075279
5,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.3194160759449005,0.47185656428337097,0.39563632011413574
6,lejepa,gradcam,predicted,backbone.layer1,1,0,0,0.2358342856168747,0.25617337226867676,0.24600382894277573
7,lejepa,gradcam,predicted,backbone.layer1,6,2,2,0.05980794504284859,0.18881504237651825,0.12431149370968342
8,lejepa,gradcam,predicted,backbone.layer1,3,3,3,-0.05351029336452484,0.22154325246810913,0.08401647955179214
9,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.1200120598077774,0.13146211206912994,0.12573708593845367
10,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.03948528319597244,0.312602698802948,0.17604399099946022
11,lejepa,gradcam,predicted,backbone.layer1,9,9,9,-0.10707522183656693,0.1030443087220192,-0.0020154565572738647
12,lejepa,gradcam,predicted,backbone.layer1,5,5,5,0.22654537856578827,0.301954060792923,0.2642497196793556
13,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.1748754233121872,0.2201409786939621,0.19750820100307465
14,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.2076607644557953,0.204070046544075,0.20586540549993515
15,lejepa,gradcam,predicted,backbone.layer1,8,8,8,0.48881998658180237,0.3527739942073822,0.4207969903945923
16,lejepa,gradcam,predicted,backbone.layer1,5,5,5,-0.023992661386728287,0.09147769212722778,0.03374251537024975
17,lejepa,gradcam,predicted,backbone.layer1,7,6,6,0.24589942395687103,0.3938785195350647,0.31988897174596786
18,lejepa,gradcam,predicted,backbone.layer1,8,1,1,-0.16269022226333618,0.1668047159910202,0.0020572468638420105
19,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.03996819630265236,0.3802355229854584,0.21010185964405537
20,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.11627921462059021,0.28066983819007874,0.19847452640533447
21,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.7841390371322632,0.38722896575927734,0.5856840014457703
22,lejepa,gradcam,predicted,backbone.layer1,4,4,4,0.18868455290794373,0.08348871022462845,0.1360866315662861
23,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.27728885412216187,0.3120970129966736,0.2946929335594177
24,lejepa,gradcam,predicted,backbone.layer1,5,4,4,0.10638020187616348,0.33426347374916077,0.22032183781266212
25,lejepa,gradcam,predicted,backbone.layer1,2,2,2,0.40384820103645325,0.46249163150787354,0.4331699162721634
26,lejepa,gradcam,predicted,backbone.layer1,4,4,4,-0.044995442032814026,0.043896496295928955,-0.0005494728684425354
27,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.035561032593250275,0.08926278352737427,0.06241190806031227
28,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.15543420612812042,0.1049078032374382,0.1301710046827793
29,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.21634109318256378,0.40729743242263794,0.31181926280260086
30,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.3551119267940521,0.4929655194282532,0.42403872311115265
31,lejepa,gradcam,predicted,backbone.layer1,5,5,5,0.45179563760757446,0.38968780636787415,0.4207417219877243
32,lejepa,gradcam,predicted,backbone.layer1,4,4,4,0.012104099616408348,0.3594929575920105,0.18579852860420942
33,lejepa,gradcam,predicted,backbone.layer1,5,3,3,0.45216843485832214,0.37237659096717834,0.41227251291275024
34,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.056019727140665054,0.3814806342124939,0.21875018067657948
35,lejepa,gradcam,predicted,backbone.layer1,2,5,5,0.3170376420021057,0.35727211833000183,0.33715488016605377
36,lejepa,gradcam,predicted,backbone.layer1,4,7,7,-0.016154533252120018,0.05361943691968918,0.01873245183378458
37,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.3701717257499695,0.31515803933143616,0.3426648825407028
38,lejepa,gradcam,predicted,backbone.layer1,9,9,9,-0.07138143479824066,0.01646890863776207,-0.027456263080239296
39,lejepa,gradcam,predicted,backbone.layer1,5,8,8,0.2115565538406372,0.18782830238342285,0.19969242811203003
40,lejepa,gradcam,predicted,backbone.layer1,4,0,0,0.04562217369675636,0.2060871124267578,0.1258546430617571
41,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.2686772048473358,0.3246021568775177,0.29663968086242676
42,lejepa,gradcam,predicted,backbone.layer1,5,5,5,-0.05823107063770294,0.07645325362682343,0.009111091494560242
43,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.34881699085235596,0.48789748549461365,0.4183572381734848
44,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.4278614819049835,0.2266371101140976,0.32724929600954056
45,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.35952308773994446,0.24820880591869354,0.303865946829319
46,lejepa,gradcam,predicted,backbone.layer1,3,3,3,0.00784880667924881,0.025721808895468712,0.01678530778735876
47,lejepa,gradcam,predicted,backbone.layer1,9,9,9,-0.11708691716194153,0.07484214752912521,-0.021122384816408157
48,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.09211954474449158,0.02223963290452957,0.057179588824510574
49,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.2832164764404297,0.4994121491909027,0.3913143128156662
50,lejepa,gradcam,predicted,backbone.layer1,9,2,2,0.535843551158905,0.39289548993110657,0.4643695205450058
51,lejepa,gradcam,predicted,backbone.layer1,8,8,8,-0.1425887495279312,0.04635671153664589,-0.04811601899564266
52,lejepa,gradcam,predicted,backbone.layer1,0,5,5,-0.07120401412248611,0.2322978526353836,0.08054691925644875
53,lejepa,gradcam,predicted,backbone.layer1,3,3,3,0.058318089693784714,0.23410797119140625,0.14621303044259548
54,lejepa,gradcam,predicted,backbone.layer1,8,8,8,0.31787219643592834,0.29953014850616455,0.30870117247104645
55,lejepa,gradcam,predicted,backbone.layer1,8,8,8,0.2982047498226166,0.23206977546215057,0.2651372626423836
56,lejepa,gradcam,predicted,backbone.layer1,7,5,5,0.12968793511390686,0.17721733450889587,0.15345263481140137
57,lejepa,gradcam,predicted,backbone.layer1,7,8,8,0.2722371816635132,0.34027746319770813,0.30625732243061066
58,lejepa,gradcam,predicted,backbone.layer1,4,3,3,0.26242345571517944,0.44409504532814026,0.35325925052165985
59,lejepa,gradcam,predicted,backbone.layer1,6,2,2,0.080682672560215,0.18372248113155365,0.13220257684588432
60,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.33971309661865234,0.3228451907634735,0.3312791436910629
61,lejepa,gradcam,predicted,backbone.layer1,3,5,5,-0.00787785928696394,0.16118648648262024,0.07665431359782815
62,lejepa,gradcam,predicted,backbone.layer1,6,1,1,0.3632154166698456,0.4072554409503937,0.38523542881011963
63,lejepa,gradcam,predicted,backbone.layer1,3,8,8,0.04264446720480919,0.1803344190120697,0.11148944310843945
0,lejepa,gradcam,predicted,backbone.layer2,3,3,3,0.05629530921578407,0.30529454350471497,0.18079492636024952
1,lejepa,gradcam,predicted,backbone.layer2,8,8,8,0.6096328496932983,0.4635314345359802,0.5365821421146393
2,lejepa,gradcam,predicted,backbone.layer2,8,8,8,0.24466048181056976,0.4280131757259369,0.3363368287682533
3,lejepa,gradcam,predicted,backbone.layer2,0,0,0,0.18516580760478973,0.48237231373786926,0.3337690606713295
4,lejepa,gradcam,predicted,backbone.layer2,6,6,6,-0.19636216759681702,0.20225593447685242,0.0029468834400177
5,lejepa,gradcam,predicted,backbone.layer2,6,6,6,-0.01708194985985756,0.33164945244789124,0.15728375129401684
6,lejepa,gradcam,predicted,backbone.layer2,1,0,0,0.14305570721626282,0.304488867521286,0.22377228736877441
7,lejepa,gradcam,predicted,backbone.layer2,6,2,2,0.4363788962364197,0.3267767131328583,0.381577804684639
8,lejepa,gradcam,predicted,backbone.layer2,3,3,3,0.40018296241760254,0.3313469886779785,0.3657649755477905
9,lejepa,gradcam,predicted,backbone.layer2,1,1,1,0.029644424095749855,0.29704540967941284,0.16334491688758135
10,lejepa,gradcam,predicted,backbone.layer2,0,0,0,0.06816759705543518,0.3735262453556061,0.22084692120552063
11,lejepa,gradcam,predicted,backbone.layer2,9,9,9,-0.06107519567012787,0.2860664427280426,0.11249562352895737
12,lejepa,gradcam,predicted,backbone.layer2,5,5,5,0.3739563524723053,0.43978068232536316,0.40686851739883423
13,lejepa,gradcam,predicted,backbone.layer2,7,7,7,0.5185474157333374,0.33658114075660706,0.42756427824497223
14,lejepa,gradcam,predicted,backbone.layer2,9,9,9,0.5282140970230103,0.42793598771095276,0.4780750423669815
15,lejepa,gradcam,predicted,backbone.layer2,8,8,8,0.18257255852222443,0.24943727254867554,0.21600491553544998
16,lejepa,gradcam,predicted,backbone.layer2,5,5,5,0.28869545459747314,0.3046557307243347,0.29667559266090393
17,lejepa,gradcam,predicted,backbone.layer2,7,6,6,0.007833207957446575,0.2644176483154297,0.13612542813643813
18,lejepa,gradcam,predicted,backbone.layer2,8,1,1,-0.021530643105506897,0.26398053765296936,0.12122494727373123
19,lejepa,gradcam,predicted,backbone.layer2,6,6,6,-0.031036721542477608,0.34435564279556274,0.15665946062654257
20,lejepa,gradcam,predicted,backbone.layer2,7,7,7,-0.2545809745788574,0.451132595539093,0.0982758104801178
21,lejepa,gradcam,predicted,backbone.layer2,0,0,0,0.0,0.0,0.0
22,lejepa,gradcam,predicted,backbone.layer2,4,4,4,-0.13104601204395294,0.19858095049858093,0.033767469227313995
23,lejepa,gradcam,predicted,backbone.layer2,9,9,9,0.001980007393285632,0.31290149688720703,0.15744075214024633
24,lejepa,gradcam,predicted,backbone.layer2,5,4,4,0.18992793560028076,0.3860706686973572,0.28799930214881897
25,lejepa,gradcam,predicted,backbone.layer2,2,2,2,-0.11996068805456161,0.3611639142036438,0.12060161307454109
26,lejepa,gradcam,predicted,backbone.layer2,4,4,4,0.006344466935843229,0.23435427248477936,0.1203493697103113
27,lejepa,gradcam,predicted,backbone.layer2,0,0,0,0.5428210496902466,0.5386026501655579,0.5407118499279022
28,lejepa,gradcam,predicted,backbone.layer2,9,9,9,-0.10375358909368515,0.20623916387557983,0.05124278739094734
29,lejepa,gradcam,predicted,backbone.layer2,6,6,6,-0.1749604493379593,0.25073540210723877,0.03788747638463974
30,lejepa,gradcam,predicted,backbone.layer2,6,6,6,-0.2060222029685974,0.24737292528152466,0.020675361156463623
31,lejepa,gradcam,predicted,backbone.layer2,5,5,5,-0.2957138121128082,0.20490743219852448,-0.045403189957141876
32,lejepa,gradcam,predicted,backbone.layer2,4,4,4,0.32472625374794006,0.32442471385002136,0.3245754837989807
33,lejepa,gradcam,predicted,backbone.layer2,5,3,3,0.22181448340415955,0.4780271351337433,0.3499208092689514
34,lejepa,gradcam,predicted,backbone.layer2,9,9,9,0.36294296383857727,0.3754824697971344,0.36921271681785583
35,lejepa,gradcam,predicted,backbone.layer2,2,5,5,-0.01080037746578455,0.18314622342586517,0.08617292298004031
36,lejepa,gradcam,predicted,backbone.layer2,4,7,7,0.26033034920692444,0.4000551998615265,0.33019277453422546
37,lejepa,gradcam,predicted,backbone.layer2,1,1,1,-0.15544259548187256,0.3280072510242462,0.08628232777118683
38,lejepa,gradcam,predicted,backbone.layer2,9,9,9,-0.07026904076337814,0.30746662616729736,0.11859879270195961
39,lejepa,gradcam,predicted,backbone.layer2,5,8,8,0.08146495372056961,0.17929092049598694,0.13037793710827827
40,lejepa,gradcam,predicted,backbone.layer2,4,0,0,0.08625558018684387,0.33681049942970276,0.21153303980827332
41,lejepa,gradcam,predicted,backbone.layer2,6,6,6,0.6107686758041382,0.33702272176742554,0.47389569878578186
42,lejepa,gradcam,predicted,backbone.layer2,5,5,5,0.14685964584350586,0.42071235179901123,0.28378599882125854
43,lejepa,gradcam,predicted,backbone.layer2,6,6,6,0.022068850696086884,0.2962368428707123,0.15915284678339958
44,lejepa,gradcam,predicted,backbone.layer2,0,0,0,0.5093079805374146,0.45173147320747375,0.48051972687244415
45,lejepa,gradcam,predicted,backbone.layer2,9,9,9,-0.23816165328025818,0.13219912350177765,-0.052981264889240265
46,lejepa,gradcam,predicted,backbone.layer2,3,3,3,-0.03914821147918701,0.24244262278079987,0.10164720565080643
47,lejepa,gradcam,predicted,backbone.layer2,9,9,9,0.6288009881973267,0.4024994671344757,0.5156502276659012
48,lejepa,gradcam,predicted,backbone.layer2,7,7,7,-0.202531099319458,0.1817922592163086,-0.010369420051574707
49,lejepa,gradcam,predicted,backbone.layer2,6,6,6,0.15748479962348938,0.3563186526298523,0.25690172612667084
50,lejepa,gradcam,predicted,backbone.layer2,9,2,2,-0.23584473133087158,0.1825408637523651,-0.026651933789253235
51,lejepa,gradcam,predicted,backbone.layer2,8,8,8,0.07721669971942902,0.22269634902477264,0.14995652437210083
52,lejepa,gradcam,predicted,backbone.layer2,0,5,5,-0.07824871689081192,0.1752346158027649,0.048492949455976486
53,lejepa,gradcam,predicted,backbone.layer2,3,3,3,-0.07222124189138412,0.07589610666036606,0.0018374323844909668
54,lejepa,gradcam,predicted,backbone.layer2,8,8,8,0.07186371088027954,0.13071823120117188,0.10129097104072571
55,lejepa,gradcam,predicted,backbone.layer2,8,8,8,0.22530338168144226,0.2364715188741684,0.23088745027780533
56,lejepa,gradcam,predicted,backbone.layer2,7,5,5,0.28424307703971863,0.33225762844085693,0.3082503527402878
57,lejepa,gradcam,predicted,backbone.layer2,7,8,8,0.21624472737312317,0.1670255810022354,0.1916351541876793
58,lejepa,gradcam,predicted,backbone.layer2,4,3,3,-0.22013050317764282,0.24653349816799164,0.013201497495174408
59,lejepa,gradcam,predicted,backbone.layer2,6,2,2,0.03583573177456856,0.46452194452285767,0.2501788381487131
60,lejepa,gradcam,predicted,backbone.layer2,7,7,7,0.4733184278011322,0.18551404774188995,0.3294162377715111
61,lejepa,gradcam,predicted,backbone.layer2,3,5,5,-0.10708194226026535,0.3748430013656616,0.13388052955269814
62,lejepa,gradcam,predicted,backbone.layer2,6,1,1,-0.3372360169887543,0.2871556282043457,-0.025040194392204285
63,lejepa,gradcam,predicted,backbone.layer2,3,8,8,-0.20823344588279724,0.23988991975784302,0.015828236937522888
0,lejepa,gradcam,predicted,backbone.layer3,3,3,3,-0.13479942083358765,0.4609198570251465,0.16306021809577942
1,lejepa,gradcam,predicted,backbone.layer3,8,8,8,-0.23923204839229584,0.45309746265411377,0.10693270713090897
2,lejepa,gradcam,predicted,backbone.layer3,8,8,8,0.11006750911474228,0.14356528222560883,0.12681639567017555
3,lejepa,gradcam,predicted,backbone.layer3,0,0,0,0.5944152474403381,0.49233463406562805,0.5433749407529831
4,lejepa,gradcam,predicted,backbone.layer3,6,6,6,0.10456589609384537,0.45923125743865967,0.2818985767662525
5,lejepa,gradcam,predicted,backbone.layer3,6,6,6,0.5678614377975464,0.5146709084510803,0.5412661731243134
6,lejepa,gradcam,predicted,backbone.layer3,1,0,0,-0.22557295858860016,0.3081294000148773,0.04127822071313858
7,lejepa,gradcam,predicted,backbone.layer3,6,2,2,0.03602536395192146,0.44924432039260864,0.24263484217226505
8,lejepa,gradcam,predicted,backbone.layer3,3,3,3,0.4183805286884308,0.36370086669921875,0.39104069769382477
9,lejepa,gradcam,predicted,backbone.layer3,1,1,1,0.7883997559547424,0.6431050896644592,0.7157524228096008
10,lejepa,gradcam,predicted,backbone.layer3,0,0,0,-0.4203369617462158,0.3147631585597992,-0.05278690159320831
11,lejepa,gradcam,predicted,backbone.layer3,9,9,9,0.692243754863739,0.6151384711265564,0.6536911129951477
12,lejepa,gradcam,predicted,backbone.layer3,5,5,5,0.747778594493866,0.4061979055404663,0.5769882500171661
13,lejepa,gradcam,predicted,backbone.layer3,7,7,7,0.8441795110702515,0.33621639013290405,0.5901979506015778
14,lejepa,gradcam,predicted,backbone.layer3,9,9,9,0.18367084860801697,0.5480234026908875,0.3658471256494522
15,lejepa,gradcam,predicted,backbone.layer3,8,8,8,-0.27871257066726685,0.3531191349029541,0.03720328211784363
16,lejepa,gradcam,predicted,backbone.layer3,5,5,5,0.7082148194313049,0.3846132755279541,0.5464140474796295
17,lejepa,gradcam,predicted,backbone.layer3,7,6,6,0.4392898976802826,0.5680174231529236,0.5036536604166031
18,lejepa,gradcam,predicted,backbone.layer3,8,1,1,0.44855374097824097,0.31858494877815247,0.3835693448781967
19,lejepa,gradcam,predicted,backbone.layer3,6,6,6,0.5128052234649658,0.49358782172203064,0.5031965225934982
20,lejepa,gradcam,predicted,backbone.layer3,7,7,7,0.14375528693199158,0.26986217498779297,0.20680873095989227
21,lejepa,gradcam,predicted,backbone.layer3,0,0,0,0.004723716527223587,0.15555913746356964,0.08014142699539661
22,lejepa,gradcam,predicted,backbone.layer3,4,4,4,-0.2940306067466736,0.35053014755249023,0.028249770402908325
23,lejepa,gradcam,predicted,backbone.layer3,9,9,9,0.6671558022499084,0.6282829642295837,0.6477193832397461
24,lejepa,gradcam,predicted,backbone.layer3,5,4,4,-0.13716968894004822,0.3128698170185089,0.08785006403923035
25,lejepa,gradcam,predicted,backbone.layer3,2,2,2,-0.1869998276233673,0.23552857339382172,0.024264372885227203
26,lejepa,gradcam,predicted,backbone.layer3,4,4,4,-0.0673079565167427,0.3890475332736969,0.1608697883784771
27,lejepa,gradcam,predicted,backbone.layer3,0,0,0,-0.29160720109939575,0.35263344645500183,0.03051312267780304
28,lejepa,gradcam,predicted,backbone.layer3,9,9,9,0.17870323359966278,0.5324667096138,0.3555849716067314
29,lejepa,gradcam,predicted,backbone.layer3,6,6,6,-0.2945834994316101,0.2737976312637329,-0.010392934083938599
30,lejepa,gradcam,predicted,backbone.layer3,6,6,6,0.3724285662174225,0.5578287839889526,0.46512867510318756
31,lejepa,gradcam,predicted,backbone.layer3,5,5,5,0.6936694979667664,0.3706391155719757,0.532154306769371
32,lejepa,gradcam,predicted,backbone.layer3,4,4,4,-0.37951013445854187,0.28572767972946167,-0.0468912273645401
33,lejepa,gradcam,predicted,backbone.layer3,5,3,3,-0.3282887637615204,0.46263429522514343,0.06717276573181152
34,lejepa,gradcam,predicted,backbone.layer3,9,9,9,-0.280511736869812,0.4500575363636017,0.08477289974689484
35,lejepa,gradcam,predicted,backbone.layer3,2,5,5,0.7650662064552307,0.4179907441139221,0.5915284752845764
36,lejepa,gradcam,predicted,backbone.layer3,4,7,7,0.558120846748352,0.3547714948654175,0.45644617080688477
37,lejepa,gradcam,predicted,backbone.layer3,1,1,1,0.6499574184417725,0.39308029413223267,0.5215188562870026
38,lejepa,gradcam,predicted,backbone.layer3,9,9,9,0.6905809640884399,0.4306696951389313,0.5606253296136856
39,lejepa,gradcam,predicted,backbone.layer3,5,8,8,0.12672626972198486,0.1802746057510376,0.15350043773651123
