sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,predicted,backbone.layer1,3,3,3,0.3069729506969452,0.2964264750480652,0.3016997128725052
1,lejepa,gradcam,predicted,backbone.layer1,8,1,1,-0.03180237486958504,0.25015130639076233,0.10917446576058865
2,lejepa,gradcam,predicted,backbone.layer1,8,8,8,0.15816965699195862,0.2578631341457367,0.20801639556884766
3,lejepa,gradcam,predicted,backbone.layer1,0,8,8,0.5217784643173218,0.3285844027996063,0.42518143355846405
4,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.4666678011417389,0.5201964378356934,0.4934321194887161
5,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.6489916443824768,0.6013430953025818,0.6251673698425293
6,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.209237739443779,0.33435991406440735,0.27179882675409317
7,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.32935285568237305,0.41913095116615295,0.374241903424263
8,lejepa,gradcam,predicted,backbone.layer1,3,3,3,0.39126476645469666,0.1733672320842743,0.2823159992694855
9,lejepa,gradcam,predicted,backbone.layer1,1,1,1,-0.2107866257429123,0.11037152260541916,-0.05020755156874657
10,lejepa,gradcam,predicted,backbone.layer1,0,0,0,-0.5955353379249573,0.09155058115720749,-0.2519923783838749
11,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.04726289212703705,0.37822699546813965,0.21274494379758835
12,lejepa,gradcam,predicted,backbone.layer1,5,5,5,0.6115729212760925,0.30413517355918884,0.4578540474176407
13,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.41567838191986084,0.31925180554389954,0.3674650937318802
14,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.15777046978473663,0.20835551619529724,0.18306299299001694
15,lejepa,gradcam,predicted,backbone.layer1,8,6,6,0.489910364151001,0.42104366421699524,0.4554770141839981
16,lejepa,gradcam,predicted,backbone.layer1,5,5,5,0.36712831258773804,0.4793393611907959,0.42323383688926697
17,lejepa,gradcam,predicted,backbone.layer1,7,4,4,0.18004386126995087,0.3209887742996216,0.2505163177847862
18,lejepa,gradcam,predicted,backbone.layer1,8,8,8,-3.417597690713592e-05,0.07933232188224792,0.039649072952670394
19,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.5119248032569885,0.5462688207626343,0.5290968120098114
20,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.7629600167274475,0.6112498641014099,0.6871049404144287
