sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,true,backbone.layer1,3,3,3,0.3069729506969452,0.2964264750480652,0.3016997128725052
1,lejepa,gradcam,true,backbone.layer1,8,1,8,-0.17561271786689758,0.05230763554573059,-0.061652541160583496
2,lejepa,gradcam,true,backbone.layer1,8,8,8,0.15816965699195862,0.2578631341457367,0.20801639556884766
3,lejepa,gradcam,true,backbone.layer1,0,8,0,-0.1896229386329651,0.24746651947498322,0.028921790421009064
4,lejepa,gradcam,true,backbone.layer1,6,6,6,0.4666678011417389,0.5201964378356934,0.4934321194887161
5,lejepa,gradcam,true,backbone.layer1,6,6,6,0.6489916443824768,0.6013430953025818,0.6251673698425293
6,lejepa,gradcam,true,backbone.layer1,1,1,1,0.209237739443779,0.33435991406440735,0.27179882675409317
7,lejepa,gradcam,true,backbone.layer1,6,6,6,0.32935285568237305,0.41913095116615295,0.374241903424263
8,lejepa,gradcam,true,backbone.layer1,3,3,3,0.39126476645469666,0.1733672320842743,0.2823159992694855
9,lejepa,gradcam,true,backbone.layer1,1,1,1,-0.2107866257429123,0.11037152260541916,-0.05020755156874657
10,lejepa,gradcam,true,backbone.layer1,0,0,0,-0.5955353379249573,0.09155058115720749,-0.2519923783838749
11,lejepa,gradcam,true,backbone.layer1,9,9,9,0.04726289212703705,0.37822699546813965,0.21274494379758835
12,lejepa,gradcam,true,backbone.layer1,5,5,5,0.6115729212760925,0.30413517355918884,0.4578540474176407
13,lejepa,gradcam,true,backbone.layer1,7,7,7,0.41567838191986084,0.31925180554389954,0.3674650937318802
14,lejepa,gradcam,true,backbone.layer1,9,9,9,0.15777046978473663,0.20835551619529724,0.18306299299001694
15,lejepa,gradcam,true,backbone.layer1,8,6,8,-0.2564117908477783,0.044467099010944366,-0.10597234591841698
16,lejepa,gradcam,true,backbone.layer1,5,5,5,0.36712831258773804,0.4793393611907959,0.42323383688926697
17,lejepa,gradcam,true,backbone.layer1,7,4,7,0.19367064535617828,0.308370441198349,0.25102054327726364
18,lejepa,gradcam,true,backbone.layer1,8,8,8,-3.417597690713592e-05,0.07933232188224792,0.039649072952670394
19,lejepa,gradcam,true,backbone.layer1,6,6,6,0.5119248032569885,0.5462688207626343,0.5290968120098114
20,lejepa,gradcam,true,backbone.layer1,7,7,7,0.7629600167274475,0.6112498641014099,0.6871049404144287
21,lejepa,gradcam,true,backbone.layer1,0,0,0,-0.04957824572920799,0.004837233107537031,-0.02237050631083548
22,lejepa,gradcam,true,backbone.layer1,4,0,4,0.0,0.0,0.0
23,lejepa,gradcam,true,backbone.layer1,9,9,9,0.17477813363075256,0.33728015422821045,0.2560291439294815
24,lejepa,gradcam,true,backbone.layer1,5,4,5,0.18622727692127228,0.23593398928642273,0.2110806331038475
25,lejepa,gradcam,true,backbone.layer1,2,2,2,-0.1126469075679779,0.1604141741991043,0.023883633315563202
26,lejepa,gradcam,true,backbone.layer1,4,4,4,0.7118518352508545,0.47570860385894775,0.5937802195549011
27,lejepa,gradcam,true,backbone.layer1,0,2,0,-0.03574711084365845,0.007511309813708067,-0.01411790051497519
28,lejepa,gradcam,true,backbone.layer1,9,9,9,-0.09167376160621643,0.08109825849533081,-0.00528775155544281
29,lejepa,gradcam,true,backbone.layer1,6,6,6,0.32368215918540955,0.5272863507270813,0.4254842549562454
30,lejepa,gradcam,true,backbone.layer1,6,6,6,0.35303086042404175,0.44516170024871826,0.39909628033638
31,lejepa,gradcam,true,backbone.layer1,5,7,5,0.14300596714019775,0.2189413458108902,0.18097365647554398
32,lejepa,gradcam,true,backbone.layer1,4,4,4,0.281009316444397,0.32222017645835876,0.30161474645137787
33,lejepa,gradcam,true,backbone.layer1,5,5,5,0.5593904852867126,0.510552167892456,0.5349713265895844
34,lejepa,gradcam,true,backbone.layer1,9,9,9,-0.0911371037364006,0.18512538075447083,0.04699413850903511
35,lejepa,gradcam,true,backbone.layer1,2,3,2,0.12469752877950668,0.20300886034965515,0.16385319456458092
36,lejepa,gradcam,true,backbone.layer1,4,4,4,-0.13369476795196533,0.1456238031387329,0.005964517593383789
37,lejepa,gradcam,true,backbone.layer1,1,9,1,0.40207546949386597,0.46423107385635376,0.43315327167510986
38,lejepa,gradcam,true,backbone.layer1,9,9,9,0.01523646805435419,0.16842946410179138,0.09183296607807279
39,lejepa,gradcam,true,backbone.layer1,5,5,5,0.48513638973236084,0.2476525902748108,0.3663944900035858
40,lejepa,gradcam,true,backbone.layer1,4,9,4,0.1537160873413086,0.06897962093353271,0.11134785413742065
41,lejepa,gradcam,true,backbone.layer1,6,6,6,0.31293588876724243,0.3570924997329712,0.3350141942501068
42,lejepa,gradcam,true,backbone.layer1,5,5,5,-0.013349782675504684,0.16930483281612396,0.07797752507030964
43,lejepa,gradcam,true,backbone.layer1,6,6,6,0.6013607978820801,0.5613052845001221,0.5813330411911011
44,lejepa,gradcam,true,backbone.layer1,0,0,0,0.43642860651016235,0.28415873646736145,0.3602936714887619
45,lejepa,gradcam,true,backbone.layer1,9,9,9,-0.2404356598854065,0.3273138403892517,0.04343909025192261
46,lejepa,gradcam,true,backbone.layer1,3,3,3,-0.10467749089002609,0.05353234335780144,-0.025572573766112328
47,lejepa,gradcam,true,backbone.layer1,9,9,9,-0.01729639619588852,0.11795129626989365,0.050327450037002563
48,lejepa,gradcam,true,backbone.layer1,7,4,7,0.26653599739074707,0.25521302223205566,0.26087450981140137
49,lejepa,gradcam,true,backbone.layer1,6,4,6,0.41034868359565735,0.45305734872817993,0.43170301616191864
50,lejepa,gradcam,true,backbone.layer1,9,9,9,-0.12670572102069855,0.25760504603385925,0.06544966250658035
51,lejepa,gradcam,true,backbone.layer1,8,8,8,-0.13072264194488525,0.0420038178563118,-0.04435941204428673
52,lejepa,gradcam,true,backbone.layer1,0,5,0,-0.06345786154270172,0.01794685237109661,-0.022755504585802555
53,lejepa,gradcam,true,backbone.layer1,3,3,3,-0.15096189081668854,0.11637399345636368,-0.01729394868016243
54,lejepa,gradcam,true,backbone.layer1,8,8,8,0.3257993757724762,0.331926167011261,0.3288627713918686
55,lejepa,gradcam,true,backbone.layer1,8,8,8,0.4826951324939728,0.12769752740859985,0.3051963299512863
56,lejepa,gradcam,true,backbone.layer1,7,5,7,-0.12442789226770401,0.1251583993434906,0.0003652535378932953
57,lejepa,gradcam,true,backbone.layer1,7,5,7,0.1357368677854538,0.16290664672851562,0.1493217572569847
58,lejepa,gradcam,true,backbone.layer1,4,6,4,0.14907117187976837,0.34320762753486633,0.24613939970731735
59,lejepa,gradcam,true,backbone.layer1,6,3,6,0.5410064458847046,0.5549085140228271,0.5479574799537659
60,lejepa,gradcam,true,backbone.layer1,7,7,7,0.5695813298225403,0.5145169496536255,0.5420491397380829
61,lejepa,gradcam,true,backbone.layer1,3,5,3,0.3689254820346832,0.24979613721370697,0.3093608096241951
62,lejepa,gradcam,true,backbone.layer1,6,6,6,0.519042432308197,0.47853636741638184,0.49878939986228943
63,lejepa,gradcam,true,backbone.layer1,3,9,3,0.16240112483501434,0.2741628885269165,0.21828200668096542
0,lejepa,gradcam,true,backbone.layer2,3,3,3,0.09303410351276398,0.29975417256355286,0.19639413803815842
1,lejepa,gradcam,true,backbone.layer2,8,1,8,0.41084355115890503,0.3854448199272156,0.3981441855430603
2,lejepa,gradcam,true,backbone.layer2,8,8,8,0.43016141653060913,0.327639639377594,0.37890052795410156
3,lejepa,gradcam,true,backbone.layer2,0,8,0,-0.221140056848526,0.33432838320732117,0.05659416317939758
4,lejepa,gradcam,true,backbone.layer2,6,6,6,0.3685859143733978,0.5453577637672424,0.45697183907032013
5,lejepa,gradcam,true,backbone.layer2,6,6,6,0.512948215007782,0.3899248540401459,0.45143653452396393
6,lejepa,gradcam,true,backbone.layer2,1,1,1,-0.18190309405326843,0.37905409932136536,0.09857550263404846
7,lejepa,gradcam,true,backbone.layer2,6,6,6,0.17462985217571259,0.17180322110652924,0.1732165366411209
8,lejepa,gradcam,true,backbone.layer2,3,3,3,0.1402958780527115,0.19381152093410492,0.1670536994934082
9,lejepa,gradcam,true,backbone.layer2,1,1,1,0.1326695829629898,0.33351221680641174,0.23309089988470078
10,lejepa,gradcam,true,backbone.layer2,0,0,0,-0.36600005626678467,0.3829362988471985,0.00846812129020691
11,lejepa,gradcam,true,backbone.layer2,9,9,9,-0.10795596987009048,0.23277997970581055,0.06241200491786003
12,lejepa,gradcam,true,backbone.layer2,5,5,5,-0.020343123003840446,0.2534368634223938,0.11654687020927668
13,lejepa,gradcam,true,backbone.layer2,7,7,7,-0.0634852796792984,0.21720626950263977,0.07686049491167068
14,lejepa,gradcam,true,backbone.layer2,9,9,9,0.3048577606678009,0.4166790544986725,0.3607684075832367
15,lejepa,gradcam,true,backbone.layer2,8,6,8,0.5202319025993347,0.4831494092941284,0.5016906559467316
