architecture,checkpoint,feature_source,knn_k,knn_accuracy,knn_correct,knn_total,feature_dim,bank_samples,query_samples,temperature,bank_std_mean,bank_std_min,bank_norm_mean,query_std_mean,query_std_min,query_norm_mean,elapsed_minutes
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,backbone,1,0.4214,4214,10000,512,50000,10000,0.07,0.23342768847942352,0.1313943713903427,6.833449840545654,0.23286476731300354,0.12826085090637207,6.837223052978516,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,backbone,5,0.4728,4728,10000,512,50000,10000,0.07,0.23342768847942352,0.1313943713903427,6.833449840545654,0.23286476731300354,0.12826085090637207,6.837223052978516,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,backbone,10,0.4964,4964,10000,512,50000,10000,0.07,0.23342768847942352,0.1313943713903427,6.833449840545654,0.23286476731300354,0.12826085090637207,6.837223052978516,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,backbone,20,0.5116,5116,10000,512,50000,10000,0.07,0.23342768847942352,0.1313943713903427,6.833449840545654,0.23286476731300354,0.12826085090637207,6.837223052978516,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,backbone,50,0.5176,5176,10000,512,50000,10000,0.07,0.23342768847942352,0.1313943713903427,6.833449840545654,0.23286476731300354,0.12826085090637207,6.837223052978516,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,backbone,100,0.5181,5181,10000,512,50000,10000,0.07,0.23342768847942352,0.1313943713903427,6.833449840545654,0.23286476731300354,0.12826085090637207,6.837223052978516,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,projector,1,0.3953,3953,10000,512,50000,10000,0.07,1.0195403099060059,0.8683364987373352,23.075666427612305,1.0142812728881836,0.8589223027229309,22.975025177001953,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,projector,5,0.423,4230,10000,512,50000,10000,0.07,1.0195403099060059,0.8683364987373352,23.075666427612305,1.0142812728881836,0.8589223027229309,22.975025177001953,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,projector,10,0.4428,4428,10000,512,50000,10000,0.07,1.0195403099060059,0.8683364987373352,23.075666427612305,1.0142812728881836,0.8589223027229309,22.975025177001953,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,projector,20,0.4526,4526,10000,512,50000,10000,0.07,1.0195403099060059,0.8683364987373352,23.075666427612305,1.0142812728881836,0.8589223027229309,22.975025177001953,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,projector,50,0.4653,4653,10000,512,50000,10000,0.07,1.0195403099060059,0.8683364987373352,23.075666427612305,1.0142812728881836,0.8589223027229309,22.975025177001953,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,projector,100,0.4673,4673,10000,512,50000,10000,0.07,1.0195403099060059,0.8683364987373352,23.075666427612305,1.0142812728881836,0.8589223027229309,22.975025177001953,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,predictor,1,0.393,3930,10000,512,50000,10000,0.07,2.3503129482269287,1.9740058183670044,53.17822265625,2.3364157676696777,1.93747079372406,52.904029846191406,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,predictor,5,0.4301,4301,10000,512,50000,10000,0.07,2.3503129482269287,1.9740058183670044,53.17822265625,2.3364157676696777,1.93747079372406,52.904029846191406,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,predictor,10,0.4512,4512,10000,512,50000,10000,0.07,2.3503129482269287,1.9740058183670044,53.17822265625,2.3364157676696777,1.93747079372406,52.904029846191406,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,predictor,20,0.4609,4609,10000,512,50000,10000,0.07,2.3503129482269287,1.9740058183670044,53.17822265625,2.3364157676696777,1.93747079372406,52.904029846191406,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,predictor,50,0.4677,4677,10000,512,50000,10000,0.07,2.3503129482269287,1.9740058183670044,53.17822265625,2.3364157676696777,1.93747079372406,52.904029846191406,0.558133316040039
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v4-proj-512/checkpoints/resnet18_lejepa_backbone_last.pt,predictor,100,0.4755,4755,10000,512,50000,10000,0.07,2.3503129482269287,1.9740058183670044,53.17822265625,2.3364157676696777,1.93747079372406,52.904029846191406,0.558133316040039
