sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,predicted,backbone.layer1,3,2,2,-0.09677719324827194,0.00823669508099556,-0.04427024908363819
1,lejepa,gradcam,predicted,backbone.layer1,8,8,8,-0.0685993880033493,0.003700514091178775,-0.032449436956085265
2,lejepa,gradcam,predicted,backbone.layer1,8,8,8,-0.05418539047241211,0.002023962326347828,-0.02608071407303214
3,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.05910276994109154,0.29526129364967346,0.1771820317953825
4,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.6577440500259399,0.5758439302444458,0.6167939901351929
5,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.5624439716339111,0.5557137131690979,0.5590788424015045
6,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.22214318811893463,0.31600868701934814,0.2690759375691414
7,lejepa,gradcam,predicted,backbone.layer1,6,4,4,-0.15672647953033447,0.23108862340450287,0.0371810719370842
8,lejepa,gradcam,predicted,backbone.layer1,3,3,3,-0.21775956451892853,0.04131648316979408,-0.08822154067456722
9,lejepa,gradcam,predicted,backbone.layer1,1,9,9,-0.2237897664308548,0.14190880954265594,-0.040940478444099426
10,lejepa,gradcam,predicted,backbone.layer1,0,0,0,-0.34278562664985657,0.1795763522386551,-0.08160463720560074
11,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.10995645076036453,0.38891369104385376,0.24943507090210915
12,lejepa,gradcam,predicted,backbone.layer1,5,6,6,0.5085840225219727,0.47069117426872253,0.4896375983953476
13,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.27728918194770813,0.3080046772956848,0.29264692962169647
14,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.14780306816101074,0.35478290915489197,0.25129298865795135
15,lejepa,gradcam,predicted,backbone.layer1,8,9,9,0.4508805572986603,0.32457008957862854,0.3877253234386444
16,lejepa,gradcam,predicted,backbone.layer1,5,5,5,-0.15213046967983246,0.08730897307395935,-0.032410748302936554
17,lejepa,gradcam,predicted,backbone.layer1,7,0,0,-0.2707347571849823,0.04664665460586548,-0.11204405128955841
18,lejepa,gradcam,predicted,backbone.layer1,8,1,1,-0.23622414469718933,0.2800002992153168,0.02188807725906372
19,lejepa,gradcam,predicted,backbone.layer1,6,4,4,-0.0479096844792366,0.18836143612861633,0.07022587582468987
20,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.6276869177818298,0.40484291315078735,0.5162649154663086
21,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.8613647818565369,0.5809379816055298,0.7211513817310333
22,lejepa,gradcam,predicted,backbone.layer1,4,0,0,-0.05099909007549286,0.1927427053451538,0.07087180763483047
23,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.3735078275203705,0.40932852029800415,0.3914181739091873
24,lejepa,gradcam,predicted,backbone.layer1,5,4,4,0.012713920325040817,0.1943163275718689,0.10351512394845486
