sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,true,backbone.layer1,3,2,3,-0.19897589087486267,0.17273150384426117,-0.01312219351530075
1,lejepa,gradcam,true,backbone.layer1,8,8,8,-0.0685993880033493,0.003700514091178775,-0.032449436956085265
2,lejepa,gradcam,true,backbone.layer1,8,8,8,-0.05418539047241211,0.002023962326347828,-0.02608071407303214
3,lejepa,gradcam,true,backbone.layer1,0,0,0,0.05910276994109154,0.29526129364967346,0.1771820317953825
4,lejepa,gradcam,true,backbone.layer1,6,6,6,0.6577440500259399,0.5758439302444458,0.6167939901351929
5,lejepa,gradcam,true,backbone.layer1,6,6,6,0.5624439716339111,0.5557137131690979,0.5590788424015045
6,lejepa,gradcam,true,backbone.layer1,1,1,1,0.22214318811893463,0.31600868701934814,0.2690759375691414
7,lejepa,gradcam,true,backbone.layer1,6,4,6,0.06679364293813705,0.3390783667564392,0.20293600484728813
8,lejepa,gradcam,true,backbone.layer1,3,3,3,-0.21775956451892853,0.04131648316979408,-0.08822154067456722
9,lejepa,gradcam,true,backbone.layer1,1,9,1,-0.14025820791721344,0.21474170684814453,0.037241749465465546
10,lejepa,gradcam,true,backbone.layer1,0,0,0,-0.34278562664985657,0.1795763522386551,-0.08160463720560074
11,lejepa,gradcam,true,backbone.layer1,9,9,9,0.10995645076036453,0.38891369104385376,0.24943507090210915
12,lejepa,gradcam,true,backbone.layer1,5,6,5,-0.16582398116588593,0.07303770631551743,-0.04639313742518425
13,lejepa,gradcam,true,backbone.layer1,7,7,7,0.27728918194770813,0.3080046772956848,0.29264692962169647
14,lejepa,gradcam,true,backbone.layer1,9,9,9,0.14780306816101074,0.35478290915489197,0.25129298865795135
15,lejepa,gradcam,true,backbone.layer1,8,9,8,-0.21031881868839264,0.09588143229484558,-0.05721869319677353
16,lejepa,gradcam,true,backbone.layer1,5,5,5,-0.15213046967983246,0.08730897307395935,-0.032410748302936554
17,lejepa,gradcam,true,backbone.layer1,7,0,7,0.13515320420265198,0.3098720610141754,0.2225126326084137
18,lejepa,gradcam,true,backbone.layer1,8,1,8,-0.023060597479343414,0.31935301423072815,0.14814620837569237
19,lejepa,gradcam,true,backbone.layer1,6,4,6,0.46759095788002014,0.5207458734512329,0.4941684156656265
20,lejepa,gradcam,true,backbone.layer1,7,7,7,0.6276869177818298,0.40484291315078735,0.5162649154663086
21,lejepa,gradcam,true,backbone.layer1,0,0,0,0.8613647818565369,0.5809379816055298,0.7211513817310333
22,lejepa,gradcam,true,backbone.layer1,4,0,4,0.5111206769943237,0.3932293951511383,0.452175036072731
23,lejepa,gradcam,true,backbone.layer1,9,9,9,0.3735078275203705,0.40932852029800415,0.3914181739091873
24,lejepa,gradcam,true,backbone.layer1,5,4,5,-0.08188296854496002,0.15910908579826355,0.038613058626651764
25,lejepa,gradcam,true,backbone.layer1,2,2,2,0.11790447682142258,0.253957599401474,0.1859310381114483
26,lejepa,gradcam,true,backbone.layer1,4,7,4,0.11989914625883102,0.312191903591156,0.21604552492499352
27,lejepa,gradcam,true,backbone.layer1,0,7,0,-0.0441443994641304,0.0005612025852315128,-0.021791598439449444
28,lejepa,gradcam,true,backbone.layer1,9,9,9,-0.07863414287567139,0.28587934374809265,0.10362260043621063
29,lejepa,gradcam,true,backbone.layer1,6,6,6,-0.19061502814292908,0.21798886358737946,0.01368691772222519
30,lejepa,gradcam,true,backbone.layer1,6,2,6,0.277492493391037,0.3997028172016144,0.3385976552963257
31,lejepa,gradcam,true,backbone.layer1,5,4,5,0.13886113464832306,0.37497544288635254,0.2569182887673378
32,lejepa,gradcam,true,backbone.layer1,4,4,4,0.011112813837826252,0.36812761425971985,0.18962021404877305
33,lejepa,gradcam,true,backbone.layer1,5,5,5,0.09005910158157349,0.3530980050563812,0.22157855331897736
34,lejepa,gradcam,true,backbone.layer1,9,9,9,0.5816049575805664,0.44015204906463623,0.5108785033226013
35,lejepa,gradcam,true,backbone.layer1,2,5,2,-0.034877579659223557,0.013386678881943226,-0.010745450388640165
36,lejepa,gradcam,true,backbone.layer1,4,4,4,0.07052874565124512,0.18694986402988434,0.12873930484056473
37,lejepa,gradcam,true,backbone.layer1,1,9,1,0.49346908926963806,0.4564798176288605,0.47497445344924927
38,lejepa,gradcam,true,backbone.layer1,9,6,9,-0.13992254436016083,0.02685323730111122,-0.0565346535295248
39,lejepa,gradcam,true,backbone.layer1,5,8,5,0.07580442726612091,0.22951102256774902,0.15265772491693497
40,lejepa,gradcam,true,backbone.layer1,4,9,4,-0.3918570876121521,0.12961766123771667,-0.1311197131872177
41,lejepa,gradcam,true,backbone.layer1,6,3,6,0.2556998133659363,0.364205002784729,0.30995240807533264
42,lejepa,gradcam,true,backbone.layer1,5,5,5,-0.015654731541872025,0.0019406734500080347,-0.006857029045931995
43,lejepa,gradcam,true,backbone.layer1,6,6,6,0.10403106361627579,0.27317383885383606,0.18860245123505592
44,lejepa,gradcam,true,backbone.layer1,0,0,0,0.7564128637313843,0.304372102022171,0.5303924828767776
45,lejepa,gradcam,true,backbone.layer1,9,9,9,-0.0054738144390285015,0.20790831744670868,0.10121725150384009
46,lejepa,gradcam,true,backbone.layer1,3,5,3,0.7705989480018616,0.5003311038017273,0.6354650259017944
47,lejepa,gradcam,true,backbone.layer1,9,9,9,0.2505744397640228,0.3261827528476715,0.28837859630584717
48,lejepa,gradcam,true,backbone.layer1,7,7,7,0.0853407084941864,0.1195344477891922,0.1024375781416893
49,lejepa,gradcam,true,backbone.layer1,6,4,6,0.3233641982078552,0.5298007130622864,0.4265824556350708
