architecture,checkpoint,feature_source,knn_k,knn_accuracy,knn_correct,knn_total,feature_dim,bank_samples,query_samples,temperature,bank_std_mean,bank_std_min,bank_norm_mean,query_std_mean,query_std_min,query_norm_mean,elapsed_minutes
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,1,0.5949,5949,10000,512,50000,10000,0.07,0.305034875869751,0.16975557804107666,8.309443473815918,0.3012232184410095,0.16559763252735138,8.276166915893555,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,5,0.6398,6398,10000,512,50000,10000,0.07,0.305034875869751,0.16975557804107666,8.309443473815918,0.3012232184410095,0.16559763252735138,8.276166915893555,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,10,0.6615,6615,10000,512,50000,10000,0.07,0.305034875869751,0.16975557804107666,8.309443473815918,0.3012232184410095,0.16559763252735138,8.276166915893555,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,20,0.672,6720,10000,512,50000,10000,0.07,0.305034875869751,0.16975557804107666,8.309443473815918,0.3012232184410095,0.16559763252735138,8.276166915893555,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,50,0.676,6760,10000,512,50000,10000,0.07,0.305034875869751,0.16975557804107666,8.309443473815918,0.3012232184410095,0.16559763252735138,8.276166915893555,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,100,0.6751,6751,10000,512,50000,10000,0.07,0.305034875869751,0.16975557804107666,8.309443473815918,0.3012232184410095,0.16559763252735138,8.276166915893555,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,projector,1,0.5757,5757,10000,256,50000,10000,0.07,0.9945328235626221,0.8685148358345032,15.9273099899292,0.968580424785614,0.8389204740524292,15.518383979797363,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,projector,5,0.6152,6152,10000,256,50000,10000,0.07,0.9945328235626221,0.8685148358345032,15.9273099899292,0.968580424785614,0.8389204740524292,15.518383979797363,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,projector,10,0.6271,6271,10000,256,50000,10000,0.07,0.9945328235626221,0.8685148358345032,15.9273099899292,0.968580424785614,0.8389204740524292,15.518383979797363,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,projector,20,0.6358,6358,10000,256,50000,10000,0.07,0.9945328235626221,0.8685148358345032,15.9273099899292,0.968580424785614,0.8389204740524292,15.518383979797363,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,projector,50,0.6414,6414,10000,256,50000,10000,0.07,0.9945328235626221,0.8685148358345032,15.9273099899292,0.968580424785614,0.8389204740524292,15.518383979797363,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,projector,100,0.6451,6451,10000,256,50000,10000,0.07,0.9945328235626221,0.8685148358345032,15.9273099899292,0.968580424785614,0.8389204740524292,15.518383979797363,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,1,0.5753,5753,10000,256,50000,10000,0.07,1.4622811079025269,1.2766430377960205,23.420684814453125,1.4244365692138672,1.2333792448043823,22.825531005859375,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,5,0.6155,6155,10000,256,50000,10000,0.07,1.4622811079025269,1.2766430377960205,23.420684814453125,1.4244365692138672,1.2333792448043823,22.825531005859375,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,10,0.6279,6279,10000,256,50000,10000,0.07,1.4622811079025269,1.2766430377960205,23.420684814453125,1.4244365692138672,1.2333792448043823,22.825531005859375,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,20,0.6374,6374,10000,256,50000,10000,0.07,1.4622811079025269,1.2766430377960205,23.420684814453125,1.4244365692138672,1.2333792448043823,22.825531005859375,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,50,0.6418,6418,10000,256,50000,10000,0.07,1.4622811079025269,1.2766430377960205,23.420684814453125,1.4244365692138672,1.2333792448043823,22.825531005859375,0.7210784395535786
resnet18_cifar,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,100,0.6453,6453,10000,256,50000,10000,0.07,1.4622811079025269,1.2766430377960205,23.420684814453125,1.4244365692138672,1.2333792448043823,22.825531005859375,0.7210784395535786
