sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,true,backbone.layer1,3,3,3,0.17540669441223145,0.31062051653862,0.24301360547542572
1,lejepa,gradcam,true,backbone.layer1,8,8,8,0.28396064043045044,0.39813539385795593,0.3410480171442032
2,lejepa,gradcam,true,backbone.layer1,8,8,8,0.19628693163394928,0.3114601969718933,0.2538735643029213
3,lejepa,gradcam,true,backbone.layer1,0,0,0,0.12757913768291473,0.19904844462871552,0.16331379115581512
4,lejepa,gradcam,true,backbone.layer1,6,6,6,0.23745854198932648,0.46442192792892456,0.3509402349591255
5,lejepa,gradcam,true,backbone.layer1,6,6,6,0.3566856384277344,0.477935791015625,0.4173107147216797
6,lejepa,gradcam,true,backbone.layer1,1,5,1,0.515528678894043,0.5353882908821106,0.5254584848880768
7,lejepa,gradcam,true,backbone.layer1,6,2,6,0.3403732478618622,0.44522368907928467,0.3927984684705734
8,lejepa,gradcam,true,backbone.layer1,3,3,3,0.19604140520095825,0.34716084599494934,0.2716011255979538
9,lejepa,gradcam,true,backbone.layer1,1,1,1,0.08740086108446121,0.12934917211532593,0.10837501659989357
10,lejepa,gradcam,true,backbone.layer1,0,0,0,-0.15401282906532288,0.19065281748771667,0.0183199942111969
11,lejepa,gradcam,true,backbone.layer1,9,9,9,0.186533585190773,0.34115394949913025,0.26384376734495163
12,lejepa,gradcam,true,backbone.layer1,5,5,5,0.06531158834695816,0.15908420085906982,0.11219789460301399
13,lejepa,gradcam,true,backbone.layer1,7,7,7,0.010917962528765202,0.048941247165203094,0.029929604846984148
14,lejepa,gradcam,true,backbone.layer1,9,9,9,0.6102630496025085,0.36177346110343933,0.48601825535297394
15,lejepa,gradcam,true,backbone.layer1,8,8,8,-0.14379973709583282,0.17835351824760437,0.017276890575885773
16,lejepa,gradcam,true,backbone.layer1,5,5,5,0.13125695288181305,0.3323298990726471,0.23179342597723007
17,lejepa,gradcam,true,backbone.layer1,7,7,7,-0.05069997161626816,0.0012710405280813575,-0.0247144655440934
18,lejepa,gradcam,true,backbone.layer1,8,1,8,0.000934687617700547,0.24414785206317902,0.12254126984043978
