sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,predicted,backbone.layer1,3,1,1,0.4312233030796051,0.5330431461334229,0.482133224606514
1,lejepa,gradcam,predicted,backbone.layer1,8,9,9,-0.04235312342643738,0.1148621067404747,0.03625449165701866
2,lejepa,gradcam,predicted,backbone.layer1,8,8,8,-0.4128373861312866,0.04832201451063156,-0.18225768581032753
3,lejepa,gradcam,predicted,backbone.layer1,0,8,8,-0.39945390820503235,0.01419819612056017,-0.1926278560422361
4,lejepa,gradcam,predicted,backbone.layer1,6,5,5,-0.09256117790937424,0.11034255474805832,0.008890688419342041
5,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.752059817314148,0.656807541847229,0.7044336795806885
6,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.0037971888668835163,0.06523574888706207,0.034516468876972795
7,lejepa,gradcam,predicted,backbone.layer1,6,5,5,-0.31333714723587036,0.34632784128189087,0.016495347023010254
8,lejepa,gradcam,predicted,backbone.layer1,3,6,6,0.07583019137382507,0.023519033566117287,0.04967461246997118
9,lejepa,gradcam,predicted,backbone.layer1,1,8,8,0.28001460433006287,0.4764067828655243,0.3782106935977936
10,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.12143851816654205,0.48591020703315735,0.3036743625998497
11,lejepa,gradcam,predicted,backbone.layer1,9,9,9,0.6531899571418762,0.5577554106712341,0.6054726839065552
12,lejepa,gradcam,predicted,backbone.layer1,5,5,5,-0.3414025902748108,0.08224941045045853,-0.12957658991217613
13,lejepa,gradcam,predicted,backbone.layer1,7,7,7,0.02868158556520939,0.18559959530830383,0.10714059043675661
14,lejepa,gradcam,predicted,backbone.layer1,9,8,8,0.13487505912780762,0.129643052816391,0.1322590559720993
15,lejepa,gradcam,predicted,backbone.layer1,8,1,1,0.6920164227485657,0.6606405377388,0.6763284802436829
16,lejepa,gradcam,predicted,backbone.layer1,5,7,7,-0.03589089959859848,0.052800506353378296,0.008454803377389908
17,lejepa,gradcam,predicted,backbone.layer1,7,7,7,-0.26932311058044434,0.011272710748016834,-0.12902519991621375
18,lejepa,gradcam,predicted,backbone.layer1,8,8,8,0.7753873467445374,0.7262328863143921,0.7508101165294647
19,lejepa,gradcam,predicted,backbone.layer1,6,5,5,-0.4196389317512512,0.02130131423473358,-0.19916880875825882
20,lejepa,gradcam,predicted,backbone.layer1,7,2,2,-0.37360063195228577,0.030023615807294846,-0.17178850807249546
21,lejepa,gradcam,predicted,backbone.layer1,0,0,0,-0.6996419429779053,0.3159237205982208,-0.19185911118984222
22,lejepa,gradcam,predicted,backbone.layer1,4,8,8,0.22590413689613342,0.47289422154426575,0.3493991792201996
23,lejepa,gradcam,predicted,backbone.layer1,9,9,9,-0.11716243624687195,0.052487608045339584,-0.03233741410076618
24,lejepa,gradcam,predicted,backbone.layer1,5,6,6,0.7062371373176575,0.6159836053848267,0.6611103713512421
25,lejepa,gradcam,predicted,backbone.layer1,2,2,2,0.5292156338691711,0.33196404576301575,0.43058983981609344
26,lejepa,gradcam,predicted,backbone.layer1,4,6,6,-0.3534068167209625,0.13875821232795715,-0.10732430219650269
27,lejepa,gradcam,predicted,backbone.layer1,0,3,3,-0.29061949253082275,0.04647190868854523,-0.12207379192113876
28,lejepa,gradcam,predicted,backbone.layer1,9,8,8,0.4322817623615265,0.4876008927822113,0.4599413275718689
29,lejepa,gradcam,predicted,backbone.layer1,6,6,6,0.4008743166923523,0.47183144092559814,0.4363528788089752
