architecture,checkpoint,feature_source,knn_k,knn_accuracy,knn_correct,knn_total,feature_dim,bank_samples,query_samples,temperature,bank_std_mean,bank_std_min,bank_norm_mean,query_std_mean,query_std_min,query_norm_mean,elapsed_minutes
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,1,0.1589,1589,10000,512,50000,10000,0.07,0.1522267758846283,0.08780393749475479,8.970303535461426,0.1518389880657196,0.08771777898073196,8.96953010559082,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,5,0.1661,1661,10000,512,50000,10000,0.07,0.1522267758846283,0.08780393749475479,8.970303535461426,0.1518389880657196,0.08771777898073196,8.96953010559082,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,10,0.1752,1752,10000,512,50000,10000,0.07,0.1522267758846283,0.08780393749475479,8.970303535461426,0.1518389880657196,0.08771777898073196,8.96953010559082,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,20,0.1837,1837,10000,512,50000,10000,0.07,0.1522267758846283,0.08780393749475479,8.970303535461426,0.1518389880657196,0.08771777898073196,8.96953010559082,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,50,0.1946,1946,10000,512,50000,10000,0.07,0.1522267758846283,0.08780393749475479,8.970303535461426,0.1518389880657196,0.08771777898073196,8.96953010559082,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,backbone,100,0.1968,1968,10000,512,50000,10000,0.07,0.1522267758846283,0.08780393749475479,8.970303535461426,0.1518389880657196,0.08771777898073196,8.96953010559082,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,projector,1,0.1332,1332,10000,256,50000,10000,0.07,0.9898006916046143,0.860258936882019,15.858736991882324,0.9880226254463196,0.8514145016670227,15.84752082824707,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,projector,5,0.1436,1436,10000,256,50000,10000,0.07,0.9898006916046143,0.860258936882019,15.858736991882324,0.9880226254463196,0.8514145016670227,15.84752082824707,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,projector,10,0.1479,1479,10000,256,50000,10000,0.07,0.9898006916046143,0.860258936882019,15.858736991882324,0.9880226254463196,0.8514145016670227,15.84752082824707,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,projector,20,0.152,1520,10000,256,50000,10000,0.07,0.9898006916046143,0.860258936882019,15.858736991882324,0.9880226254463196,0.8514145016670227,15.84752082824707,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,projector,50,0.1606,1606,10000,256,50000,10000,0.07,0.9898006916046143,0.860258936882019,15.858736991882324,0.9880226254463196,0.8514145016670227,15.84752082824707,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,projector,100,0.1716,1716,10000,256,50000,10000,0.07,0.9898006916046143,0.860258936882019,15.858736991882324,0.9880226254463196,0.8514145016670227,15.84752082824707,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,1,0.1585,1585,10000,256,50000,10000,0.07,0.052550941705703735,0.0011903539998456836,0.8332419991493225,0.052915822714567184,0.0012196293100714684,0.8392966985702515,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,5,0.1735,1735,10000,256,50000,10000,0.07,0.052550941705703735,0.0011903539998456836,0.8332419991493225,0.052915822714567184,0.0012196293100714684,0.8392966985702515,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,10,0.1892,1892,10000,256,50000,10000,0.07,0.052550941705703735,0.0011903539998456836,0.8332419991493225,0.052915822714567184,0.0012196293100714684,0.8392966985702515,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,20,0.193,1930,10000,256,50000,10000,0.07,0.052550941705703735,0.0011903539998456836,0.8332419991493225,0.052915822714567184,0.0012196293100714684,0.8392966985702515,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,50,0.2072,2072,10000,256,50000,10000,0.07,0.052550941705703735,0.0011903539998456836,0.8332419991493225,0.052915822714567184,0.0012196293100714684,0.8392966985702515,0.7953177452087402
resnet18_cifar,experiments/experiment-c10-r18-lejepa/checkpoints/resnet18_lejepa_backbone_best.pt,predictor,100,0.2104,2104,10000,256,50000,10000,0.07,0.052550941705703735,0.0011903539998456836,0.8332419991493225,0.052915822714567184,0.0012196293100714684,0.8392966985702515,0.7953177452087402
