sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,supervised,gradcam,predicted,backbone.layer1,3,3,3,-0.08157048374414444,0.23534634709358215,0.07688793167471886
1,supervised,gradcam,predicted,backbone.layer1,8,8,8,0.11972814798355103,0.05336020141839981,0.08654417470097542
2,supervised,gradcam,predicted,backbone.layer1,8,8,8,0.26490816473960876,0.11691205203533173,0.19091010838747025
3,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.3059011697769165,0.19172227382659912,-0.05708944797515869
4,supervised,gradcam,predicted,backbone.layer1,6,6,6,-0.056632623076438904,0.40403783321380615,0.17370260506868362
5,supervised,gradcam,predicted,backbone.layer1,6,6,6,0.2631998658180237,0.5147421360015869,0.3889710009098053
6,supervised,gradcam,predicted,backbone.layer1,1,1,1,0.39318525791168213,0.45703378319740295,0.42510952055454254
7,supervised,gradcam,predicted,backbone.layer1,6,6,6,0.32037603855133057,0.4502738416194916,0.38532494008541107
8,supervised,gradcam,predicted,backbone.layer1,3,3,3,0.016696808859705925,0.13669291138648987,0.0766948601230979
9,supervised,gradcam,predicted,backbone.layer1,1,1,1,0.1756037324666977,0.30296996235847473,0.2392868474125862
10,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.07230441272258759,0.42710521817207336,0.24970481544733047
11,supervised,gradcam,predicted,backbone.layer1,9,9,9,0.3865847885608673,0.27862146496772766,0.3326031267642975
12,supervised,gradcam,predicted,backbone.layer1,5,5,5,-0.026033299043774605,0.08580824732780457,0.02988747414201498
13,supervised,gradcam,predicted,backbone.layer1,7,7,7,0.022741088643670082,0.015240794979035854,0.018990941811352968
14,supervised,gradcam,predicted,backbone.layer1,9,9,9,0.18816356360912323,0.11660318076610565,0.15238337218761444
15,supervised,gradcam,predicted,backbone.layer1,8,8,8,0.14446528255939484,0.2447325885295868,0.19459893554449081
16,supervised,gradcam,predicted,backbone.layer1,5,5,5,0.11618881672620773,0.15389195084571838,0.13504038378596306
17,supervised,gradcam,predicted,backbone.layer1,7,7,7,-0.04042704030871391,0.003109656972810626,-0.018658691667951643
18,supervised,gradcam,predicted,backbone.layer1,8,8,8,0.04214105382561684,0.12958554923534393,0.08586330153048038
19,supervised,gradcam,predicted,backbone.layer1,6,6,6,0.10184313356876373,0.4270528256893158,0.26444797962903976
20,supervised,gradcam,predicted,backbone.layer1,7,7,7,-0.04872427508234978,0.003680288791656494,-0.02252199314534664
21,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.3346617817878723,0.3929724097251892,0.029155313968658447
22,supervised,gradcam,predicted,backbone.layer1,4,4,4,0.08434899896383286,0.15421681106090546,0.11928290501236916
23,supervised,gradcam,predicted,backbone.layer1,9,9,9,0.169165700674057,0.1308344155550003,0.15000005811452866
24,supervised,gradcam,predicted,backbone.layer1,5,5,5,-0.006521186325699091,0.06210692971944809,0.0277928716968745
25,supervised,gradcam,predicted,backbone.layer1,2,2,2,0.07429488003253937,0.4137139320373535,0.24400440603494644
26,supervised,gradcam,predicted,backbone.layer1,4,4,4,0.041525948792696,0.2945893704891205,0.16805765964090824
27,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.2623922526836395,0.32922980189323425,0.2958110272884369
28,supervised,gradcam,predicted,backbone.layer1,9,9,9,0.21585847437381744,0.08289395272731781,0.14937621355056763
29,supervised,gradcam,predicted,backbone.layer1,6,6,6,0.15155617892742157,0.45839565992355347,0.3049759194254875
30,supervised,gradcam,predicted,backbone.layer1,6,6,6,0.18056857585906982,0.5036298632621765,0.34209921956062317
31,supervised,gradcam,predicted,backbone.layer1,5,5,5,-0.04531468078494072,0.006339600309729576,-0.019487540237605572
32,supervised,gradcam,predicted,backbone.layer1,4,4,4,-0.10439993441104889,0.3609459698200226,0.12827301770448685
33,supervised,gradcam,predicted,backbone.layer1,5,5,5,-0.20621134340763092,0.17372490465641022,-0.01624321937561035
34,supervised,gradcam,predicted,backbone.layer1,9,9,9,0.398547500371933,0.27228841185569763,0.3354179561138153
35,supervised,gradcam,predicted,backbone.layer1,2,8,8,0.08772306889295578,0.1784118264913559,0.13306744769215584
36,supervised,gradcam,predicted,backbone.layer1,4,4,4,-0.037842631340026855,0.4476025700569153,0.2048799693584442
37,supervised,gradcam,predicted,backbone.layer1,1,9,9,0.31882426142692566,0.16473039984703064,0.24177733063697815
38,supervised,gradcam,predicted,backbone.layer1,9,9,9,0.3135177791118622,0.16246825456619263,0.2379930168390274
39,supervised,gradcam,predicted,backbone.layer1,5,5,5,0.09261173754930496,0.0753481388092041,0.08397993817925453
40,supervised,gradcam,predicted,backbone.layer1,4,4,4,-0.08021484315395355,0.2617515027523041,0.09076832979917526
41,supervised,gradcam,predicted,backbone.layer1,6,6,6,-0.10262081772089005,0.2638142704963684,0.08059672638773918
42,supervised,gradcam,predicted,backbone.layer1,5,5,5,0.02440599724650383,0.044344957917928696,0.03437547758221626
43,supervised,gradcam,predicted,backbone.layer1,6,6,6,-0.10056302696466446,0.41483959555625916,0.15713828429579735
44,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.22339509427547455,0.240932434797287,0.23216376453638077
45,supervised,gradcam,predicted,backbone.layer1,9,9,9,0.31479647755622864,0.20622864365577698,0.2605125606060028
46,supervised,gradcam,predicted,backbone.layer1,3,3,3,-0.08782923221588135,0.06995343416929245,-0.008937899023294449
47,supervised,gradcam,predicted,backbone.layer1,9,8,8,0.09864027053117752,0.16455858945846558,0.13159942999482155
48,supervised,gradcam,predicted,backbone.layer1,7,7,7,0.05801248550415039,0.01433984749019146,0.036176166497170925
