sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,supervised,gradcam,true,backbone.layer1,3,3,3,-0.08157048374414444,0.23534634709358215,0.07688793167471886
1,supervised,gradcam,true,backbone.layer1,8,8,8,0.11972814798355103,0.05336020141839981,0.08654417470097542
2,supervised,gradcam,true,backbone.layer1,8,8,8,0.26490816473960876,0.11691205203533173,0.19091010838747025
3,supervised,gradcam,true,backbone.layer1,0,0,0,-0.3059011697769165,0.19172227382659912,-0.05708944797515869
4,supervised,gradcam,true,backbone.layer1,6,6,6,-0.056632623076438904,0.40403783321380615,0.17370260506868362
5,supervised,gradcam,true,backbone.layer1,6,6,6,0.2631998658180237,0.5147421360015869,0.3889710009098053
6,supervised,gradcam,true,backbone.layer1,1,1,1,0.39318525791168213,0.45703378319740295,0.42510952055454254
7,supervised,gradcam,true,backbone.layer1,6,6,6,0.32037603855133057,0.4502738416194916,0.38532494008541107
8,supervised,gradcam,true,backbone.layer1,3,3,3,0.016696808859705925,0.13669291138648987,0.0766948601230979
9,supervised,gradcam,true,backbone.layer1,1,1,1,0.1756037324666977,0.30296996235847473,0.2392868474125862
10,supervised,gradcam,true,backbone.layer1,0,0,0,0.07230441272258759,0.42710521817207336,0.24970481544733047
11,supervised,gradcam,true,backbone.layer1,9,9,9,0.3865847885608673,0.27862146496772766,0.3326031267642975
12,supervised,gradcam,true,backbone.layer1,5,5,5,-0.026033299043774605,0.08580824732780457,0.02988747414201498
13,supervised,gradcam,true,backbone.layer1,7,7,7,0.022392669692635536,0.015232468023896217,0.018812568858265877
14,supervised,gradcam,true,backbone.layer1,9,9,9,0.18816356360912323,0.11660318076610565,0.15238337218761444
15,supervised,gradcam,true,backbone.layer1,8,8,8,0.14446528255939484,0.2447325885295868,0.19459893554449081
16,supervised,gradcam,true,backbone.layer1,5,5,5,0.11618881672620773,0.15389195084571838,0.13504038378596306
17,supervised,gradcam,true,backbone.layer1,7,7,7,-0.04042704030871391,0.003109656972810626,-0.018658691667951643
18,supervised,gradcam,true,backbone.layer1,8,8,8,0.04214105382561684,0.12958554923534393,0.08586330153048038
19,supervised,gradcam,true,backbone.layer1,6,6,6,0.10184313356876373,0.4270528256893158,0.26444797962903976
20,supervised,gradcam,true,backbone.layer1,7,7,7,-0.04872427508234978,0.003680288791656494,-0.02252199314534664
21,supervised,gradcam,true,backbone.layer1,0,0,0,-0.3346617817878723,0.3929724097251892,0.029155313968658447
22,supervised,gradcam,true,backbone.layer1,4,4,4,0.08434899896383286,0.15421681106090546,0.11928290501236916
23,supervised,gradcam,true,backbone.layer1,9,9,9,0.169165700674057,0.1308344155550003,0.15000005811452866
24,supervised,gradcam,true,backbone.layer1,5,5,5,-0.006521186325699091,0.06210692971944809,0.0277928716968745
25,supervised,gradcam,true,backbone.layer1,2,2,2,0.07429488003253937,0.4137139320373535,0.24400440603494644
26,supervised,gradcam,true,backbone.layer1,4,4,4,0.041525948792696,0.2945893704891205,0.16805765964090824
27,supervised,gradcam,true,backbone.layer1,0,0,0,0.2623922526836395,0.32922980189323425,0.2958110272884369
28,supervised,gradcam,true,backbone.layer1,9,9,9,0.21450275182724,0.08255329728126526,0.14852802455425262
29,supervised,gradcam,true,backbone.layer1,6,6,6,0.15155617892742157,0.45839565992355347,0.3049759194254875
30,supervised,gradcam,true,backbone.layer1,6,6,6,0.18056857585906982,0.5036298632621765,0.34209921956062317
31,supervised,gradcam,true,backbone.layer1,5,5,5,-0.04531468078494072,0.006339600309729576,-0.019487540237605572
32,supervised,gradcam,true,backbone.layer1,4,4,4,-0.10439993441104889,0.3609459698200226,0.12827301770448685
33,supervised,gradcam,true,backbone.layer1,5,5,5,-0.20621134340763092,0.17372490465641022,-0.01624321937561035
34,supervised,gradcam,true,backbone.layer1,9,9,9,0.398547500371933,0.27228841185569763,0.3354179561138153
35,supervised,gradcam,true,backbone.layer1,2,8,2,-0.08187561482191086,0.31722694635391235,0.11767566576600075
36,supervised,gradcam,true,backbone.layer1,4,4,4,-0.037842631340026855,0.4476025700569153,0.2048799693584442
37,supervised,gradcam,true,backbone.layer1,1,9,1,0.3784056603908539,0.49024641513824463,0.43432603776454926
38,supervised,gradcam,true,backbone.layer1,9,9,9,0.3135177791118622,0.16246825456619263,0.2379930168390274
39,supervised,gradcam,true,backbone.layer1,5,5,5,0.09261173754930496,0.0753481388092041,0.08397993817925453
40,supervised,gradcam,true,backbone.layer1,4,4,4,-0.08021484315395355,0.2617515027523041,0.09076832979917526
41,supervised,gradcam,true,backbone.layer1,6,6,6,-0.10262081772089005,0.2638142704963684,0.08059672638773918
42,supervised,gradcam,true,backbone.layer1,5,5,5,0.02440599724650383,0.044344957917928696,0.03437547758221626
43,supervised,gradcam,true,backbone.layer1,6,6,6,-0.10056302696466446,0.41483959555625916,0.15713828429579735
44,supervised,gradcam,true,backbone.layer1,0,0,0,0.22339509427547455,0.240932434797287,0.23216376453638077
45,supervised,gradcam,true,backbone.layer1,9,9,9,0.31479647755622864,0.20622864365577698,0.2605125606060028
46,supervised,gradcam,true,backbone.layer1,3,3,3,-0.08782923221588135,0.06995343416929245,-0.008937899023294449
47,supervised,gradcam,true,backbone.layer1,9,8,9,0.43233707547187805,0.1672135293483734,0.29977530241012573
48,supervised,gradcam,true,backbone.layer1,7,7,7,0.05801248550415039,0.01433984749019146,0.036176166497170925
49,supervised,gradcam,true,backbone.layer1,6,6,6,0.0028361761942505836,0.4051739275455475,0.20400505186989903
50,supervised,gradcam,true,backbone.layer1,9,9,9,-0.029309779405593872,0.09907751530408859,0.03488386794924736
51,supervised,gradcam,true,backbone.layer1,8,8,8,0.06482750922441483,0.1067267432808876,0.08577712625265121
52,supervised,gradcam,true,backbone.layer1,0,3,0,0.11485745012760162,0.4459153115749359,0.28038638085126877
53,supervised,gradcam,true,backbone.layer1,3,3,3,-0.14741820096969604,0.3746206760406494,0.11360123753547668
54,supervised,gradcam,true,backbone.layer1,8,8,8,-0.050216905772686005,0.09341533482074738,0.021599214524030685
55,supervised,gradcam,true,backbone.layer1,8,8,8,0.08667212724685669,0.032612066715955734,0.05964209698140621
56,supervised,gradcam,true,backbone.layer1,7,7,7,0.06748481839895248,0.005951457656919956,0.03671813802793622
57,supervised,gradcam,true,backbone.layer1,7,3,7,0.4065568745136261,0.20237132906913757,0.30446410179138184
58,supervised,gradcam,true,backbone.layer1,4,5,4,0.19187898933887482,0.37120428681373596,0.2815416380763054
59,supervised,gradcam,true,backbone.layer1,6,3,6,0.16064392030239105,0.494584321975708,0.32761412113904953
60,supervised,gradcam,true,backbone.layer1,7,7,7,-0.03219570592045784,0.0004355366691015661,-0.015880084625678137
61,supervised,gradcam,true,backbone.layer1,3,5,3,-0.26037198305130005,0.2607911229133606,0.00020956993103027344
62,supervised,gradcam,true,backbone.layer1,6,6,6,0.04619313031435013,0.46226128935813904,0.2542272098362446
63,supervised,gradcam,true,backbone.layer1,3,3,3,0.014271344058215618,0.048116784542798996,0.031194064300507307
0,supervised,gradcam,true,backbone.layer2,3,3,3,-0.13913533091545105,0.39952707290649414,0.13019587099552155
1,supervised,gradcam,true,backbone.layer2,8,8,8,0.05020703747868538,0.21766452491283417,0.13393578119575977
2,supervised,gradcam,true,backbone.layer2,8,8,8,0.21050415933132172,0.35872960090637207,0.2846168801188469
3,supervised,gradcam,true,backbone.layer2,0,0,0,0.09602178633213043,0.3545927107334137,0.22530724853277206
4,supervised,gradcam,true,backbone.layer2,6,6,6,-0.14616163074970245,0.3797748386859894,0.11680660396814346
5,supervised,gradcam,true,backbone.layer2,6,6,6,0.24348434805870056,0.5116119384765625,0.37754814326763153
6,supervised,gradcam,true,backbone.layer2,1,1,1,0.07621323317289352,0.42628589272499084,0.2512495629489422
7,supervised,gradcam,true,backbone.layer2,6,6,6,0.0637766495347023,0.41234973073005676,0.23806319013237953
8,supervised,gradcam,true,backbone.layer2,3,3,3,0.028197787702083588,0.466546893119812,0.2473723404109478
9,supervised,gradcam,true,backbone.layer2,1,1,1,0.30646318197250366,0.5679895877838135,0.43722638487815857
10,supervised,gradcam,true,backbone.layer2,0,0,0,0.15709133446216583,0.3987851142883301,0.27793822437524796
11,supervised,gradcam,true,backbone.layer2,9,9,9,-0.007682053372263908,0.3304624855518341,0.1613902160897851
12,supervised,gradcam,true,backbone.layer2,5,5,5,0.08150109648704529,0.30424633622169495,0.19287371635437012
13,supervised,gradcam,true,backbone.layer2,7,7,7,0.4936571419239044,0.47738948464393616,0.4855233132839203
14,supervised,gradcam,true,backbone.layer2,9,9,9,0.21344433724880219,0.460141122341156,0.3367927297949791
15,supervised,gradcam,true,backbone.layer2,8,8,8,0.5111575126647949,0.3799179196357727,0.4455377161502838
16,supervised,gradcam,true,backbone.layer2,5,5,5,-0.154804989695549,0.32535290718078613,0.08527395874261856
17,supervised,gradcam,true,backbone.layer2,7,7,7,0.48888954520225525,0.4652731418609619,0.4770813435316086
18,supervised,gradcam,true,backbone.layer2,8,8,8,-0.22647283971309662,0.30501747131347656,0.03927231580018997
19,supervised,gradcam,true,backbone.layer2,6,6,6,0.08566375076770782,0.481192946434021,0.2834283486008644
20,supervised,gradcam,true,backbone.layer2,7,7,7,0.36416110396385193,0.5924875140190125,0.4783243089914322
21,supervised,gradcam,true,backbone.layer2,0,0,0,0.00626759510487318,0.40953072905540466,0.20789916208013892
22,supervised,gradcam,true,backbone.layer2,4,4,4,-0.11452435702085495,0.3094993829727173,0.09748751297593117
23,supervised,gradcam,true,backbone.layer2,9,9,9,-0.14299547672271729,0.4438762068748474,0.15044036507606506
24,supervised,gradcam,true,backbone.layer2,5,5,5,0.12412360310554504,0.3246261179447174,0.22437486052513123
25,supervised,gradcam,true,backbone.layer2,2,2,2,0.09940390288829803,0.18129056692123413,0.14034723490476608
26,supervised,gradcam,true,backbone.layer2,4,4,4,-0.0028988472186028957,0.2203812152147293,0.1087411839980632
27,supervised,gradcam,true,backbone.layer2,0,0,0,0.2784764766693115,0.44376370310783386,0.3611200898885727
28,supervised,gradcam,true,backbone.layer2,9,9,9,-0.04430878162384033,0.31815168261528015,0.1369214504957199
29,supervised,gradcam,true,backbone.layer2,6,6,6,0.5516195297241211,0.6005357503890991,0.5760776400566101
