sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,2,2,0.43171799182891846,0.3507486879825592,0.39123333990573883
1,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,-0.02294568158686161,0.26496511697769165,0.12100971769541502
2,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.03330148383975029,0.30237331986427307,0.16783740185201168
3,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.003144521266222,0.4385768175125122,0.2208606693893671
4,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.5834147930145264,0.3095303475856781,0.44647257030010223
5,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.24377556145191193,0.3110697567462921,0.277422659099102
6,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,9,9,0.3516218066215515,0.4068819582462311,0.3792518824338913
7,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,7,7,0.7851440906524658,0.45218464732170105,0.6186643689870834
8,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,0.44595032930374146,0.2547682225704193,0.3503592759370804
9,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,8,8,-0.39069312810897827,0.08353989571332932,-0.15357661619782448
10,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.59878009557724,0.167118638753891,0.3829493671655655
11,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,-0.10628395527601242,0.18154966831207275,0.03763285651803017
12,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,3,3,0.07618643343448639,0.30462324619293213,0.19040483981370926
13,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,3,3,0.08397813886404037,0.24097973108291626,0.16247893497347832
14,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.435613214969635,0.19124458730220795,0.3134289011359215
15,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,4,4,0.2554936408996582,0.12879274785518646,0.19214319437742233
16,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.08642686158418655,0.4248889684677124,0.2556579150259495
17,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,-0.021516460925340652,0.13727690279483795,0.05788022093474865
18,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.10606261342763901,0.2841680645942688,0.1951153390109539
19,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.34272313117980957,0.1303914189338684,0.236557275056839
20,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,0.1450989991426468,0.1463492065668106,0.1457241028547287
21,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.8116641640663147,0.5567352175712585,0.6841996908187866
22,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,0,0,0.6170361638069153,0.31648892164230347,0.4667625427246094
23,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.5270801186561584,0.4097703695297241,0.4684252440929413
24,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,2,2,0.23307299613952637,0.18845953047275543,0.2107662633061409
25,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,4,4,0.40958166122436523,0.27629759907722473,0.342939630150795
26,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,5,5,0.40301647782325745,0.32670608162879944,0.36486127972602844
27,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,7,7,0.4305579364299774,0.2187352031469345,0.32464656978845596
28,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,-0.14285162091255188,0.16416993737220764,0.01065915822982788
29,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.25002622604370117,0.2526233494281769,0.251324787735939
30,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.4101528525352478,0.2815982699394226,0.3458755612373352
31,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,6,6,0.01130060013383627,0.14815758168697357,0.07972909091040492
32,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,6,6,0.09862307459115982,0.21069960296154022,0.15466133877635002
33,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.03154195100069046,0.2926241457462311,0.16208304837346077
34,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.7044612765312195,0.33891841769218445,0.521689847111702
35,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,1,1,0.13418994843959808,0.15784865617752075,0.14601930230855942
36,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,6,6,0.06702275574207306,0.09009283035993576,0.07855779305100441
37,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,0,0,-0.0025100207421928644,0.1303364485502243,0.06391321390401572
38,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,-0.04090557247400284,0.2277134507894516,0.09340393915772438
39,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,9,9,0.14104098081588745,0.1389976143836975,0.14001929759979248
40,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,0,0,0.1733718365430832,0.26527440547943115,0.21932312101125717
41,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.7369696497917175,0.5787721276283264,0.657870888710022
42,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.2906147241592407,0.19833771884441376,0.24447622150182724
43,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,3,3,0.3593594431877136,0.3508671522140503,0.35511329770088196
44,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,-0.1928039938211441,0.19983050227165222,0.003513254225254059
45,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,-0.14990422129631042,0.13067764043807983,-0.009613290429115295
46,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,3,3,0.3567407727241516,0.1499643474817276,0.2533525601029396
47,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,0,0,-0.019955351948738098,0.1967514604330063,0.0883980542421341
48,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,4,4,0.09034856408834457,0.17578797042369843,0.1330682672560215
49,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.1180400550365448,0.14863762259483337,0.1333388388156891
50,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,0,0,0.10525651276111603,0.16484864056110382,0.13505257666110992
51,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.5389119386672974,0.4464075565338135,0.4926597476005554
52,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,4,4,0.653443455696106,0.2955111265182495,0.47447729110717773
53,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,0.3829248547554016,0.26062530279159546,0.32177507877349854
54,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.04832371324300766,0.10118627548217773,0.0747549943625927
55,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,-0.04909564554691315,0.09936268627643585,0.025133520364761353
56,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,0.20550917088985443,0.26953330636024475,0.2375212386250496
57,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,3,3,0.19155709445476532,0.21921087801456451,0.20538398623466492
58,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,3,3,-0.0793561264872551,0.21266505122184753,0.06665446236729622
59,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,0,0,-0.09280300885438919,0.17990386486053467,0.04355042800307274
60,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,4,4,-0.15853291749954224,0.28970223665237427,0.06558465957641602
