sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,2,3,0.2848528027534485,0.458679735660553,0.37176626920700073
1,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,-0.02294568158686161,0.26496511697769165,0.12100971769541502
2,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.03330148383975029,0.30237331986427307,0.16783740185201168
3,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,0,0,0.003144521266222,0.4385768175125122,0.2208606693893671
4,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,4,6,0.5584083199501038,0.3700111508369446,0.46420973539352417
5,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.24377556145191193,0.3110697567462921,0.277422659099102
6,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,9,1,0.14570164680480957,0.35427433252334595,0.24998798966407776
7,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,7,6,0.7607957720756531,0.3499862551689148,0.5553910136222839
8,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,5,3,0.5092095136642456,0.2499462515115738,0.3795778825879097
9,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,8,1,-0.40322065353393555,0.0785563513636589,-0.16233215108513832
10,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,0,0,0.59878009557724,0.167118638753891,0.3829493671655655
11,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,-0.10628395527601242,0.18154966831207275,0.03763285651803017
12,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,3,5,0.08744053542613983,0.1334555596113205,0.11044804751873016
13,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,3,7,0.1454065442085266,0.21982568502426147,0.18261611461639404
14,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.435613214969635,0.19124458730220795,0.3134289011359215
15,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,4,8,0.22255994379520416,0.28736358880996704,0.2549617663025856
16,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,0.08642686158418655,0.4248889684677124,0.2556579150259495
17,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,7,7,-0.021516460925340652,0.13727690279483795,0.05788022093474865
18,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.10606261342763901,0.2841680645942688,0.1951153390109539
19,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.34272313117980957,0.1303914189338684,0.236557275056839
20,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,7,7,0.1450989991426468,0.1463492065668106,0.1457241028547287
21,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,0,0,0.8116641640663147,0.5567352175712585,0.6841996908187866
22,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,0,4,0.6099017262458801,0.3329845368862152,0.47144313156604767
23,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.5270801186561584,0.4097703695297241,0.4684252440929413
24,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,2,5,0.17062543332576752,0.2055223435163498,0.18807388842105865
25,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,2,4,2,0.2282506674528122,0.19841885566711426,0.21333476155996323
26,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,5,4,0.6103885769844055,0.4071570038795471,0.5087727904319763
