sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,2,2,-0.21854108572006226,0.10281167924404144,-0.057864703238010406
1,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,-0.29061710834503174,0.20054252445697784,-0.04503729194402695
2,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.10518588125705719,0.13976728916168213,0.12247658520936966
3,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.3727927803993225,0.2816944122314453,0.3272435963153839
4,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,-0.04523710906505585,0.18535089492797852,0.07005689293146133
5,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.15295597910881042,0.1089540645480156,0.130955021828413
6,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,1,1,-0.06764848530292511,0.09851549565792084,0.015433505177497864
7,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,7,7,0.5858367085456848,0.32950612902641296,0.4576714187860489
8,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,2,2,0.24460315704345703,0.22887594997882843,0.23673955351114273
9,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,1,1,0.16073741018772125,0.11471627652645111,0.13772684335708618
10,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.1196090504527092,0.13709920644760132,0.12835412845015526
11,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.19596506655216217,0.168167382478714,0.18206622451543808
12,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.3798768222332001,0.23789550364017487,0.30888616293668747
13,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,0.5348358154296875,0.2729348838329315,0.4038853496313095
14,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.023557409644126892,0.11779029667377472,0.0706738531589508
15,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,2,2,-0.07925703376531601,0.12053602188825607,0.020639494061470032
16,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,9,9,0.12073128670454025,0.24308374524116516,0.1819075159728527
17,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,9,9,-0.05736682936549187,0.08392927050590515,0.013281220570206642
18,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,0,0,0.16496875882148743,0.11692037433385849,0.14094456657767296
19,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.24585717916488647,0.09434486925601959,0.17010102421045303
20,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,0.20653878152370453,0.21364855766296387,0.2100936695933342
21,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.5904840230941772,0.3468426764011383,0.4686633497476578
22,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,0,0,0.6513704061508179,0.3193024694919586,0.48533643782138824
23,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,0.3704322576522827,0.18946415185928345,0.2799482047557831
24,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,4,4,0.3825511634349823,0.2001040130853653,0.2913275882601738
25,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,4,4,-0.2335633486509323,0.06472789496183395,-0.08441772684454918
26,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,5,5,0.3098786473274231,0.31698501110076904,0.31343182921409607
27,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,2,2,0.42523786425590515,0.29083171486854553,0.35803478956222534
28,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,0.23872868716716766,0.12818972766399384,0.18345920741558075
29,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,-0.007873696275055408,0.22613027691841125,0.10912829032167792
30,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.386911004781723,0.15207771956920624,0.26949436217546463
31,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,4,4,0.04859708994626999,0.20515523850917816,0.12687616422772408
32,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,4,4,0.3244746923446655,0.14021164178848267,0.2323431670665741
33,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.17725613713264465,0.2650776505470276,0.22116689383983612
34,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,8,8,0.4627021849155426,0.29712140560150146,0.37991179525852203
35,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,5,5,0.46486520767211914,0.33347710967063904,0.3991711586713791
36,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,4,4,-0.010637146420776844,0.1289675384759903,0.059165196027606726
37,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,9,9,0.05618026480078697,0.1114410012960434,0.08381063304841518
38,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.35551196336746216,0.1632835417985916,0.2593977525830269
39,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,8,8,0.01744573377072811,0.20752428472042084,0.11248500924557447
40,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,1,1,0.11855587363243103,0.15095409750938416,0.1347549855709076
41,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.21074070036411285,0.23546414077281952,0.2231024205684662
42,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,1,1,0.24274705350399017,0.1383543312549591,0.19055069237947464
43,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,3,3,0.26404139399528503,0.29023778438568115,0.2771395891904831
44,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.3465443253517151,0.20138831436634064,0.27396631985902786
45,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,-0.008265256881713867,0.18277990818023682,0.08725732564926147
46,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,3,3,0.02477986551821232,0.13316501677036285,0.07897244114428759
47,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,2,2,0.4434124231338501,0.1532938927412033,0.2983531579375267
48,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,4,4,0.13641926646232605,0.17903392016887665,0.15772659331560135
