sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,0.056499794125556946,0.42188170552253723,0.2391907498240471
1,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.2670530080795288,0.44102805852890015,0.3540405333042145
2,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.25465360283851624,0.4987349212169647,0.3766942620277405
3,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,8,8,0.8375909328460693,0.5054765939712524,0.6715337634086609
4,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.46131497621536255,0.5865879058837891,0.5239514410495758
5,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.5970921516418457,0.32102376222610474,0.4590579569339752
6,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,9,9,0.5614815950393677,0.42788439989089966,0.49468299746513367
7,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,7,7,0.6056303977966309,0.4839510917663574,0.5447907447814941
8,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,0.7983184456825256,0.3459683954715729,0.5721434205770493
9,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,1,1,0.4544016718864441,0.5834882259368896,0.5189449489116669
10,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.20898963510990143,0.4641055166721344,0.3365475758910179
11,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,7,7,0.5346001982688904,0.5926114916801453,0.5636058449745178
12,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.43084582686424255,0.5625484585762024,0.4966971427202225
13,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,0.10007668286561966,0.5808152556419373,0.34044596925377846
14,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.06660374253988266,0.38807401061058044,0.22733887657523155
15,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,6,6,-0.11659557372331619,0.45941272377967834,0.17140857502818108
16,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.40465208888053894,0.6227195262908936,0.5136858075857162
17,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,0.23663882911205292,0.35741132497787476,0.29702507704496384
18,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.18630832433700562,0.5506352186203003,0.36847177147865295
19,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.1368682086467743,0.4593113660812378,0.29808978736400604
20,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,0.4347403347492218,0.5157074332237244,0.4752238839864731
21,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.7466721534729004,0.3952847719192505,0.5709784626960754
22,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,0,0,0.5970950722694397,0.638239324092865,0.6176671981811523
23,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,0.1315765082836151,0.26258742809295654,0.19708196818828583
24,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,6,6,0.03717391937971115,0.5160613656044006,0.2766176424920559
25,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,7,7,0.19590449333190918,0.4410368502140045,0.31847067177295685
26,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,5,5,0.8086960911750793,0.48674488067626953,0.6477204859256744
27,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,2,2,0.04174107685685158,0.4844318628311157,0.26308646984398365
28,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,0.673974335193634,0.6709843277931213,0.6724793314933777
29,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.5340214967727661,0.28552961349487305,0.4097755551338196
30,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.5731313824653625,0.4067433476448059,0.48993736505508423
31,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,2,2,0.16487962007522583,0.31396523118019104,0.23942242562770844
32,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,5,5,0.2454003393650055,0.5579203367233276,0.40166033804416656
33,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.39233818650245667,0.557411789894104,0.47487498819828033
34,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,8,8,0.08028538525104523,0.5762863755226135,0.3282858803868294
35,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,7,7,-0.2590825855731964,0.45558837056159973,0.09825289249420166
36,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,6,6,0.06680701673030853,0.4888446033000946,0.27782581001520157
37,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,9,9,0.45940738916397095,0.2278430312871933,0.3436252102255821
38,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.5129897594451904,0.6046379804611206,0.5588138699531555
39,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,8,8,0.27616408467292786,0.46805959939956665,0.37211184203624725
40,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,9,9,0.6144567131996155,0.6557127237319946,0.635084718465805
41,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.6880719065666199,0.5113145709037781,0.599693238735199
42,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.06802307069301605,0.44846048951148987,0.25824178010225296
43,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,3,3,0.8701766133308411,0.6195204854011536,0.7448485493659973
44,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,2,2,0.11126630008220673,0.6642043590545654,0.3877353295683861
45,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,3,3,0.08878073841333389,0.3563465476036072,0.22256364300847054
46,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,3,3,0.30981019139289856,0.4880015552043915,0.398905873298645
47,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,4,4,0.3878943920135498,0.560799777507782,0.4743470847606659
48,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,4,4,0.45134496688842773,0.5413888096809387,0.4963668882846832
49,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.07064706832170486,0.5268785357475281,0.29876280203461647
50,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.29219192266464233,0.5979065895080566,0.4450492560863495
51,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,0,0,-0.013804118148982525,0.502545177936554,0.24437052989378572
52,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,6,6,0.5270496010780334,0.40274596214294434,0.4648977816104889
53,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,6,6,0.35246020555496216,0.5113723278045654,0.4319162666797638
54,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.029614422470331192,0.45952922105789185,0.24457182176411152
55,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.7930420637130737,0.6151414513587952,0.7040917575359344
56,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,5,5,0.33771029114723206,0.6163251996040344,0.47701774537563324
57,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,5,5,0.5912815928459167,0.2111390084028244,0.4012103006243706
58,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,8,8,0.28354474902153015,0.13537749648094177,0.20946112275123596
59,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,3,3,0.16078193485736847,0.3282659649848938,0.24452394992113113
60,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,4,4,0.324922651052475,0.44532427191734314,0.38512346148490906
61,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,6,6,-0.013329043053090572,0.3961805999279022,0.19142577843740582
62,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,2,2,0.6822241544723511,0.36475732922554016,0.5234907418489456
63,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,8,8,-0.2581298053264618,0.3942897617816925,0.06807997822761536
64,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.30879148840904236,0.4154385030269623,0.3621149957180023
65,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,6,6,0.20780721306800842,0.518735945224762,0.3632715791463852
66,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,8,8,0.6011403203010559,0.609245777130127,0.6051930487155914
67,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,0,0,0.4787781238555908,0.22632195055484772,0.35255003720521927
68,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,0.536475419998169,0.6049137115478516,0.5706945657730103
69,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,0,0,-0.5482552647590637,0.43793439865112305,-0.05516043305397034
70,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,8,8,0.6064324378967285,0.39813998341560364,0.5022862106561661
71,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.42342641949653625,0.500373899936676,0.46190015971660614
72,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,0,0,0.7184286713600159,0.3030552864074707,0.5107419788837433
73,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.5656277537345886,0.5157490968704224,0.5406884253025055
74,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,7,7,-0.1653902381658554,0.46254274249076843,0.1485762521624565
75,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,4,4,0.06487790495157242,0.3788839876651764,0.2218809463083744
76,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,4,4,0.028561776503920555,0.47266340255737305,0.2506125895306468
77,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,3,3,0.6813197731971741,0.49185219407081604,0.5865859836339951
78,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,-0.6129719614982605,0.3795296251773834,-0.11672116816043854
79,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,0,0,0.68613600730896,0.36567750573158264,0.5259067565202713
80,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,-0.010035363025963306,0.3387109339237213,0.164337785448879
81,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,1,1,0.32089704275131226,0.38479557633399963,0.35284630954265594
82,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,2,2,0.07634440064430237,0.3736310601234436,0.22498773038387299
83,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,0,0,0.5935022234916687,0.20300345122814178,0.39825283735990524
84,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,3,3,0.3386574983596802,0.46688416600227356,0.40277083218097687
85,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,0,0,-0.04080910235643387,0.2756810784339905,0.1174359880387783
86,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,1,1,0.1892021745443344,0.4085686206817627,0.29888539761304855
87,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,0,0,0.7739922404289246,0.4630078971385956,0.6185000687837601
88,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.38712722063064575,0.2821958363056183,0.334661528468132
89,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.6573003530502319,0.5027020573616028,0.5800012052059174
90,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,8,8,0.459060937166214,0.39073801040649414,0.42489947378635406
91,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,6,6,0.2552106976509094,0.5068696737289429,0.38104018568992615
92,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.21746452152729034,0.5359628796577454,0.37671370059251785
93,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.08711788803339005,0.38005146384239197,0.233584675937891
94,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,2,2,0.6308785080909729,0.37001246213912964,0.5004454851150513
95,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,7,7,-0.01084148045629263,0.48530080914497375,0.23722966434434056
96,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,-0.08866798877716064,0.37357327342033386,0.1424526423215866
97,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.9127494096755981,0.5159004926681519,0.714324951171875
98,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.8275500535964966,0.258254736661911,0.5429023951292038
99,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,3,3,0.1462281346321106,0.5107280015945435,0.328478068113327
100,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,8,8,0.853905975818634,0.4121328294277191,0.6330194026231766
101,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,8,8,0.29245492815971375,0.5304915904998779,0.41147325932979584
102,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,5,5,0.7258095145225525,0.23206152021884918,0.47893551737070084
103,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,0.3095015287399292,0.5617192387580872,0.4356103837490082
104,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,1,1,-0.23500414192676544,0.3857817053794861,0.07538878172636032
105,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,8,8,0.7931106686592102,0.4424055218696594,0.6177580952644348
106,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,4,4,0.3723427355289459,0.4016088843345642,0.38697580993175507
107,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.40183788537979126,0.3412823975086212,0.37156014144420624
108,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,9,9,0.3151291608810425,0.5279425978660583,0.4215358793735504
109,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,5,5,-0.28129488229751587,0.44044575095176697,0.07957543432712555
110,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,6,6,0.09783173352479935,0.5075652003288269,0.3026984669268131
111,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,8,8,0.07996922731399536,0.3482359051704407,0.21410256624221802
112,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.3861725926399231,0.2631494104862213,0.3246610015630722
113,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,2,2,0.5077398419380188,0.29654210805892944,0.4021409749984741
114,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,7,7,0.34515580534935,0.48717865347862244,0.4161672294139862
115,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,0,0,0.6256123185157776,0.4704815745353699,0.5480469465255737
116,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.6144137382507324,0.2975586950778961,0.45598621666431427
117,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,9,9,0.013961486518383026,0.4513233006000519,0.23264239355921745
118,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,2,2,0.4517344832420349,0.23573286831378937,0.34373367577791214
119,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,3,3,0.30854204297065735,0.5758390426635742,0.4421905428171158
120,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,-0.11539710313081741,0.4381253719329834,0.161364134401083
121,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,3,3,0.3578931391239166,0.6462223529815674,0.502057746052742
122,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,1,1,0.37850379943847656,0.5512486100196838,0.4648762047290802
123,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,2,2,0.591529905796051,0.6120115518569946,0.6017707288265228
124,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,0,0,-0.29748502373695374,0.3519524335861206,0.027233704924583435
125,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,4,4,0.17077618837356567,0.5284536480903625,0.3496149182319641
126,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.4101133644580841,0.6177066564559937,0.5139100104570389
127,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,3,3,-0.009956727735698223,0.4580523371696472,0.2240478047169745
128,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,3,3,0.3457050621509552,0.5972912907600403,0.47149817645549774
129,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,4,4,0.4323958158493042,0.4764716625213623,0.45443373918533325
130,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,4,4,-0.16010963916778564,0.48165857791900635,0.16077446937561035
131,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,0,0,-0.07850166410207748,0.38067761063575745,0.15108797326683998
132,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.16607657074928284,0.46800634264945984,0.31704145669937134
133,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.3643958568572998,0.4942900836467743,0.42934297025203705
134,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,8,8,0.17572152614593506,0.30881741642951965,0.24226947128772736
135,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,3,3,0.17380930483341217,0.5955977439880371,0.38470352441072464
136,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,-0.010472992435097694,0.4299306273460388,0.20972881745547056
137,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,2,2,0.05488339439034462,0.3782831132411957,0.21658325381577015
138,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,2,2,0.6469849944114685,0.5737667083740234,0.610375851392746
139,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,8,8,0.6965090036392212,0.38682422041893005,0.5416666120290756
140,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.4667365849018097,0.5524961352348328,0.5096163600683212
141,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.4967372715473175,0.5080115795135498,0.5023744255304337
142,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,3,3,0.0781780481338501,0.19134151935577393,0.134759783744812
143,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,3,3,0.8526033759117126,0.4826270043849945,0.6676151901483536
144,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.054865218698978424,0.5481337308883667,0.30149947479367256
145,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,5,5,0.1535714715719223,0.37498196959495544,0.2642767205834389
146,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.49324941635131836,0.12430272996425629,0.3087760731577873
147,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,5,5,0.12662357091903687,0.41966933012008667,0.27314645051956177
148,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,7,7,0.15925149619579315,0.5590043067932129,0.359127901494503
149,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,3,3,0.4601500630378723,0.5620142221450806,0.5110821425914764
150,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.33828204870224,0.30163443088531494,0.31995823979377747
151,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,8,8,-0.060130007565021515,0.22008267045021057,0.07997633144259453
152,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.24218299984931946,0.4384416937828064,0.3403123468160629
153,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.41846907138824463,0.3643394410610199,0.39140425622463226
154,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,8,8,-0.4269229769706726,0.3814930319786072,-0.022714972496032715
155,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.4091227650642395,0.3611052632331848,0.38511401414871216
156,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,6,6,0.4324730634689331,0.199563667178154,0.31601836532354355
157,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,8,8,0.47223517298698425,0.4949739873409271,0.4836045801639557
158,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,9,9,0.228745698928833,0.5229193568229675,0.37583252787590027
159,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,0,0,0.06258641928434372,0.3787505328655243,0.220668476074934
160,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,0,0,0.9315093755722046,0.5568356513977051,0.7441725134849548
161,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,8,8,0.2928527593612671,0.3820880353450775,0.3374703973531723
162,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,7,7,0.09513500332832336,0.4446699321269989,0.26990246772766113
163,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,-0.04082218557596207,0.46515828371047974,0.21216804906725883
164,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,0,0,0.45286887884140015,0.3179710805416107,0.38541997969150543
165,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,7,7,0.2883930504322052,0.48466256260871887,0.38652780652046204
166,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.17717336118221283,0.29601287841796875,0.2365931198000908
167,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,4,4,0.285101979970932,0.4338856041431427,0.35949379205703735
168,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.15797391533851624,0.23579350113868713,0.19688370823860168
169,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,-0.252583384513855,0.4905913472175598,0.11900398135185242
170,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,7,7,0.45509472489356995,0.21254989504814148,0.3338223099708557
