sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,5,3,-0.08097811043262482,0.42980194091796875,0.17441191524267197
1,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.2670530080795288,0.44102805852890015,0.3540405333042145
2,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.25465360283851624,0.4987349212169647,0.3766942620277405
3,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,8,0,-0.16069677472114563,0.4259965121746063,0.13264986872673035
4,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,4,6,0.3080975413322449,0.5633095502853394,0.4357035458087921
5,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.5970921516418457,0.32102376222610474,0.4590579569339752
6,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,9,1,0.6097224950790405,0.603961169719696,0.6068418323993683
7,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,7,6,0.6319649815559387,0.42906779050827026,0.5305163860321045
8,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,5,3,0.7354302406311035,0.4555809497833252,0.5955055952072144
9,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,1,1,0.4544016718864441,0.5834882259368896,0.5189449489116669
10,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,0,0,0.20898963510990143,0.4641055166721344,0.3365475758910179
11,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,7,9,0.5914505124092102,0.6218580007553101,0.6066542565822601
12,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,0.43084582686424255,0.5625484585762024,0.4966971427202225
13,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,7,7,0.10007668286561966,0.5808152556419373,0.34044596925377846
14,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.06660374253988266,0.38807401061058044,0.22733887657523155
15,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,6,8,0.34109899401664734,0.5078244209289551,0.4244617074728012
16,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,0.40465208888053894,0.6227195262908936,0.5136858075857162
17,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,7,7,0.23663882911205292,0.35741132497787476,0.29702507704496384
18,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.18630832433700562,0.5506352186203003,0.36847177147865295
19,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.1368682086467743,0.4593113660812378,0.29808978736400604
20,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,7,7,0.4347403347492218,0.5157074332237244,0.4752238839864731
21,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,0,0,0.7466721534729004,0.3952847719192505,0.5709784626960754
22,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,0,4,0.3897869884967804,0.36850932240486145,0.3791481554508209
23,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,1,9,0.21904785931110382,0.22445212304592133,0.22174999117851257
24,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,6,5,0.5176606774330139,0.4635078012943268,0.49058423936367035
25,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,2,7,2,0.33275774121284485,0.6443875432014465,0.4885726422071457
26,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,5,4,-0.0475778691470623,0.2319840043783188,0.09220306761562824
27,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,2,0,-0.08332083374261856,0.39401277899742126,0.15534597262740135
28,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,1,9,0.2425101399421692,0.5700294375419617,0.40626978874206543
29,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.5340214967727661,0.28552961349487305,0.4097755551338196
30,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.5731313824653625,0.4067433476448059,0.48993736505508423
31,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,2,5,0.29312369227409363,0.42262643575668335,0.3578750640153885
32,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,5,4,0.13237465918064117,0.5726227760314941,0.35249871760606766
33,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,0.39233818650245667,0.557411789894104,0.47487498819828033
34,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,8,9,0.7226176261901855,0.5347127914428711,0.6286652088165283
35,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,2,7,2,0.43226638436317444,0.4688785672187805,0.4505724757909775
36,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,6,4,-0.2883569598197937,0.4069112539291382,0.05927714705467224
37,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,9,1,0.43760716915130615,0.2539879083633423,0.3457975387573242
38,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.5129897594451904,0.6046379804611206,0.5588138699531555
39,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,8,5,0.39653414487838745,0.3841129243373871,0.39032353460788727
40,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,9,4,0.2598893940448761,0.6086294054985046,0.43425939977169037
41,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.6880719065666199,0.5113145709037781,0.599693238735199
42,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,0.06802307069301605,0.44846048951148987,0.25824178010225296
43,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,3,6,0.36916449666023254,0.33587244153022766,0.3525184690952301
44,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,2,0,-0.15390470623970032,0.36003580689430237,0.10306555032730103
45,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,3,9,0.1460716724395752,0.5092673897743225,0.32766953110694885
46,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,3,3,0.30981019139289856,0.4880015552043915,0.398905873298645
47,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,4,9,0.3416577875614166,0.49836447834968567,0.42001113295555115
48,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,4,7,0.2850871980190277,0.48072201013565063,0.3829046040773392
49,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,4,6,0.27871739864349365,0.6014624238014221,0.4400899112224579
50,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.29219192266464233,0.5979065895080566,0.4450492560863495
51,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,0,8,0.5783283710479736,0.6656332015991211,0.6219807863235474
52,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,6,0,0.8256982564926147,0.5207194685935974,0.6732088625431061
53,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,6,3,0.15931741893291473,0.5048608183860779,0.3320891186594963
54,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.029614422470331192,0.45952922105789185,0.24457182176411152
55,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.7930420637130737,0.6151414513587952,0.7040917575359344
56,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,5,7,0.05257411673665047,0.45808860659599304,0.25533136166632175
57,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,5,7,0.4577624201774597,0.3686242699623108,0.41319334506988525
58,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,8,4,0.18087804317474365,0.24918650090694427,0.21503227204084396
59,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,3,6,0.4206274151802063,0.48180532455444336,0.45121636986732483
60,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,4,7,0.4112589359283447,0.33596497774124146,0.3736119568347931
