sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,nmi_pca_xai,lsas,lsas_pca_center,lsas_xai_center,lsas_shuffled
0,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,3,3,0.07111258059740067,0.1976112723350525,0.09845147930998394,0.13436192646622658,-0.19428148865699768,-0.0064019933342933655,0.2760542966425419
1,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.4225400388240814,0.2738698422908783,0.13946254808370961,0.34820494055747986,0.02960735559463501,0.036811430007219315,-0.023163437843322754
2,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.401924729347229,0.43442413210868835,0.12263623190809715,0.4181744307279587,-0.1878732144832611,0.018362343311309814,0.09961730241775513
3,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,8,8,0.43308648467063904,0.3126821219921112,0.12951112585875615,0.3728843033313751,-0.005576401948928833,0.07687996327877045,0.13246583938598633
4,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.47265371680259705,0.24721933901309967,0.10523808444916548,0.35993652790784836,0.2537274658679962,0.09361732844263315,0.22783878818154335
5,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.15725161135196686,0.3486374616622925,0.07772456922051187,0.25294453650712967,0.4761839210987091,0.38523735105991364,0.14420056529343128
6,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,1,1,0.14045514166355133,0.5040632486343384,0.11960022003942795,0.32225919514894485,0.32340938597917557,0.4346252977848053,0.13104186579585075
7,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,7,7,0.5208806991577148,0.4799443483352661,0.1432366385271673,0.5004125237464905,0.0198352187871933,0.3218817636370659,0.1619509868323803
8,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,6,6,0.7497365474700928,0.6424709558486938,0.09678236281498284,0.6961037516593933,0.025708824396133423,0.019603967666625977,0.1830957904458046
9,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,8,8,0.15337280929088593,0.33539190888404846,0.13029036047768014,0.2443823590874672,0.06804108619689941,0.22212349250912666,-0.004738867282867432
10,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,2,2,-0.32912540435791016,0.4457477927207947,0.14658263465267468,0.05831119418144226,0.6245005130767822,-0.02445046603679657,0.15090645104646683
11,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.442447304725647,0.3704603314399719,0.11921882932647344,0.40645381808280945,0.02058655023574829,0.08892420306801796,0.04575968533754349
12,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,-0.1184108555316925,0.44627395272254944,0.08847144340931035,0.16393154859542847,0.3086277022957802,0.41809263825416565,0.0539301373064518
13,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,3,3,0.8244267106056213,0.32913893461227417,0.17732896831690395,0.5767828226089478,0.6242475211620331,0.44765646755695343,0.4648423343896866
14,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,-0.06478435546159744,0.41714709997177124,0.0985617382787675,0.1761813722550869,-0.03443562984466553,0.16231046989560127,0.019416019320487976
15,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,4,4,0.43177279829978943,0.3803042769432068,0.11895345379310206,0.4060385376214981,0.12460145354270935,0.21046504378318787,0.5020053684711456
16,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,-0.01285441592335701,0.40343937277793884,0.09245681725793971,0.19529247842729092,0.16659944504499435,0.13115038722753525,0.06605420261621475
17,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,8,8,0.42276352643966675,0.36420321464538574,0.11252753537181365,0.39348337054252625,0.17675785347819328,0.1539606023579836,0.16071425937116146
18,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.21731296181678772,0.18618187308311462,0.12571594967719366,0.20174741744995117,0.013229310512542725,-0.07777205854654312,0.006105005741119385
19,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.6345809698104858,0.31683942675590515,0.15727803672357676,0.4757101982831955,0.245420154184103,0.20896951109170914,0.049691880121827126
20,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,0.035578809678554535,0.4477483332157135,0.13483445746018533,0.24166357144713402,0.33069778233766556,0.032230690121650696,0.0025647878646850586
21,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.9091100096702576,0.6895132064819336,0.3707040070062273,0.7993116080760956,0.6209886521100998,0.516805574297905,0.2506682500243187
22,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,4,4,0.7170540690422058,0.6059121489524841,0.15541625743834986,0.661483108997345,0.28664328902959824,0.18322179932147264,0.23946469277143478
23,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,-0.17099861800670624,0.37148281931877136,0.10181837261230031,0.10024210065603256,0.2799164913594723,0.08038628101348877,0.2576238214969635
24,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,2,2,0.5203951597213745,0.44262659549713135,0.12864633947935392,0.48151087760925293,0.5453605651855469,0.35762329399585724,0.19535440066829324
25,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,7,7,-0.11413595080375671,0.22168560326099396,0.08232242407965266,0.05377482622861862,0.3592670187354088,0.12902943076915108,0.024576231837272644
26,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,7,7,0.6258969306945801,0.32653918862342834,0.11859812184254565,0.4762180596590042,0.1441878378391266,-0.07539861649274826,0.3362077474594116
27,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,6,6,0.6520509719848633,0.5453754663467407,0.14588896440212032,0.598713219165802,0.16688060760498047,0.049053043127059937,0.38480309396982193
28,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,0.15363027155399323,0.4811168313026428,0.08514938442917575,0.317373551428318,0.267536049708724,0.5552778840065002,0.07046797126531601
