architecture,checkpoint,feature_source,knn_k,knn_accuracy,knn_correct,knn_total,feature_dim,bank_samples,query_samples,temperature,bank_std_mean,bank_std_min,bank_norm_mean,query_std_mean,query_std_min,query_norm_mean,elapsed_minutes
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_backbone_best.pt,backbone,1,0.279,2790,10000,192,50000,10000,0.07,0.9214231371879578,0.6101050972938538,13.65153694152832,0.9207782745361328,0.6016865968704224,13.651632308959961,0.7760954380035401
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_backbone_best.pt,backbone,5,0.3162,3162,10000,192,50000,10000,0.07,0.9214231371879578,0.6101050972938538,13.65153694152832,0.9207782745361328,0.6016865968704224,13.651632308959961,0.7760954380035401
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_backbone_best.pt,backbone,10,0.339,3390,10000,192,50000,10000,0.07,0.9214231371879578,0.6101050972938538,13.65153694152832,0.9207782745361328,0.6016865968704224,13.651632308959961,0.7760954380035401
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_backbone_best.pt,backbone,20,0.3542,3542,10000,192,50000,10000,0.07,0.9214231371879578,0.6101050972938538,13.65153694152832,0.9207782745361328,0.6016865968704224,13.651632308959961,0.7760954380035401
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_backbone_best.pt,backbone,50,0.3661,3661,10000,192,50000,10000,0.07,0.9214231371879578,0.6101050972938538,13.65153694152832,0.9207782745361328,0.6016865968704224,13.651632308959961,0.7760954380035401
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_backbone_best.pt,backbone,100,0.3661,3661,10000,192,50000,10000,0.07,0.9214231371879578,0.6101050972938538,13.65153694152832,0.9207782745361328,0.6016865968704224,13.651632308959961,0.7760954380035401
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_backbone_best.pt,projector,1,0.2742,2742,10000,512,50000,10000,0.07,1.0294578075408936,0.667496919631958,23.159944534301758,1.0290613174438477,0.6533793210983276,23.17894744873047,0.7760954380035401
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_backbone_best.pt,projector,5,0.3098,3098,10000,512,50000,10000,0.07,1.0294578075408936,0.667496919631958,23.159944534301758,1.0290613174438477,0.6533793210983276,23.17894744873047,0.7760954380035401
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_backbone_best.pt,projector,10,0.3283,3283,10000,512,50000,10000,0.07,1.0294578075408936,0.667496919631958,23.159944534301758,1.0290613174438477,0.6533793210983276,23.17894744873047,0.7760954380035401
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005-proj512/checkpoints/vit_lejepa_backbone_best.pt,projector,20,0.3412,3412,10000,512,50000,10000,0.07,1.0294578075408936,0.667496919631958,23.159944534301758,1.0290613174438477,0.6533793210983276,23.17894744873047,0.7760954380035401
