sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,3,3,0.16983890533447266,0.24426265060901642,0.20705077797174454
1,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.5363614559173584,0.42299580574035645,0.4796786308288574
2,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.1764174848794937,0.480531245470047,0.32847436517477036
3,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,8,8,0.19777169823646545,0.526701033115387,0.3622363656759262
4,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.6194050312042236,0.6994762420654297,0.6594406366348267
5,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.5007237792015076,0.2676100730895996,0.3841669261455536
6,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,9,9,0.6167706251144409,0.6450510621070862,0.6309108436107635
7,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,2,2,0.7935857176780701,0.4627925157546997,0.6281891167163849
8,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,2,2,0.7089114189147949,0.22506116330623627,0.4669862911105156
9,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,8,8,0.347219318151474,0.29074299335479736,0.3189811557531357
10,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.27746954560279846,0.1538526564836502,0.21566110104322433
11,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.4406440258026123,0.4462054669857025,0.4434247463941574
12,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,-0.3164946734905243,0.4311431348323822,0.057324230670928955
13,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,9,9,0.07885168492794037,0.579021155834198,0.3289364203810692
14,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.17469753324985504,0.40986114740371704,0.29227934032678604
15,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.45415252447128296,0.3818907141685486,0.41802161931991577
16,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.09452050924301147,0.4998492896556854,0.29718489944934845
17,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,9,9,0.10078093409538269,0.44752153754234314,0.2741512358188629
18,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.012019170448184013,0.41398507356643677,0.2130021220073104
19,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.6689361333847046,0.7293922901153564,0.6991642117500305
20,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,0.4731962978839874,0.6028913259506226,0.538043811917305
21,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.8875460624694824,0.5084357261657715,0.697990894317627
22,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,0,0,0.47214385867118835,0.2804686725139618,0.3763062655925751
23,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,0.1932072639465332,0.42658379673957825,0.3098955303430557
24,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,2,2,0.37185946106910706,0.32716798782348633,0.3495137244462967
25,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,7,7,-0.09952225536108017,0.2828558087348938,0.09166677668690681
26,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,5,5,-0.2707251012325287,0.4436866044998169,0.0864807516336441
27,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,4,4,0.09122710675001144,0.5302831530570984,0.3107551299035549
28,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,-0.04624326899647713,0.5468231439590454,0.25028993748128414
