sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,3,3,0.16983890533447266,0.24426265060901642,0.20705077797174454
1,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.5363614559173584,0.42299580574035645,0.4796786308288574
2,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.1764174848794937,0.480531245470047,0.32847436517477036
3,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,8,0,-0.3035129904747009,0.44771406054496765,0.07210053503513336
4,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,4,6,0.35270464420318604,0.5564394593238831,0.45457205176353455
5,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.5007237792015076,0.2676100730895996,0.3841669261455536
6,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,9,1,0.7487801909446716,0.6061592102050781,0.6774697005748749
7,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,2,6,0.5336666703224182,0.5269359946250916,0.5303013324737549
8,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,2,3,0.5099459886550903,0.20413850247859955,0.35704224556684494
9,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,8,1,0.4218374788761139,0.38027384877204895,0.4010556638240814
10,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,0,0,0.27746954560279846,0.1538526564836502,0.21566110104322433
11,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.4406440258026123,0.4462054669857025,0.4434247463941574
12,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,-0.3164946734905243,0.4311431348323822,0.057324230670928955
13,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,9,7,0.5552520155906677,0.28722140192985535,0.42123670876026154
14,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.17469753324985504,0.40986114740371704,0.29227934032678604
15,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.45415252447128296,0.3818907141685486,0.41802161931991577
16,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,0.09452050924301147,0.4998492896556854,0.29718489944934845
17,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,9,7,0.06150836497545242,0.4397789239883423,0.25064364448189735
18,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.012019170448184013,0.41398507356643677,0.2130021220073104
19,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.6689361333847046,0.7293922901153564,0.6991642117500305
20,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,7,7,0.4731962978839874,0.6028913259506226,0.538043811917305
21,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,0,0,0.8875460624694824,0.5084357261657715,0.697990894317627
22,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,0,4,0.12320038676261902,0.4832369089126587,0.30321864783763885
23,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,1,9,0.45310401916503906,0.502491295337677,0.47779765725135803
24,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,2,5,0.4633445143699646,0.32932937145233154,0.39633694291114807
25,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,2,7,2,0.5340307354927063,0.5665490031242371,0.5502898693084717
26,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,5,4,0.8180495500564575,0.49622541666030884,0.6571374833583832
