architecture,checkpoint,feature_source,knn_k,knn_accuracy,knn_correct,knn_total,feature_dim,bank_samples,query_samples,temperature,bank_std_mean,bank_std_min,bank_norm_mean,query_std_mean,query_std_min,query_norm_mean,elapsed_minutes
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,backbone,1,0.3571,3571,10000,192,50000,10000,0.07,0.884623646736145,0.6910682320594788,13.265461921691895,0.8838526606559753,0.6900078058242798,13.265268325805664,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,backbone,5,0.3981,3981,10000,192,50000,10000,0.07,0.884623646736145,0.6910682320594788,13.265461921691895,0.8838526606559753,0.6900078058242798,13.265268325805664,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,backbone,10,0.4189,4189,10000,192,50000,10000,0.07,0.884623646736145,0.6910682320594788,13.265461921691895,0.8838526606559753,0.6900078058242798,13.265268325805664,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,backbone,20,0.4318,4318,10000,192,50000,10000,0.07,0.884623646736145,0.6910682320594788,13.265461921691895,0.8838526606559753,0.6900078058242798,13.265268325805664,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,backbone,50,0.4385,4385,10000,192,50000,10000,0.07,0.884623646736145,0.6910682320594788,13.265461921691895,0.8838526606559753,0.6900078058242798,13.265268325805664,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,backbone,100,0.446,4460,10000,192,50000,10000,0.07,0.884623646736145,0.6910682320594788,13.265461921691895,0.8838526606559753,0.6900078058242798,13.265268325805664,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,projector,1,0.3461,3461,10000,256,50000,10000,0.07,1.002610206604004,0.777433454990387,16.047435760498047,1.0014170408248901,0.7668343186378479,16.04719352722168,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,projector,5,0.3841,3841,10000,256,50000,10000,0.07,1.002610206604004,0.777433454990387,16.047435760498047,1.0014170408248901,0.7668343186378479,16.04719352722168,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,projector,10,0.4112,4112,10000,256,50000,10000,0.07,1.002610206604004,0.777433454990387,16.047435760498047,1.0014170408248901,0.7668343186378479,16.04719352722168,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,projector,20,0.4284,4284,10000,256,50000,10000,0.07,1.002610206604004,0.777433454990387,16.047435760498047,1.0014170408248901,0.7668343186378479,16.04719352722168,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,projector,50,0.4387,4387,10000,256,50000,10000,0.07,1.002610206604004,0.777433454990387,16.047435760498047,1.0014170408248901,0.7668343186378479,16.04719352722168,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,projector,100,0.4439,4439,10000,256,50000,10000,0.07,1.002610206604004,0.777433454990387,16.047435760498047,1.0014170408248901,0.7668343186378479,16.04719352722168,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,predictor,1,0.3559,3559,10000,256,50000,10000,0.07,0.7353998422622681,0.5425317287445068,11.748647689819336,0.7352730631828308,0.532583475112915,11.759170532226562,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,predictor,5,0.3981,3981,10000,256,50000,10000,0.07,0.7353998422622681,0.5425317287445068,11.748647689819336,0.7352730631828308,0.532583475112915,11.759170532226562,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,predictor,10,0.4208,4208,10000,256,50000,10000,0.07,0.7353998422622681,0.5425317287445068,11.748647689819336,0.7352730631828308,0.532583475112915,11.759170532226562,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,predictor,20,0.4335,4335,10000,256,50000,10000,0.07,0.7353998422622681,0.5425317287445068,11.748647689819336,0.7352730631828308,0.532583475112915,11.759170532226562,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,predictor,50,0.442,4420,10000,256,50000,10000,0.07,0.7353998422622681,0.5425317287445068,11.748647689819336,0.7352730631828308,0.532583475112915,11.759170532226562,0.7656756560007731
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4-sig005/checkpoints/vit_lejepa_backbone_last.pt,predictor,100,0.446,4460,10000,256,50000,10000,0.07,0.7353998422622681,0.5425317287445068,11.748647689819336,0.7352730631828308,0.532583475112915,11.759170532226562,0.7656756560007731
