sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,3,3,0.32955193519592285,0.24264509975910187,0.28609851747751236
1,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.5732801556587219,0.35957834124565125,0.4664292484521866
2,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.17460063099861145,0.18374384939670563,0.17917224019765854
3,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,8,0,-0.03562077134847641,0.33065488934516907,0.14751705899834633
4,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.367604523897171,0.20561598241329193,0.2866102531552315
5,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.2491183578968048,0.2019776701927185,0.22554801404476166
6,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,1,1,0.24723051488399506,0.2618972063064575,0.2545638605952263
7,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,7,6,0.71708744764328,0.20256561040878296,0.4598265290260315
8,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,2,3,0.4955347180366516,0.10171195864677429,0.29862333834171295
9,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,7,1,0.40914806723594666,0.3823344111442566,0.3957412391901016
10,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,0,0,0.30641329288482666,0.3195301592350006,0.31297172605991364
11,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,7,9,0.22245638072490692,0.202078178524971,0.21226727962493896
12,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,0.5673424601554871,0.4062894880771637,0.4868159741163254
13,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,3,7,0.6831598877906799,0.44168075919151306,0.5624203234910965
14,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.28582534193992615,0.28696537017822266,0.2863953560590744
15,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,6,8,0.018444525077939034,0.08210159093141556,0.050273058004677296
16,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,0.5348039269447327,0.29139217734336853,0.4130980521440506
17,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,5,7,0.16153334081172943,0.24693311750888824,0.20423322916030884
18,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.34834158420562744,0.22166608273983002,0.28500383347272873
19,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,4,6,0.3790030777454376,0.2506107985973358,0.3148069381713867
20,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,7,7,-0.04777251183986664,0.18877841532230377,0.07050295174121857
21,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,0,0,0.8087998032569885,0.36915871500968933,0.5889792591333389
22,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,0,4,0.45268547534942627,0.4589446485042572,0.45581506192684174
23,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,1,9,-0.06192069873213768,0.26621130108833313,0.10214530117809772
24,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,4,5,-0.2342410832643509,0.06816619634628296,-0.08303744345903397
25,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,2,7,2,-0.004966721870005131,0.1411859393119812,0.06810960872098804
26,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,3,4,0.57732754945755,0.4378245174884796,0.5075760334730148
27,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,6,0,0.09593021124601364,0.19755145907402039,0.146740835160017
28,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,7,9,-0.002941846614703536,0.24304397404193878,0.12005106371361762
29,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,-0.3301754891872406,0.21271786093711853,-0.058728814125061035
30,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.2855345904827118,0.14439882338047028,0.21496670693159103
31,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,2,5,0.04673495143651962,0.16341571509838104,0.10507533326745033
32,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,6,4,0.1965663880109787,0.179346963763237,0.18795667588710785
33,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,0.769683837890625,0.3624958097934723,0.5660898238420486
34,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,0,9,0.4471157193183899,0.28561022877693176,0.3663629740476608
35,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,2,3,2,0.4572467803955078,0.32050374150276184,0.3888752609491348
36,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,6,4,0.11119711399078369,0.1279197782278061,0.11955844610929489
37,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,1,1,-0.18565312027931213,0.18990208208560944,0.002124480903148651
38,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.3056105673313141,0.5125946402549744,0.4091026037931442
39,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,8,5,-0.0436665341258049,0.2781795561313629,0.11725651100277901
40,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,8,4,0.3305065929889679,0.09692638367414474,0.21371648833155632
41,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.5613729357719421,0.20223169028759003,0.3818023130297661
42,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,0.31694549322128296,0.34608620405197144,0.3315158486366272
43,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.6812219619750977,0.30009186267852783,0.49065691232681274
44,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,0,0,0.11171852797269821,0.3990759253501892,0.2553972266614437
45,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.15466438233852386,0.2092178761959076,0.18194112926721573
46,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,3,3,0.2464839369058609,0.2439386248588562,0.24521128088235855
47,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,6,9,-0.1789029836654663,0.19309765100479126,0.007097333669662476
48,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,4,7,0.006872105877846479,0.07683474570512772,0.0418534257914871
49,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.3402235507965088,0.18434737622737885,0.2622854635119438
50,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,0,9,0.48703765869140625,0.30054810643196106,0.39379288256168365
51,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,2,8,-0.22233715653419495,0.1393183469772339,-0.04150940477848053
52,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,2,0,0.511281430721283,0.17260988056659698,0.34194565564393997
53,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,7,3,0.555136501789093,0.13977891206741333,0.3474577069282532
54,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.7979809045791626,0.33813542127609253,0.5680581629276276
55,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.1749975085258484,0.11068324744701385,0.14284037798643112
56,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,3,7,-0.2194996029138565,0.36162546277046204,0.07106292992830276
57,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,3,7,0.5981479287147522,0.17583562433719635,0.3869917765259743
58,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,8,4,0.15841476619243622,0.28726834058761597,0.2228415533900261
59,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,3,6,0.5856253504753113,0.44689497351646423,0.5162601619958878
60,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,4,7,0.5049934983253479,0.1370614767074585,0.3210274875164032
61,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,5,3,0.21225959062576294,0.1716492921113968,0.19195444136857986
62,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.6307812929153442,0.18385612964630127,0.40731871128082275
63,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,9,3,0.11473602056503296,0.4502217769622803,0.2824788987636566
