architecture,checkpoint,feature_source,knn_k,knn_accuracy,knn_correct,knn_total,feature_dim,bank_samples,query_samples,temperature,bank_std_mean,bank_std_min,bank_norm_mean,query_std_mean,query_std_min,query_norm_mean,elapsed_minutes
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4/checkpoints/vit_lejepa_backbone_best.pt,backbone,1,0.2971,2971,10000,192,50000,10000,0.07,0.8623805642127991,0.6808016896247864,13.257922172546387,0.8609651327133179,0.6786180734634399,13.257949829101562,0.7015812913576762
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4/checkpoints/vit_lejepa_backbone_best.pt,backbone,5,0.3391,3391,10000,192,50000,10000,0.07,0.8623805642127991,0.6808016896247864,13.257922172546387,0.8609651327133179,0.6786180734634399,13.257949829101562,0.7015812913576762
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4/checkpoints/vit_lejepa_backbone_best.pt,backbone,10,0.3632,3632,10000,192,50000,10000,0.07,0.8623805642127991,0.6808016896247864,13.257922172546387,0.8609651327133179,0.6786180734634399,13.257949829101562,0.7015812913576762
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4/checkpoints/vit_lejepa_backbone_best.pt,backbone,20,0.382,3820,10000,192,50000,10000,0.07,0.8623805642127991,0.6808016896247864,13.257922172546387,0.8609651327133179,0.6786180734634399,13.257949829101562,0.7015812913576762
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4/checkpoints/vit_lejepa_backbone_best.pt,backbone,50,0.4021,4021,10000,192,50000,10000,0.07,0.8623805642127991,0.6808016896247864,13.257922172546387,0.8609651327133179,0.6786180734634399,13.257949829101562,0.7015812913576762
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4/checkpoints/vit_lejepa_backbone_best.pt,backbone,100,0.4068,4068,10000,192,50000,10000,0.07,0.8623805642127991,0.6808016896247864,13.257922172546387,0.8609651327133179,0.6786180734634399,13.257949829101562,0.7015812913576762
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4/checkpoints/vit_lejepa_backbone_best.pt,projector,1,0.2977,2977,10000,256,50000,10000,0.07,0.9984865784645081,0.804786205291748,16.005447387695312,0.9975953102111816,0.8016786575317383,16.017175674438477,0.7015812913576762
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4/checkpoints/vit_lejepa_backbone_best.pt,projector,5,0.3337,3337,10000,256,50000,10000,0.07,0.9984865784645081,0.804786205291748,16.005447387695312,0.9975953102111816,0.8016786575317383,16.017175674438477,0.7015812913576762
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4/checkpoints/vit_lejepa_backbone_best.pt,projector,10,0.3553,3553,10000,256,50000,10000,0.07,0.9984865784645081,0.804786205291748,16.005447387695312,0.9975953102111816,0.8016786575317383,16.017175674438477,0.7015812913576762
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa-v4-short-lr2e4/checkpoints/vit_lejepa_backbone_best.pt,projector,20,0.3717,3717,10000,256,50000,10000,0.07,0.9984865784645081,0.804786205291748,16.005447387695312,0.9975953102111816,0.8016786575317383,16.017175674438477,0.7015812913576762
