sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,-0.2086264193058014,0.0976453498005867,-0.055490534752607346
1,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,-0.0766647458076477,0.34394657611846924,0.13364091515541077
2,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.3882395029067993,0.21548794209957123,0.30186372250318527
3,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,8,8,0.01955881528556347,0.4744895100593567,0.24702416267246008
4,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,-0.22344738245010376,0.11615897715091705,-0.05364420264959335
5,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.4553179442882538,0.19173482060432434,0.32352638244628906
6,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,9,9,0.24340467154979706,0.12392983585596085,0.18366725370287895
7,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,2,2,0.811872661113739,0.3244568407535553,0.5681647509336472
8,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,4,4,0.5403693914413452,0.1614602953195572,0.3509148433804512
9,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,5,5,0.29217690229415894,0.33810797333717346,0.3151424378156662
10,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.3128920793533325,0.23510600626468658,0.27399904280900955
11,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.4455662965774536,0.31752926111221313,0.3815477788448334
12,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,3,3,0.507442057132721,0.3709482252597809,0.4391951411962509
13,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,9,9,0.8548953533172607,0.35249975323677063,0.6036975532770157
14,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,0.10149881988763809,0.2314663678407669,0.1664825938642025
15,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.024724815040826797,0.08893563598394394,0.05683022551238537
16,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.31874942779541016,0.26205360889434814,0.29040151834487915
17,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,9,9,0.07470331341028214,0.1883363127708435,0.13151981309056282
18,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,9,9,0.37065815925598145,0.15013696253299713,0.2603975608944893
19,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.06337381154298782,0.23661798238754272,0.14999589696526527
20,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,0.6179968118667603,0.49022176861763,0.5541092902421951
21,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.8264263272285461,0.44233739376068115,0.6343818604946136
22,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,0,0,0.6976981163024902,0.4440968632698059,0.5708974897861481
23,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,-0.23897548019886017,0.139481320977211,-0.049747079610824585
24,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,4,4,0.18394753336906433,0.22643113136291504,0.20518933236598969
25,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,4,4,-0.10461550205945969,0.08393756300210953,-0.01033896952867508
26,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,5,5,0.5013147592544556,0.32584571838378906,0.4135802388191223
27,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,6,6,0.20022925734519958,0.11248471587896347,0.15635698661208153
28,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,0.17926989495754242,0.26084715127944946,0.22005852311849594
29,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,-0.09839358925819397,0.17959743738174438,0.04060192406177521
30,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.3098723888397217,0.2133958637714386,0.26163412630558014
31,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,4,4,0.12838159501552582,0.18299950659275055,0.15569055080413818
32,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,4,4,0.5510761141777039,0.16888748109340668,0.35998179763555527
33,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.5816720128059387,0.22385358810424805,0.4027628004550934
34,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,8,8,0.021457357332110405,0.26098236441612244,0.14121986087411642
35,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,5,5,0.20903708040714264,0.24936816096305847,0.22920262068510056
36,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,4,4,-0.1696806252002716,0.13149727880954742,-0.01909167319536209
37,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,1,1,0.09674160182476044,0.2276887744665146,0.1622151881456375
38,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.299437940120697,0.22627127170562744,0.26285460591316223
39,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,-0.25155091285705566,0.09684988856315613,-0.07735051214694977
40,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,1,1,0.40887659788131714,0.2122122198343277,0.3105444088578224
41,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.4960719048976898,0.18054699897766113,0.3383094519376755
42,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,5,5,0.17867211997509003,0.21376217901706696,0.1962171494960785
43,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,3,3,0.4823282063007355,0.3099091947078705,0.396118700504303
44,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,2,2,0.2540544271469116,0.2751464247703552,0.2646004259586334
45,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,-0.014119865372776985,0.30780425667762756,0.1468421956524253
46,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,0.08647295087575912,0.14313186705112457,0.11480240896344185
47,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,2,2,0.23793476819992065,0.2070583999156952,0.22249658405780792
48,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,4,4,0.4643763601779938,0.260732501745224,0.3625544309616089
49,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.6378845572471619,0.38964933156967163,0.5137669444084167
50,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,0,0,-0.017381520941853523,0.12894681096076965,0.055782645009458065
51,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,0,0,0.39165815711021423,0.2874557673931122,0.3395569622516632
52,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,5,5,0.2837812602519989,0.24466249346733093,0.2642218768596649
53,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,7,7,0.1465829312801361,0.2623659670352936,0.20447444915771484
54,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.4005078971385956,0.20813915133476257,0.3043235242366791
55,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,4,4,0.07905478030443192,0.2086082547903061,0.143831517547369
56,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,5,5,-0.24248994886875153,0.2338172346353531,-0.004336357116699219
57,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,5,5,0.38625288009643555,0.5236056447029114,0.45492926239967346
58,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,8,8,0.023429322987794876,0.16725201904773712,0.095340671017766
59,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,8,8,0.157294362783432,0.15104717016220093,0.15417076647281647
60,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,4,4,0.4502420425415039,0.12487451732158661,0.28755827993154526
61,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,4,4,0.4239296019077301,0.3626905679702759,0.393310084939003
62,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,2,2,0.36320969462394714,0.2850121259689331,0.3241109102964401
63,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,9,9,-0.012356066145002842,0.3210572898387909,0.15435061184689403
64,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,-0.18299099802970886,0.07449214905500412,-0.05424942448735237
65,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,2,2,0.32846876978874207,0.21307073533535004,0.27076975256204605
66,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,8,8,0.2523718476295471,0.21492061018943787,0.2336462289094925
67,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,0,0,0.07706913352012634,0.3579440712928772,0.21750660240650177
68,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,7,7,0.3602379262447357,0.13988815248012543,0.2500630393624306
69,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,0,0,-0.05567999929189682,0.19734670221805573,0.07083335146307945
70,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,2,2,0.6395035982131958,0.3153645098209381,0.47743405401706696
71,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.24857400357723236,0.35139623284339905,0.2999851182103157
72,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,0,0,0.2929213047027588,0.19708463549613953,0.24500297009944916
73,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.17727045714855194,0.10337642580270767,0.1403234414756298
74,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,9,9,0.05842875316739082,0.12463453412055969,0.09153164364397526
75,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,4,4,-0.04510120302438736,0.3132070302963257,0.13405291363596916
76,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.26628485321998596,0.217986062169075,0.2421354576945305
77,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,0.147932767868042,0.20482237637043,0.176377572119236
78,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,0.22683179378509521,0.25776007771492004,0.24229593575000763
79,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.440613716840744,0.1708785742521286,0.3057461455464363
80,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.5763377547264099,0.3118216395378113,0.4440796971321106
81,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,1,1,-0.1630617380142212,0.21024326980113983,0.02359076589345932
82,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,2,2,-0.21420812606811523,0.2657618224620819,0.025776848196983337
83,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,4,4,0.39570316672325134,0.18404772877693176,0.28987544775009155
84,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,5,5,0.6672480702400208,0.32611677050590515,0.49668242037296295
85,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,7,7,0.3674992322921753,0.29677221179008484,0.33213572204113007
86,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,9,9,0.1840154528617859,0.22300654649734497,0.20351099967956543
87,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,0,0,-0.20124445855617523,0.5357813239097595,0.16726843267679214
88,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,7,7,0.22647297382354736,0.21241311728954315,0.21944304555654526
89,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,0.04481302201747894,0.24334567785263062,0.14407934993505478
90,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,8,8,0.3796621859073639,0.25635141134262085,0.31800679862499237
91,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,2,2,0.13792002201080322,0.1686526983976364,0.15328636020421982
92,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.11973632127046585,0.31821924448013306,0.21897778287529945
93,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.3872119188308716,0.32763171195983887,0.3574218153953552
94,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,2,2,0.23098857700824738,0.18408264219760895,0.20753560960292816
95,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,7,7,0.28101295232772827,0.4414423406124115,0.3612276464700699
96,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,-0.004288411699235439,0.18092110753059387,0.08831634791567922
97,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,0,0,0.9586352705955505,0.4994518756866455,0.729043573141098
98,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,2,2,0.3104113042354584,0.3516974449157715,0.33105437457561493
99,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,7,7,0.15251654386520386,0.3647339642047882,0.25862525403499603
100,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,4,4,0.5430473685264587,0.18760037422180176,0.36532387137413025
101,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,8,8,0.12967826426029205,0.2765004634857178,0.2030893638730049
102,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.4891885817050934,0.4331638813018799,0.46117623150348663
103,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,5,5,-0.04642773047089577,0.16272862255573273,0.05815044604241848
104,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,1,1,-0.01147792860865593,0.18644654750823975,0.08748430944979191
105,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,8,8,0.3770512044429779,0.4049648940563202,0.39100804924964905
106,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,8,8,0.687940776348114,0.30957865715026855,0.4987597167491913
107,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,0.2437426894903183,0.3245501220226288,0.28414640575647354
108,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,9,9,0.48129966855049133,0.25819650292396545,0.3697480857372284
109,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,5,5,-0.1635223776102066,0.09315319359302521,-0.0351845920085907
110,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,4,5,5,-0.10470279306173325,0.17888161540031433,0.03708941116929054
111,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,8,8,0.20863740146160126,0.25758227705955505,0.23310983926057816
112,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,4,4,0.5787946581840515,0.35673752427101135,0.46776609122753143
113,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,2,2,2,0.06680170446634293,0.09937573224306107,0.083088718354702
