sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,5,3,-0.36589333415031433,0.1328294724225998,-0.11653193086385727
1,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,-0.0766647458076477,0.34394657611846924,0.13364091515541077
2,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.3882395029067993,0.21548794209957123,0.30186372250318527
3,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,8,0,0.3794606924057007,0.421041339635849,0.40025101602077484
4,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,4,6,-0.08899284899234772,0.16497845947742462,0.03799280524253845
5,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.4553179442882538,0.19173482060432434,0.32352638244628906
6,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,9,1,0.17525111138820648,0.1738470047712326,0.17454905807971954
7,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,2,6,0.7225640416145325,0.3442191779613495,0.533391609787941
8,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,4,3,0.5705254673957825,0.17110922932624817,0.3708173483610153
9,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,5,1,0.29129770398139954,0.1810912936925888,0.23619449883699417
10,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,0,0,0.3128920793533325,0.23510600626468658,0.27399904280900955
11,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.4455662965774536,0.31752926111221313,0.3815477788448334
12,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,3,5,0.5375327467918396,0.2465645670890808,0.3920486569404602
13,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,9,7,0.5994576811790466,0.15981560945510864,0.37963664531707764
14,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,1,9,0.12727798521518707,0.3217945694923401,0.22453627735376358
15,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.024724815040826797,0.08893563598394394,0.05683022551238537
16,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,0.31874942779541016,0.26205360889434814,0.29040151834487915
17,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,9,7,0.011310518719255924,0.32837942242622375,0.16984497057273984
18,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,9,8,0.6246824860572815,0.3810833692550659,0.5028829276561737
19,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,4,6,0.22773894667625427,0.3038528561592102,0.26579590141773224
20,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,7,7,0.6179968118667603,0.49022176861763,0.5541092902421951
21,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,0,0,0.8264263272285461,0.44233739376068115,0.6343818604946136
22,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,0,4,0.7447963356971741,0.5399008393287659,0.64234858751297
23,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,1,9,-0.22576388716697693,0.15218974649906158,-0.03678707033395767
24,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,4,5,0.12141884863376617,0.18370597064495087,0.15256240963935852
25,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,2,4,2,0.04200993850827217,0.1266399770975113,0.08432495780289173
26,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,5,4,0.25634026527404785,0.3350449800491333,0.2956926226615906
27,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,6,0,0.3804093599319458,0.19725018739700317,0.2888297736644745
28,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,1,9,0.050535865128040314,0.192796528339386,0.12166619673371315
29,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,-0.09839358925819397,0.17959743738174438,0.04060192406177521
30,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.3098723888397217,0.2133958637714386,0.26163412630558014
31,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,4,5,0.058642350137233734,0.1644694209098816,0.11155588552355766
32,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,4,4,0.5510761141777039,0.16888748109340668,0.35998179763555527
33,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,0.5816720128059387,0.22385358810424805,0.4027628004550934
34,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,8,9,0.05586140602827072,0.3254728317260742,0.19066711887717247
35,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,2,5,2,-0.006612914614379406,0.2693553566932678,0.1313712210394442
36,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,4,4,-0.1696806252002716,0.13149727880954742,-0.01909167319536209
37,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,1,1,0.09674160182476044,0.2276887744665146,0.1622151881456375
38,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.299437940120697,0.22627127170562744,0.26285460591316223
39,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,-0.25155091285705566,0.09684988856315613,-0.07735051214694977
40,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,4,1,4,0.31518256664276123,0.27045589685440063,0.29281923174858093
