architecture,checkpoint,feature_source,knn_k,knn_accuracy,knn_correct,knn_total,feature_dim,bank_samples,query_samples,temperature,bank_std_mean,bank_std_min,bank_norm_mean,query_std_mean,query_std_min,query_norm_mean,elapsed_minutes
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,backbone,1,0.1729,1729,10000,192,50000,10000,0.07,0.02291639894247055,0.010820349678397179,8.99614143371582,0.02314944937825203,0.011026975698769093,8.99609375,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,backbone,5,0.1882,1882,10000,192,50000,10000,0.07,0.02291639894247055,0.010820349678397179,8.99614143371582,0.02314944937825203,0.011026975698769093,8.99609375,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,backbone,10,0.2047,2047,10000,192,50000,10000,0.07,0.02291639894247055,0.010820349678397179,8.99614143371582,0.02314944937825203,0.011026975698769093,8.99609375,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,backbone,20,0.2147,2147,10000,192,50000,10000,0.07,0.02291639894247055,0.010820349678397179,8.99614143371582,0.02314944937825203,0.011026975698769093,8.99609375,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,backbone,50,0.2325,2325,10000,192,50000,10000,0.07,0.02291639894247055,0.010820349678397179,8.99614143371582,0.02314944937825203,0.011026975698769093,8.99609375,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,backbone,100,0.235,2350,10000,192,50000,10000,0.07,0.02291639894247055,0.010820349678397179,8.99614143371582,0.02314944937825203,0.011026975698769093,8.99609375,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,projector,1,0.1753,1753,10000,256,50000,10000,0.07,0.03855152428150177,0.016285844147205353,14.702893257141113,0.039023496210575104,0.016292475163936615,14.703012466430664,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,projector,5,0.1948,1948,10000,256,50000,10000,0.07,0.03855152428150177,0.016285844147205353,14.702893257141113,0.039023496210575104,0.016292475163936615,14.703012466430664,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,projector,10,0.2066,2066,10000,256,50000,10000,0.07,0.03855152428150177,0.016285844147205353,14.702893257141113,0.039023496210575104,0.016292475163936615,14.703012466430664,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,projector,20,0.2205,2205,10000,256,50000,10000,0.07,0.03855152428150177,0.016285844147205353,14.702893257141113,0.039023496210575104,0.016292475163936615,14.703012466430664,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,projector,50,0.2337,2337,10000,256,50000,10000,0.07,0.03855152428150177,0.016285844147205353,14.702893257141113,0.039023496210575104,0.016292475163936615,14.703012466430664,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,projector,100,0.2365,2365,10000,256,50000,10000,0.07,0.03855152428150177,0.016285844147205353,14.702893257141113,0.039023496210575104,0.016292475163936615,14.703012466430664,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,predictor,1,0.1,1000,10000,256,50000,10000,0.07,0.0,0.0,0.0032800284679979086,0.0,0.0,0.003280028235167265,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,predictor,5,0.1,1000,10000,256,50000,10000,0.07,0.0,0.0,0.0032800284679979086,0.0,0.0,0.003280028235167265,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,predictor,10,0.1,1000,10000,256,50000,10000,0.07,0.0,0.0,0.0032800284679979086,0.0,0.0,0.003280028235167265,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,predictor,20,0.1,1000,10000,256,50000,10000,0.07,0.0,0.0,0.0032800284679979086,0.0,0.0,0.003280028235167265,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,predictor,50,0.1,1000,10000,256,50000,10000,0.07,0.0,0.0,0.0032800284679979086,0.0,0.0,0.003280028235167265,0.7573510527610778
vit_tiny_cifar,experiments/experiment-c10-vit-lejepa/checkpoints/vit_lejepa_backbone_best.pt,predictor,100,0.1,1000,10000,256,50000,10000,0.07,0.0,0.0,0.0032800284679979086,0.0,0.0,0.003280028235167265,0.7573510527610778
