sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,3,7,7,0.004565672017633915,0.24186822772026062,0.12321694986894727
1,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,8,8,8,-0.33199405670166016,0.3102210760116577,-0.01088649034500122
2,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,8,8,8,-0.4498676657676697,0.40374988317489624,-0.02305889129638672
3,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,0,8,8,-0.14806608855724335,0.40455520153045654,0.1282445564866066
4,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,6,7,7,-0.24607203900814056,0.20915749669075012,-0.01845727115869522
5,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,6,6,6,-0.11748997867107391,0.22530671954154968,0.053908370435237885
6,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,1,9,9,-0.12319955229759216,0.2925666272640228,0.08468353748321533
7,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,6,7,7,0.5097789168357849,0.23973765969276428,0.3747582882642746
8,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,3,8,8,-0.06553445756435394,0.27350926399230957,0.10398740321397781
9,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,1,9,9,-0.31358566880226135,0.27674415707588196,-0.018420755863189697
10,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,0,9,9,-0.18329843878746033,0.29227063059806824,0.054486095905303955
11,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,9,9,9,-0.21333380043506622,0.4028942584991455,0.09478022903203964
12,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,5,9,9,0.011776997707784176,0.33615171909332275,0.17396435840055346
13,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,7,1,1,-0.23138882219791412,0.41523289680480957,0.09192203730344772
14,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,9,1,1,0.1174386516213417,0.23018795251846313,0.17381330206990242
15,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,8,5,5,-0.1442854255437851,0.21954064071178436,0.037627607583999634
16,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,5,9,9,-0.26033344864845276,0.44686126708984375,0.0932639092206955
17,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,7,8,8,-0.41088545322418213,0.3608115613460541,-0.025036945939064026
18,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,8,8,8,-0.37434667348861694,0.4003153145313263,0.012984320521354675
19,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,6,3,3,-0.32574981451034546,0.3829328119754791,0.028591498732566833
20,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,7,9,9,-0.2835323214530945,0.34768956899642944,0.03207862377166748
21,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,0,0,0,0.12337859719991684,0.3844100534915924,0.2538943253457546
22,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,4,4,4,0.5943880677223206,0.31358009576797485,0.4539840817451477
23,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,9,1,1,-0.17035511136054993,0.29981154203414917,0.06472821533679962
24,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,5,5,5,-0.022772355005145073,0.3340655565261841,0.1556466007605195
25,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,2,7,7,-0.1787130981683731,0.4506548047065735,0.1359708532691002
26,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,4,7,7,0.12211387604475021,0.2565445899963379,0.18932923302054405
27,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,0,7,7,-0.19173772633075714,0.3109593391418457,0.05961080640554428
28,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,9,9,9,-0.24473077058792114,0.40554511547088623,0.08040717244148254
29,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,6,6,6,0.14985957741737366,0.14201395213603973,0.1459367647767067
30,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,6,6,6,0.44470131397247314,0.14270782470703125,0.2937045693397522
31,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,5,4,4,-0.2320641726255417,0.3366609215736389,0.052298374474048615
32,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,4,4,4,-0.6086612343788147,0.09858053177595139,-0.25504035130143166
33,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,5,9,9,-0.009866048581898212,0.5001060962677002,0.245120023842901
34,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,9,9,9,-0.09555595368146896,0.4928120970726013,0.19862807169556618
35,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,2,9,9,-0.07466617971658707,0.43181583285331726,0.1785748265683651
36,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,4,4,4,-0.3720550239086151,0.3731856346130371,0.0005653053522109985
37,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,1,5,5,0.044944699853658676,0.3418905735015869,0.1934176366776228
38,vit_lejepa,vit_tiny_cifar,attention_rollout,predicted,blocks.1,9,7,7,-0.32217055559158325,0.2969356179237366,-0.01261746883392334
