sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,7,7,-0.13427641987800598,0.50705885887146,0.186391219496727
1,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,-0.09745026379823685,0.39134034514427185,0.1469450406730175
2,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,-0.37088608741760254,0.4281774163246155,0.02864566445350647
3,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,8,8,0.708137035369873,0.4144435226917267,0.5612902790307999
4,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,7,7,-0.3025691509246826,0.5063731670379639,0.10190200805664062
5,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,6,6,-0.585682213306427,0.32131412625312805,-0.13218404352664948
6,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,9,9,0.30678051710128784,0.5086497664451599,0.4077151417732239
7,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,7,7,0.5017211437225342,0.42024898529052734,0.46098506450653076
8,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,3,8,8,0.20010732114315033,0.3928975760936737,0.296502448618412
9,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,1,9,9,0.06335755437612534,0.3503668010234833,0.2068621776998043
10,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,0,9,9,-0.6080245971679688,0.21659177541732788,-0.19571641087532043
11,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,9,9,0.5580222606658936,0.5444279313087463,0.55122509598732
12,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,9,9,-0.18500083684921265,0.4419252872467041,0.12846222519874573
13,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,1,1,0.8234166502952576,0.7268285751342773,0.7751226127147675
14,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,9,1,1,-0.5198978185653687,0.3875081539154053,-0.06619483232498169
15,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,5,5,-0.15856850147247314,0.46365633606910706,0.15254391729831696
16,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,5,9,9,0.6892353296279907,0.685066819190979,0.6871510744094849
17,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,8,8,-0.5528951287269592,0.5554393529891968,0.0012721121311187744
18,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,8,8,8,0.1902129054069519,0.38340097665786743,0.28680694103240967
19,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,6,3,3,-0.21289101243019104,0.47687026858329773,0.13198962807655334
20,vit_lejepa,vit_tiny_cifar,token_gradient,predicted,blocks.1,7,9,9,0.10629606246948242,0.5400758981704712,0.3231859803199768
