sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,7,3,-0.6228939294815063,0.46260866522789,-0.08014263212680817
1,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,-0.09745026379823685,0.39134034514427185,0.1469450406730175
2,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,-0.37088608741760254,0.4281774163246155,0.02864566445350647
3,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,8,0,0.19635386765003204,0.36995425820350647,0.28315406292676926
4,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,7,6,-0.6255772113800049,0.365352600812912,-0.13011230528354645
5,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,-0.585682213306427,0.32131412625312805,-0.13218404352664948
6,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,9,1,0.4322451949119568,0.547119677066803,0.4896824359893799
7,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,6,7,6,-0.2621435523033142,0.4130833148956299,0.07546988129615784
8,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,3,8,3,0.23968631029129028,0.3929520845413208,0.31631919741630554
9,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,1,9,1,0.3598569333553314,0.5126118659973145,0.43623439967632294
10,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,0,9,0,-0.7491311430931091,0.20221851766109467,-0.27345631271600723
11,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.5580222606658936,0.5444279313087463,0.55122509598732
12,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,9,5,-0.1052943542599678,0.463986873626709,0.1793462596833706
13,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,1,7,-0.16436298191547394,0.341675728559494,0.08865637332201004
14,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,9,1,9,-0.1863572895526886,0.44709858298301697,0.13037064671516418
15,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,8,5,8,-0.21458955109119415,0.5719612836837769,0.17868586629629135
16,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,5,9,5,-0.013332430273294449,0.45660045742988586,0.2216340135782957
17,vit_lejepa,vit_tiny_cifar,token_gradient,true,blocks.1,7,8,7,-0.5498262643814087,0.5016078352928162,-0.024109214544296265
