sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,3,3,3,-0.3370683789253235,0.29143592715263367,-0.02281622588634491
1,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,8,8,8,-0.28545841574668884,0.3357286751270294,0.025135129690170288
2,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,8,8,8,-0.25367334485054016,0.4152868986129761,0.08080677688121796
3,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,0,2,2,-0.164252370595932,0.4589328169822693,0.14734022319316864
4,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,6,6,6,0.12413778901100159,0.43186792731285095,0.27800285816192627
5,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,6,6,6,-0.013044102117419243,0.443465918302536,0.21521090809255838
6,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,1,1,1,0.09282426536083221,0.49681004881858826,0.29481715708971024
7,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,6,6,6,-0.5677297115325928,0.33706167340278625,-0.11533401906490326
8,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,3,3,3,-0.4199564754962921,0.39715489745140076,-0.011400789022445679
9,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,1,1,1,-0.052210960537195206,0.5210942625999451,0.23444165103137493
10,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,0,0,0,0.48318931460380554,0.4008449614048004,0.442017138004303
11,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,9,9,9,-0.25317928194999695,0.48103660345077515,0.1139286607503891
12,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,5,5,5,-0.5071302056312561,0.4117564857006073,-0.0476868599653244
13,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,7,7,7,-0.35087841749191284,0.4283272624015808,0.038724422454833984
14,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,9,9,9,-0.1574941724538803,0.49966537952423096,0.17108560353517532
15,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,8,8,8,0.0425264947116375,0.4616076648235321,0.2520670797675848
16,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,5,5,5,-0.28886547684669495,0.5074906349182129,0.10931257903575897
17,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,7,7,7,-0.4454246163368225,0.3509865403175354,-0.047219038009643555
18,vit_supervised,vit_tiny_cifar,attention_rollout,predicted,blocks.1,8,8,8,-0.15711577236652374,0.508435845375061,0.17566003650426865
