sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,3,3,3,-0.6311635375022888,0.3220442235469818,-0.1545596569776535
1,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,-0.20863741636276245,0.32855433225631714,0.059958457946777344
2,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,-0.3350547254085541,0.3073731064796448,-0.013840809464454651
3,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,0,2,0,-0.2966732978820801,0.350378155708313,0.026852428913116455
4,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,-0.08983033150434494,0.29593321681022644,0.10305144265294075
5,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.04728002846240997,0.43639758229255676,0.24183880537748337
6,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,1,1,1,0.02302880398929119,0.3803955018520355,0.20171215292066336
7,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,-0.1548086702823639,0.27284175157546997,0.05901654064655304
8,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,3,3,3,-0.020895840600132942,0.33347031474113464,0.15628723707050085
9,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,1,1,1,0.09353943169116974,0.4913940727710724,0.29246675223112106
10,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,0,0,0,0.22787585854530334,0.32811853289604187,0.2779971957206726
11,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,-0.20107054710388184,0.38181689381599426,0.09037317335605621
12,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,-0.058002594858407974,0.433963805437088,0.18798060528934002
13,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,7,7,7,0.13439629971981049,0.5013543963432312,0.31787534803152084
14,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,9,9,9,0.1129264086484909,0.256558358669281,0.18474238365888596
15,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,0.35701611638069153,0.4960159957408905,0.426516056060791
16,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,5,5,5,-0.13168860971927643,0.18698596954345703,0.0276486799120903
17,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,7,7,7,-0.19629859924316406,0.30675607919692993,0.055228739976882935
18,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,8,8,8,-0.6102477312088013,0.21663011610507965,-0.1968088075518608
19,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,6,6,6,0.008394432254135609,0.3269851803779602,0.1676898063160479
20,vit_supervised,vit_tiny_cifar,token_gradient,true,blocks.1,7,7,7,-0.2175714522600174,0.2982907295227051,0.04035963863134384
