sample_idx,sample_id,mode,architecture,xai_method,target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,iou_pca_gt,iou_xai_gt,soft_iou_pca_gt,soft_iou_xai_gt,object_focus_pca,object_focus_xai,foreground_area,pca_stability,g_lsas_no_stability,g_lsas,top_frac
0,n01443537/ILSVRC2012_val_00004677,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,50,50,-0.014961225911974907,0.172422856092453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9915246367454529,-0.005984490364789963,0.1434922664426267,0.2
1,n01443537/ILSVRC2012_val_00006007,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,61,61,0.4259854257106781,0.10979052633047104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9441744089126587,0.17039417028427126,0.2907210603356361,0.2
2,n01443537/ILSVRC2012_val_00013623,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,10,10,0.035104900598526,0.43129968643188477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9832251667976379,0.0140419602394104,0.15977049022912979,0.2
3,n01443537/ILSVRC2012_val_00018075,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,89,89,0.024724258109927177,0.04957788810133934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9789177775382996,0.009889703243970871,0.15549115696921945,0.2
4,n01443537/ILSVRC2012_val_00020436,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,93,93,0.15918900072574615,0.4724125564098358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9524181485176086,0.06367560029029846,0.19857887253165246,0.2
5,n01443537/ILSVRC2012_val_00020785,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,89,89,0.2307344377040863,0.2939009666442871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791299104690552,0.09229377508163453,0.22762653976678848,0.2
6,n01443537/ILSVRC2012_val_00021905,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,56,56,0.05027080699801445,0.008170904591679573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899719953536987,0.020108322799205783,0.16609058175235986,0.2
7,n01443537/ILSVRC2012_val_00026064,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,66,66,-0.05089777335524559,0.086524099111557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9351340532302856,-0.02035910934209824,0.12245588731020689,0.2
8,n01443537/ILSVRC2012_val_00028713,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,33,33,0.14475379884243011,0.4734693765640259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.961286723613739,0.05790151953697205,0.1948568381369114,0.2
9,n01443537/ILSVRC2012_val_00032235,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,89,89,-0.17765910923480988,0.22757557034492493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761749505996704,-0.07106364369392396,0.0842455543577671,0.2
10,n01443537/ILSVRC2012_val_00032258,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,7,7,0.002517720917239785,0.20920655131340027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9891003370285034,0.0010070883668959142,0.14924625287530943,0.2
11,n01443537/ILSVRC2012_val_00037846,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,61,61,0.05278065800666809,0.20263433456420898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899330139160156,0.021112263202667236,0.16696318238973618,0.2
12,n01443537/ILSVRC2012_val_00038057,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,23,23,0.06916848570108414,0.29436254501342773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988736629486084,0.027667394280433657,0.17251946441829202,0.2
13,n01443537/ILSVRC2012_val_00045761,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,39,39,0.09566420316696167,0.4917556941509247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985944628715515,0.038265681266784674,0.1832716405391693,0.2
14,n01443537/ILSVRC2012_val_00048864,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,42,42,0.2388082593679428,0.46699169278144836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984502196311951,0.09552330374717713,0.23335042372345924,0.2
15,n01491361/ILSVRC2012_val_00002922,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,1,63,63,-0.06576036661863327,0.026590589433908463,0.1234871712118269,0.3550302933672762,0.08563912659883499,0.022733280435204506,0.3188505470752716,0.8736352920532227,0.3550302933672762,0.9939115047454834,0.11725109272627761,0.24569996354007662,0.2
0,n01443537/ILSVRC2012_val_00004677,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,50,50,0.19886966049671173,0.4238831102848053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9969813227653503,0.0795478641986847,0.21915157958865164,0.2
1,n01443537/ILSVRC2012_val_00006007,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,61,61,0.3342220187187195,0.3896726965904236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9858595132827759,0.1336888074874878,0.26485663354396816,0.2
2,n01443537/ILSVRC2012_val_00013623,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,10,10,0.0391145795583725,0.12661981582641602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9913134574890137,0.015645831823349,0.16238712146878242,0.2
3,n01443537/ILSVRC2012_val_00018075,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,89,89,0.004679199308156967,0.2113610804080963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9956339597702026,0.001871679723262787,0.15098281372338532,0.2
4,n01443537/ILSVRC2012_val_00020436,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,93,93,-0.008436191827058792,0.2504866421222687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958688020706177,-0.003374476730823517,0.14642765317112208,0.2
