sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,predicted,backbone.layer1,0,7,7,0.039381857961416245,0.03931579366326332,0.03934882581233978
1,lejepa,gradcam,predicted,backbone.layer1,0,7,7,0.09504915773868561,0.5429657101631165,0.31900743395090103
2,lejepa,gradcam,predicted,backbone.layer1,0,81,81,0.14808188378810883,0.133921280503273,0.14100158214569092
3,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.4495683014392853,0.28617537021636963,0.36787183582782745
4,lejepa,gradcam,predicted,backbone.layer1,0,11,11,0.1184990406036377,0.09942426532506943,0.10896165296435356
5,lejepa,gradcam,predicted,backbone.layer1,0,11,11,0.17810875177383423,0.4091481864452362,0.2936284691095352
6,lejepa,gradcam,predicted,backbone.layer1,0,7,7,-0.0110090970993042,0.0008095327648334205,-0.005099782167235389
7,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.3994752764701843,0.31084731221199036,0.35516129434108734
8,lejepa,gradcam,predicted,backbone.layer1,0,0,0,-0.1001448780298233,0.4892094135284424,0.19453226774930954
9,lejepa,gradcam,predicted,backbone.layer1,0,97,97,0.11156478524208069,0.39162418246269226,0.2515944838523865
10,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.0007600784301757812,0.3294026255607605,0.16508135199546814
11,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.11607436090707779,0.29599249362945557,0.20603342726826668
12,lejepa,gradcam,predicted,backbone.layer1,0,98,98,-0.16230158507823944,0.3848668336868286,0.11128262430429459
13,lejepa,gradcam,predicted,backbone.layer1,0,81,81,0.31121087074279785,0.37744608521461487,0.34432847797870636
14,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.3523261845111847,0.27524739503860474,0.3137867897748947
15,lejepa,gradcam,predicted,backbone.layer1,0,0,0,-0.1328343003988266,0.32053688168525696,0.09385129064321518
16,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.16279460489749908,0.13378287851810455,0.14828874170780182
