sample_idx,sample_id,mode,architecture,xai_method,target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,iou_pca_gt,iou_xai_gt,soft_iou_pca_gt,soft_iou_xai_gt,object_focus_pca,object_focus_xai,foreground_area,pca_stability,g_lsas_no_stability,g_lsas,top_frac
0,n01443537/ILSVRC2012_val_00004677,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,44,44,0.06929058581590652,0.021909702569246292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9224190711975098,0.02771623432636261,0.16261456571519375,0.2
1,n01443537/ILSVRC2012_val_00006007,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,39,39,-0.005201179999858141,0.3910399377346039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9515621066093445,-0.0020804719999432566,0.14091390299145132,0.2
2,n01443537/ILSVRC2012_val_00013623,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,80,80,-0.1431507170200348,0.10996157675981522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9495354294776917,-0.05726028680801392,0.09232756346464158,0.2
3,n01443537/ILSVRC2012_val_00018075,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,10,10,0.1042150929570198,0.23436839878559113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.819083571434021,0.041686037182807924,0.15933781825006008,0.2
4,n01443537/ILSVRC2012_val_00020436,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,39,39,0.2464359998703003,0.5996561646461487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9185076355934143,0.09857439994812012,0.22402874529361724,0.2
5,n01443537/ILSVRC2012_val_00020785,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,99,99,0.11046450585126877,0.3243461847305298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8931915163993835,0.04418580234050751,0.1726413045078516,0.2
6,n01443537/ILSVRC2012_val_00021905,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,6,6,-0.38076362013816833,0.34228697419166565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9799578189849854,-0.15230544805526736,0.013726405799388913,0.2
7,n01443537/ILSVRC2012_val_00026064,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,9,9,0.3511163592338562,0.44765064120292664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8790997862815857,0.14044654369354248,0.2547556936740875,0.2
8,n01443537/ILSVRC2012_val_00028713,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,10,10,-0.013220621272921562,0.25475749373435974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9187559485435486,-0.005288248509168625,0.13318617483600972,0.2
9,n01443537/ILSVRC2012_val_00032235,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,89,89,0.07171957194805145,0.28867873549461365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9730101823806763,0.028687828779220582,0.17105337753891944,0.2
