sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.0,0.0,0.0
1,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.37457820773124695,0.26193371415138245,-0.05632224678993225
2,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.25098440051078796,0.08883842080831528,-0.08107298985123634
3,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.09244836121797562,0.32768094539642334,0.21006465330719948
4,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.36490052938461304,0.4385737180709839,0.40173712372779846
5,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.2181127965450287,0.5178906917572021,0.3680017441511154
6,supervised,gradcam,predicted,backbone.layer1,0,55,55,-0.09083700180053711,0.20404057204723358,0.056601785123348236
7,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.22892461717128754,0.47470763325691223,0.3518161252140999
8,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.28213590383529663,0.4646236002445221,0.09124384820461273
9,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.445284366607666,0.11756742000579834,0.2814258933067322
10,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.075406514108181,0.34357666969299316,0.13408507779240608
11,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.01370382308959961,0.2801346182823181,0.14691922068595886
12,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.1102028340101242,0.48723968863487244,0.18851842731237411
13,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.08047664910554886,0.06220326945185661,-0.009136689826846123
14,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.07482743263244629,0.5214534997940063,0.2981404662132263
15,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.2113237828016281,0.013263004831969738,0.11229339381679893
16,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.2776772677898407,0.5606626272201538,0.41916994750499725
17,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.10939252376556396,0.4163323640823364,0.2628624439239502
18,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.10122416913509369,0.18526269495487213,0.1432434320449829
19,supervised,gradcam,predicted,backbone.layer1,0,73,73,-0.013265315443277359,0.21208852529525757,0.0994116049259901
20,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.14836302399635315,0.21642804145812988,0.03403250873088837
21,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.42069363594055176,0.41243672370910645,0.4165651798248291
22,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.025789452716708183,0.11567064374685287,0.07073004823178053
23,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.4453246295452118,0.13461363315582275,0.2899691313505173
24,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.04002620279788971,0.4067417085170746,0.22338395565748215
25,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.2293723225593567,0.44718116521835327,0.338276743888855
26,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.16761110723018646,0.34018629789352417,0.08628759533166885
27,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.19347770512104034,0.46735629439353943,0.3304169997572899
28,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.2212872952222824,0.0513603650033474,0.1363238301128149
29,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.013541280291974545,0.22209927439689636,0.11782027734443545
30,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.057200394570827484,0.48609277606010437,0.2716465853154659
31,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.18553699553012848,0.28584805130958557,0.23569252341985703
0,supervised,gradcam,predicted,backbone.layer2,0,0,0,0.6062821745872498,0.2929142415523529,0.44959820806980133
1,supervised,gradcam,predicted,backbone.layer2,0,0,0,-0.4853731095790863,0.278912216424942,-0.10323044657707214
2,supervised,gradcam,predicted,backbone.layer2,0,0,0,-0.04179822653532028,0.49250099062919617,0.22535138204693794
3,supervised,gradcam,predicted,backbone.layer2,0,0,0,0.4804820120334625,0.5779106616973877,0.5291963368654251
