sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,40,40,0.4690212905406952,0.19614818692207336,0.3325847387313843
1,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,83,83,0.4296874403953552,0.17233744263648987,0.30101244151592255
2,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,47,47,0.12160997837781906,0.2745552361011505,0.1980826072394848
3,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,96,96,-0.19891618192195892,0.3371085822582245,0.06909620016813278
4,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,93,93,0.02900541201233864,0.22027423977851868,0.12463982589542866
5,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,74,74,-0.009627529419958591,0.25158631801605225,0.12097939429804683
6,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,11,11,0.20168465375900269,0.3528658151626587,0.2772752344608307
7,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,96,96,-0.061634212732315063,0.3181689977645874,0.12826739251613617
8,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,-0.0034578831400722265,0.3482131361961365,0.17237762652803212
9,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,51,51,-0.42590096592903137,0.1127052828669548,-0.15659784153103828
10,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.09996715933084488,0.172608882188797,0.13628802075982094
11,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.5213154554367065,0.35750332474708557,0.43940939009189606
12,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,6,6,-0.043193619698286057,0.13409540057182312,0.04545089043676853
13,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.13989192247390747,0.27084630727767944,0.20536911487579346
14,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,8,8,0.24345894157886505,0.2574598491191864,0.2504593953490257
15,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,5,5,0.14096860587596893,0.07792205363512039,0.10944532975554466
16,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.20559321343898773,0.3586171865463257,0.2821051999926567
17,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,28,28,-0.023996086791157722,0.2974851429462433,0.13674452807754278
18,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,-0.14453956484794617,0.14482152462005615,0.00014097988605499268
19,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,43,43,0.26735273003578186,0.33729150891304016,0.302322119474411
20,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,9,9,0.5206899046897888,0.2800649404525757,0.40037742257118225
21,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,57,57,0.38696181774139404,0.4671541750431061,0.42705799639225006
22,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.10559737682342529,0.10349157452583313,0.10454447567462921
