sample_idx,sample_id,mode,architecture,xai_method,target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,iou_pca_gt,iou_xai_gt,soft_iou_pca_gt,soft_iou_xai_gt,object_focus_pca,object_focus_xai,foreground_area,pca_stability,g_lsas_no_stability,g_lsas,top_frac
0,n01443537/ILSVRC2012_val_00004677,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,6,6,0.330520898103714,0.4818131923675537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8714773654937744,0.1322083592414856,0.24640391916036605,0.2
1,n01443537/ILSVRC2012_val_00006007,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,39,39,0.45326611399650574,0.21830590069293976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938040971755981,0.18130644559860232,0.30771375447511673,0.2
2,n01443537/ILSVRC2012_val_00013623,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,76,76,0.15623202919960022,0.2058853954076767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992596447467804,0.06249281167984009,0.20357067734003068,0.2
3,n01443537/ILSVRC2012_val_00018075,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,50,50,0.5328599214553833,0.30371755361557007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9790058732032776,0.21314396858215334,0.3333518534898757,0.2
4,n01443537/ILSVRC2012_val_00020436,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,62,62,0.6818966865539551,0.523979127407074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9863353371620178,0.27275867462158204,0.3866141408681869,0.2
5,n01443537/ILSVRC2012_val_00020785,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.2967243492603302,0.26848986744880676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12108628451824188,0.11868973970413209,0.12201646491885185,0.2
6,n01443537/ILSVRC2012_val_00021905,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,51,51,0.2697189152240753,0.3244161903858185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9804267287254333,0.10788756608963013,0.24146562963724136,0.2
7,n01443537/ILSVRC2012_val_00026064,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,94,94,0.3136599659919739,0.17527815699577332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9519442319869995,0.12546398639678955,0.2525726228952408,0.2
8,n01443537/ILSVRC2012_val_00028713,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,99,99,0.14957723021507263,0.4989752471446991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995755553245544,0.059830892086029056,0.2022883638739586,0.2
9,n01443537/ILSVRC2012_val_00032235,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,97,97,0.10578861832618713,0.3274488151073456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9928738474845886,0.042315447330474855,0.1859570935368538,0.2
10,n01443537/ILSVRC2012_val_00032258,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,99,99,0.5547681450843811,0.3684249520301819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9884570240974426,0.22190725803375244,0.34243740439414977,0.2
