sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.2115125209093094,0.04785774648189545,0.12968513369560242
1,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.7391002774238586,0.2750379145145416,0.5070690959692001
2,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,-0.11774326860904694,0.08941580355167389,-0.014163732528686523
3,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,-0.10929826647043228,0.1493188738822937,0.02001030370593071
4,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,-0.00398206477984786,0.11475978046655655,0.055388857843354344
5,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.019887380301952362,0.22566089034080505,0.12277413532137871
6,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,40,40,0.3057900369167328,0.17724457383155823,0.2415173053741455
7,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,-0.026139957830309868,0.19716303050518036,0.08551153633743525
8,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.2825045585632324,0.19492694735527039,0.2387157529592514
9,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,-0.11409591138362885,0.15254247188568115,0.019223280251026154
10,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,-0.003430391661822796,0.1161864697933197,0.05637803906574845
11,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.5747650861740112,0.17276722192764282,0.373766154050827
12,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,-0.20508615672588348,0.07364495098590851,-0.06572060286998749
13,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.09010158479213715,0.24861781299114227,0.1693596988916397
14,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,-0.1683281660079956,0.1536644995212555,-0.007331833243370056
15,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,-0.006063949782401323,0.05399540811777115,0.023965729167684913
