sample_idx,sample_id,mode,architecture,xai_method,target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,iou_pca_gt,iou_xai_gt,soft_iou_pca_gt,soft_iou_xai_gt,object_focus_pca,object_focus_xai,foreground_area,pca_stability,g_lsas_no_stability,g_lsas,top_frac
0,n01443537/ILSVRC2012_val_00004677,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,29,29,0.2192022204399109,0.4048284888267517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7806339263916016,0.08768088817596437,0.193815866112709,0.2
1,n01443537/ILSVRC2012_val_00006007,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,18,18,0.279847115278244,0.22640343010425568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942125082015991,0.11193884611129762,0.24707836657762525,0.2
2,n01443537/ILSVRC2012_val_00013623,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,24,24,0.17900218069553375,0.5063942670822144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9600209593772888,0.0716008722782135,0.20665390715003013,0.2
3,n01443537/ILSVRC2012_val_00018075,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,0.07842116057872772,0.4700501263141632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9708112478256226,0.03136846423149109,0.1730690933763981,0.2
4,n01443537/ILSVRC2012_val_00020436,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,47,47,0.33582285046577454,0.5748523473739624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9779355525970459,0.13432914018630981,0.26422833055257794,0.2
5,n01443537/ILSVRC2012_val_00020785,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,28,28,0.24963150918483734,0.48276472091674805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9805711507797241,0.09985260367393495,0.23445670083165168,0.2
6,n01443537/ILSVRC2012_val_00021905,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,33,33,0.016360502690076828,0.039534419775009155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976287305355072,0.0065442010760307315,0.15216927174478767,0.2
7,n01443537/ILSVRC2012_val_00026064,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,9,9,0.025722630321979523,0.26472458243370056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958263635635376,0.01028905212879181,0.15837687514722348,0.2
8,n01443537/ILSVRC2012_val_00028713,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,5,5,0.13623790442943573,0.47656407952308655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988086462020874,0.0544951617717743,0.1958962358534336,0.2
9,n01443537/ILSVRC2012_val_00032235,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,47,47,0.36671698093414307,0.24576859176158905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9836070537567139,0.14668679237365723,0.2758920013904571,0.2
10,n01443537/ILSVRC2012_val_00032258,lejepa,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,0.26475661993026733,0.1693030744791031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977725744247437,0.10590264797210694,0.2423307031393051,0.2
