sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,lejepa,gradcam,predicted,backbone.layer1,0,29,29,0.18047933280467987,0.4139789938926697,0.2972291633486748
1,lejepa,gradcam,predicted,backbone.layer1,0,18,18,0.2707034945487976,0.27008292078971863,0.2703932076692581
2,lejepa,gradcam,predicted,backbone.layer1,0,24,24,0.1563682109117508,0.5206344723701477,0.33850134164094925
3,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.10382077097892761,0.4697888195514679,0.28680479526519775
4,lejepa,gradcam,predicted,backbone.layer1,0,47,47,0.28002864122390747,0.5588183403015137,0.41942349076271057
5,lejepa,gradcam,predicted,backbone.layer1,0,28,28,0.28338897228240967,0.49294808506965637,0.388168528676033
6,lejepa,gradcam,predicted,backbone.layer1,0,34,34,0.18456093966960907,0.05646723508834839,0.12051408737897873
7,lejepa,gradcam,predicted,backbone.layer1,0,3,3,0.1771736443042755,0.33293527364730835,0.25505445897579193
8,lejepa,gradcam,predicted,backbone.layer1,0,5,5,0.0787387415766716,0.5004099607467651,0.28957435116171837
9,lejepa,gradcam,predicted,backbone.layer1,0,11,11,0.4325149357318878,0.358024001121521,0.3952694684267044
10,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.3288074731826782,0.19065257906913757,0.2597300261259079
11,lejepa,gradcam,predicted,backbone.layer1,0,30,30,0.03208612650632858,0.08929701894521713,0.06069157272577286
12,lejepa,gradcam,predicted,backbone.layer1,0,0,0,0.22549499571323395,0.05870305746793747,0.1420990265905857
13,lejepa,gradcam,predicted,backbone.layer1,0,47,47,0.05412231385707855,0.4496656656265259,0.2518939897418022
14,lejepa,gradcam,predicted,backbone.layer1,0,47,47,0.12728112936019897,0.18772339820861816,0.15750226378440857
15,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.3723807632923126,0.48437342047691345,0.42837709188461304
16,lejepa,gradcam,predicted,backbone.layer1,1,6,6,0.3265656530857086,0.4138113856315613,0.37018851935863495
17,lejepa,gradcam,predicted,backbone.layer1,1,1,1,-0.0633268877863884,0.37103623151779175,0.15385467186570168
18,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.0004979009972885251,0.37944817543029785,0.1899730382137932
19,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.3892004191875458,0.5285316705703735,0.45886604487895966
20,lejepa,gradcam,predicted,backbone.layer1,1,1,1,-0.2747988700866699,0.3356204926967621,0.03041081130504608
21,lejepa,gradcam,predicted,backbone.layer1,1,0,0,-0.06943158805370331,0.4211282432079315,0.1758483275771141
22,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.2310035079717636,0.10614021867513657,0.1685718633234501
23,lejepa,gradcam,predicted,backbone.layer1,1,1,1,0.08526516705751419,0.1809428334236145,0.13310400024056435
24,lejepa,gradcam,predicted,backbone.layer1,1,1,1,-0.2378966212272644,0.33673903346061707,0.04942120611667633
25,lejepa,gradcam,predicted,backbone.layer1,2,2,2,-0.007808845490217209,0.047999851405620575,0.020095502957701683
26,lejepa,gradcam,predicted,backbone.layer1,2,2,2,0.1631309986114502,0.2544412314891815,0.20878611505031586
27,lejepa,gradcam,predicted,backbone.layer1,2,12,12,0.05198344960808754,0.06535831838846207,0.0586708839982748
28,lejepa,gradcam,predicted,backbone.layer1,2,2,2,0.2942456305027008,0.2629237174987793,0.27858467400074005
29,lejepa,gradcam,predicted,backbone.layer1,2,47,47,0.16071635484695435,0.42880019545555115,0.29475827515125275
30,lejepa,gradcam,predicted,backbone.layer1,2,33,33,-0.017083564773201942,0.004530627280473709,-0.006276468746364117
31,lejepa,gradcam,predicted,backbone.layer1,2,2,2,0.3604715168476105,0.26403847336769104,0.31225499510765076
0,lejepa,gradcam,predicted,backbone.layer2,0,29,29,-0.13377466797828674,0.3805980682373047,0.12341170012950897
1,lejepa,gradcam,predicted,backbone.layer2,0,18,18,-0.20918695628643036,0.29290106892585754,0.04185705631971359
2,lejepa,gradcam,predicted,backbone.layer2,0,24,24,0.04066987335681915,0.24085883796215057,0.14076435565948486
3,lejepa,gradcam,predicted,backbone.layer2,0,0,0,-0.0029165875166654587,0.184693843126297,0.09088862780481577
4,lejepa,gradcam,predicted,backbone.layer2,0,47,47,-0.09397909045219421,0.2654065787792206,0.08571374416351318
5,lejepa,gradcam,predicted,backbone.layer2,0,28,28,0.4570276141166687,0.09603697806596756,0.27653229609131813
6,lejepa,gradcam,predicted,backbone.layer2,0,34,34,-0.09176837652921677,0.30257850885391235,0.1054050661623478
7,lejepa,gradcam,predicted,backbone.layer2,0,3,3,-0.2271844744682312,0.22763440012931824,0.00022496283054351807
8,lejepa,gradcam,predicted,backbone.layer2,0,5,5,0.11743798851966858,0.19201330840587616,0.15472564846277237
9,lejepa,gradcam,predicted,backbone.layer2,0,11,11,0.06517364829778671,0.13356995582580566,0.09937180206179619
10,lejepa,gradcam,predicted,backbone.layer2,0,0,0,-0.023376433178782463,0.19910824298858643,0.08786590490490198
