sample_idx,sample_id,mode,architecture,xai_method,target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,iou_pca_gt,iou_xai_gt,soft_iou_pca_gt,soft_iou_xai_gt,object_focus_pca,object_focus_xai,foreground_area,pca_stability,g_lsas_no_stability,g_lsas,top_frac
0,n01443537/ILSVRC2012_val_00004677,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,0.1457986682653427,0.2772284746170044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766629934310913,0.05831946730613709,0.19752898290753362,0.2
1,n01443537/ILSVRC2012_val_00006007,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,0.5053435564041138,0.0556001178920269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942091703414917,0.20213742256164552,0.32600162029266355,0.2
2,n01443537/ILSVRC2012_val_00013623,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,41,41,0.02202482707798481,0.4287717938423157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9585287570953369,0.008809930831193925,0.15148800304159524,0.2
3,n01443537/ILSVRC2012_val_00018075,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,0.12767161428928375,0.3839467167854309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8755176663398743,0.051068645715713505,0.17601271495223045,0.2
4,n01443537/ILSVRC2012_val_00020436,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,0.28473126888275146,0.4727952182292938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9703449010848999,0.1138925075531006,0.24520767927169798,0.2
5,n01443537/ILSVRC2012_val_00020785,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,-0.06214834749698639,0.3146829605102539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8815444707870483,-0.024859338998794556,0.110479748994112,0.2
6,n01443537/ILSVRC2012_val_00021905,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,0.17100800573825836,0.18191632628440857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767876863479614,0.06840320229530335,0.2063709549605846,0.2
7,n01443537/ILSVRC2012_val_00026064,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,32,32,0.17953364551067352,0.07181073725223541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400785565376282,0.07181345820426942,0.20384855940937996,0.2
8,n01443537/ILSVRC2012_val_00028713,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,0.011317785829305649,0.13715355098247528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767873287200928,0.0045271143317222595,0.15047932434827088,0.2
9,n01443537/ILSVRC2012_val_00032235,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,0.19149616360664368,0.3993602395057678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9504438042640686,0.07659846544265747,0.20959022790193557,0.2
10,n01443537/ILSVRC2012_val_00032258,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,0.5355110764503479,0.3182695209980011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975733757019043,0.21420443058013916,0.33378894031047823,0.2
11,n01443537/ILSVRC2012_val_00037846,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,-0.11793985962867737,0.18736957013607025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9670650362968445,-0.04717594385147095,0.1037808045744896,0.2
12,n01443537/ILSVRC2012_val_00038057,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,0.21140387654304504,0.4478081464767456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1315307468175888,0.08456155061721803,0.09372096881270407,0.2
13,n01443537/ILSVRC2012_val_00045761,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,-0.056577812880277634,0.0950142964720726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9809271097183228,-0.022631125152111055,0.12733683194965123,0.2
14,n01443537/ILSVRC2012_val_00048864,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,0,0,0,-0.10512130707502365,0.1412503719329834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018700480461121,-0.04204852283000946,0.08348804973065851,0.2
15,n01491361/ILSVRC2012_val_00002922,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer1,1,1,1,0.3105901777744293,0.35256272554397583,0.12027837000679018,0.10328024720699497,0.11562234908342361,0.08942431956529617,0.29489821195602417,0.33084455132484436,0.3550302933672762,0.984248697757721,0.19130365627390727,0.3122335211881546,0.2
0,n01443537/ILSVRC2012_val_00004677,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,0,0,0.19570426642894745,0.25892138481140137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9696904420852661,0.07828170657157899,0.2139500595629215,0.2
1,n01443537/ILSVRC2012_val_00006007,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,0,0,0.7065892219543457,0.30796587467193604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991168975830078,0.2826356887817383,0.39717376232147217,0.2
2,n01443537/ILSVRC2012_val_00013623,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,41,41,0.009383918717503548,0.4457473158836365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666069746017456,0.0037535674870014194,0.14827541774138808,0.2
3,n01443537/ILSVRC2012_val_00018075,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,0,0,0.20540064573287964,0.4617299437522888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7831552624702454,0.08216025829315186,0.18936351537704466,0.2
4,n01443537/ILSVRC2012_val_00020436,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,0,0,0.21671366691589355,0.43035995960235596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8982892036437988,0.08668546676635742,0.21059316396713257,0.2
5,n01443537/ILSVRC2012_val_00020785,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,0,0,0.2093406766653061,0.4918288290500641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9217150807380676,0.08373627066612244,0.21152649894356726,0.2
6,n01443537/ILSVRC2012_val_00021905,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,0,0,0.7542226314544678,0.5027909278869629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991447389125824,0.30168905258178713,0.4126950293779373,0.2
7,n01443537/ILSVRC2012_val_00026064,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,32,32,0.09236808121204376,0.41197168827056885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9476624727249146,0.03694723248481751,0.17447819933295247,0.2
8,n01443537/ILSVRC2012_val_00028713,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,0,0,0.005833071656525135,0.1735074669122696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9830016493797302,0.002333228662610054,0.14949182248674334,0.2
9,n01443537/ILSVRC2012_val_00032235,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,0,0,0.3426733911037445,0.433238685131073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9584506750106812,0.1370693564414978,0.2637032881379128,0.2
10,n01443537/ILSVRC2012_val_00032258,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,0,0,0.2475682497024536,0.28906315565109253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9941681027412415,0.09902729988098145,0.23577410280704497,0.2
11,n01443537/ILSVRC2012_val_00037846,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,0,0,0.3646666705608368,0.5466458201408386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9813467860221863,0.14586666822433472,0.2748353525996208,0.2
12,n01443537/ILSVRC2012_val_00038057,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,0,0,0.20319251716136932,0.3770279586315155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9789453744888306,0.08127700686454774,0.21795918717980384,0.2
13,n01443537/ILSVRC2012_val_00045761,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,0,0,0.6360676884651184,0.32228347659111023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8649633526802063,0.25442707538604736,0.3523681938648223,0.2
14,n01443537/ILSVRC2012_val_00048864,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,0,0,0,0.057907864451408386,0.3700898289680481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.869544506072998,0.023163145780563357,0.15069942846894263,0.2
15,n01491361/ILSVRC2012_val_00002922,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer2,1,1,1,0.11057239025831223,0.4229445159435272,0.11883813426534938,0.03689775858215917,0.16907283663749695,0.08324132114648819,0.30940139293670654,0.18563531339168549,0.3550302933672762,0.985410213470459,0.09094972395757746,0.22544584182285526,0.2
0,n01443537/ILSVRC2012_val_00004677,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer3,0,0,0,0.7775093913078308,0.45895010232925415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7765815258026123,0.31100375652313234,0.3886155158281326,0.2
1,n01443537/ILSVRC2012_val_00006007,supervised,resnet18_imagenet,gradcam,predicted,backbone.layer3,0,0,0,0.14479108154773712,0.07453680783510208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990353584289551,0.05791643261909485,0.20053218230605124,0.2
