sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.12879036366939545,0.21554319560527802,0.17216677963733673
1,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.5410890579223633,0.06674350798130035,0.3039162829518318
2,supervised,gradcam,predicted,backbone.layer1,0,41,41,0.06029060110449791,0.44896015524864197,0.25462537817656994
3,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.1037360355257988,0.3935007154941559,0.24861837550997734
4,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.2621258795261383,0.509749174118042,0.38593752682209015
5,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.07823194563388824,0.3183625042438507,0.12006527930498123
6,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.33604830503463745,0.2042386680841446,0.270143486559391
7,supervised,gradcam,predicted,backbone.layer1,0,32,32,0.14300134778022766,0.06279396265745163,0.10289765521883965
8,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.06664727628231049,0.10306616872549057,0.018209446221590042
9,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.27525824308395386,0.4095207452774048,0.3423894941806793
10,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.4878697097301483,0.3047778606414795,0.3963237851858139
11,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.1413073092699051,0.1654697060585022,0.012081198394298553
12,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.1566542536020279,0.4515201151371002,0.30408718436956406
13,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.05033669248223305,0.09606204181909561,0.022862674668431282
14,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.09502142667770386,0.1195824071764946,0.01228049024939537
15,supervised,gradcam,predicted,backbone.layer1,1,1,1,0.32682210206985474,0.35127705335617065,0.3390495777130127
16,supervised,gradcam,predicted,backbone.layer1,1,1,1,-0.02282223477959633,0.4785517454147339,0.22786475531756878
17,supervised,gradcam,predicted,backbone.layer1,1,1,1,-0.05294119566679001,0.28474289178848267,0.11590084806084633
18,supervised,gradcam,predicted,backbone.layer1,1,1,1,0.013415520079433918,0.01948554441332817,0.016450532246381044
19,supervised,gradcam,predicted,backbone.layer1,1,1,1,0.04614829644560814,0.005398300476372242,0.02577329846099019
20,supervised,gradcam,predicted,backbone.layer1,1,1,1,-0.12097032368183136,0.2206445187330246,0.04983709752559662
21,supervised,gradcam,predicted,backbone.layer1,1,1,1,-0.0966619998216629,0.2637141942977905,0.08352609723806381
22,supervised,gradcam,predicted,backbone.layer1,1,1,1,0.18737894296646118,0.006902709603309631,0.0971408262848854
23,supervised,gradcam,predicted,backbone.layer1,1,1,1,-0.0030419370159506798,0.004451592918485403,0.0007048279512673616
24,supervised,gradcam,predicted,backbone.layer1,1,1,1,-0.13836421072483063,0.02117934450507164,-0.058592433109879494
25,supervised,gradcam,predicted,backbone.layer1,2,2,2,0.43907880783081055,0.469016969203949,0.45404788851737976
26,supervised,gradcam,predicted,backbone.layer1,2,2,2,0.15253634750843048,0.4963192343711853,0.3244277909398079
27,supervised,gradcam,predicted,backbone.layer1,2,2,2,0.3633805811405182,0.5441914200782776,0.4537860006093979
28,supervised,gradcam,predicted,backbone.layer1,2,2,2,0.07390373200178146,0.3251449763774872,0.19952435418963432
