sample_idx,sample_id,mode,architecture,xai_method,target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,iou_pca_gt,iou_xai_gt,soft_iou_pca_gt,soft_iou_xai_gt,object_focus_pca,object_focus_xai,foreground_area,pca_stability,g_lsas_no_stability,g_lsas,top_frac
0,n01443537/ILSVRC2012_val_00004677,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,41,41,-0.24452927708625793,0.20804916322231293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972872138023376,-0.09781171083450318,0.06400783509016036,0.2
1,n01443537/ILSVRC2012_val_00006007,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,8,8,0.4168567657470703,0.20052410662174225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9969828724861145,0.16674270629882815,0.29544729888439175,0.2
2,n01443537/ILSVRC2012_val_00013623,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,46,46,0.41246455907821655,0.19966796040534973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9900199770927429,0.16498582363128664,0.2928655922412872,0.2
3,n01443537/ILSVRC2012_val_00018075,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,47,47,0.21858231723308563,0.17702555656433105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9933870434761047,0.08743292689323426,0.22551186755299568,0.2
4,n01443537/ILSVRC2012_val_00020436,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,8,8,0.49864500761032104,0.21585609018802643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989120364189148,0.19945800304412842,0.32436255812644954,0.2
5,n01443537/ILSVRC2012_val_00020785,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,32,32,-0.12172700464725494,0.12454952299594879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9843220114707947,-0.04869080185890198,0.10504385009407996,0.2
6,n01443537/ILSVRC2012_val_00021905,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.642499566078186,0.22011519968509674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947231411933899,0.25699982643127445,0.3740833193063736,0.2
7,n01443537/ILSVRC2012_val_00026064,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,36,36,0.10210652649402618,0.13678164780139923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980615973472595,0.040842610597610476,0.1854465238749981,0.2
8,n01443537/ILSVRC2012_val_00028713,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,9,9,0.25880759954452515,0.14003297686576843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9923456311225891,0.10352303981781007,0.23943450450897213,0.2
9,n01443537/ILSVRC2012_val_00032235,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,32,32,0.07827128469944,0.07573641836643219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9943594336509705,0.031308513879776005,0.17654886469244954,0.2
10,n01443537/ILSVRC2012_val_00032258,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.6519976258277893,0.11364049464464188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995037913322449,0.2607990503311157,0.37812473773956295,0.2
11,n01443537/ILSVRC2012_val_00037846,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,8,8,0.31184306740760803,0.1308564692735672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9860804080963135,0.12473722696304322,0.25705713480710984,0.2
12,n01443537/ILSVRC2012_val_00038057,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,8,8,0.33671799302101135,0.22964033484458923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9627578854560852,0.13468719720840455,0.26226498037576673,0.2
13,n01443537/ILSVRC2012_val_00045761,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.7511276006698608,0.25777605175971985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9922530055046082,0.30045104026794434,0.4117326110601425,0.2
14,n01443537/ILSVRC2012_val_00048864,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.3263384997844696,0.20280249416828156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047988653182983,0.13053539991378785,0.2499383047223091,0.2
15,n01491361/ILSVRC2012_val_00002922,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,0.21604745090007782,0.11724940687417984,0.5255546425633932,0.22275880235304998,0.28599345684051514,0.047709133476018906,0.5420781970024109,0.5288342833518982,0.3550302933672762,0.9996065497398376,0.31091301383496406,0.4126359515051137,0.2
0,n01443537/ILSVRC2012_val_00004677,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.5,0,41,41,-0.15828698873519897,0.15420746803283691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9528307914733887,-0.06331479549407959,0.08752417266368864,0.2
1,n01443537/ILSVRC2012_val_00006007,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.5,0,8,8,0.5739935040473938,0.37555554509162903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9930938482284546,0.22959740161895753,0.349861803650856,0.2
