sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,41,41,-0.2424084097146988,0.20529954135417938,-0.018554434180259705
1,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,8,8,0.41510123014450073,0.19991330802440643,0.3075072690844536
2,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,46,46,0.4059213101863861,0.1958869993686676,0.30090415477752686
3,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,47,47,0.21760866045951843,0.17620445787906647,0.19690655916929245
4,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,8,8,0.4996322691440582,0.21581844985485077,0.3577253594994545
5,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,32,32,-0.122298963367939,0.12495941668748856,0.0013302266597747803
6,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.6416357755661011,0.21961641311645508,0.4306260943412781
7,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,36,36,0.11356758326292038,0.14437296986579895,0.12897027656435966
8,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,9,9,0.2565825581550598,0.1420203447341919,0.19930145144462585
9,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,32,32,0.07840980589389801,0.07712296396493912,0.07776638492941856
10,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.649192750453949,0.1126331090927124,0.3809129297733307
11,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,8,8,0.3119495213031769,0.13389670848846436,0.22292311489582062
12,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,8,8,0.33849066495895386,0.22870314121246338,0.2835969030857086
13,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.7504613995552063,0.2556924819946289,0.5030769407749176
14,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.33999118208885193,0.20005403459072113,0.27002260833978653
15,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,0.21971069276332855,0.11916732788085938,0.16943901032209396
16,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,16,16,0.1501612514257431,0.1883278489112854,0.16924455016851425
17,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,0.0663321316242218,0.16342322528362274,0.11487767845392227
18,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,0.3360857665538788,0.3461017906665802,0.3410937786102295
19,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,21,21,0.12936533987522125,0.14572304487228394,0.1375441923737526
20,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,0.45507293939590454,0.18098704516887665,0.3180299922823906
21,vit_lejepa,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,2,2,0.41187888383865356,0.10093308240175247,0.256405983120203
