sample_idx,sample_id,mode,architecture,xai_method,target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,iou_pca_gt,iou_xai_gt,soft_iou_pca_gt,soft_iou_xai_gt,object_focus_pca,object_focus_xai,foreground_area,pca_stability,g_lsas_no_stability,g_lsas,top_frac
0,n01443537/ILSVRC2012_val_00004677,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,23,23,0.14429621398448944,0.4088502824306488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9517615437507629,0.057718485593795776,0.19326790645718575,0.2
1,n01443537/ILSVRC2012_val_00006007,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.5310512781143188,0.09238491207361221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9654420018196106,0.21242051124572756,0.3306842476129532,0.2
2,n01443537/ILSVRC2012_val_00013623,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.17573870718479156,0.4118885397911072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9869075417518616,0.07029548287391663,0.20954467877745628,0.2
3,n01443537/ILSVRC2012_val_00018075,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.15041445195674896,0.1965041607618332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9449143409729004,0.06016578078269959,0.1943822093307972,0.2
4,n01443537/ILSVRC2012_val_00020436,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.3333688974380493,0.11121498793363571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9915856122970581,0.13334755897521974,0.26541695594787595,0.2
5,n01443537/ILSVRC2012_val_00020785,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.3039609491825104,0.1872737854719162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9909772276878357,0.12158437967300416,0.255032916367054,0.2
6,n01443537/ILSVRC2012_val_00021905,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.6702537536621094,0.3303854763507843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9822192788124084,0.26810150146484374,0.3819217056035995,0.2
7,n01443537/ILSVRC2012_val_00026064,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,3,3,0.23450826108455658,0.28653261065483093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9920230507850647,0.09380330443382263,0.23088134899735452,0.2
8,n01443537/ILSVRC2012_val_00028713,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.28601211309432983,0.47613146901130676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892157912254333,0.11440484523773194,0.24848660826683044,0.2
9,n01443537/ILSVRC2012_val_00032235,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.4147084951400757,0.27105018496513367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761219024658203,0.16588339805603028,0.2915662586688995,0.2
