sample_idx,mode,architecture,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,23,23,0.16958454251289368,0.41110989451408386,0.29034721851348877
1,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.5292770266532898,0.09143281728029251,0.31035492196679115
2,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.17739620804786682,0.4109443426132202,0.2941702753305435
3,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.1503475308418274,0.19360406696796417,0.17197579890489578
4,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.33497053384780884,0.11063510179519653,0.22280281782150269
5,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.30083444714546204,0.1846313774585724,0.2427329123020172
6,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.6717202067375183,0.3267240822315216,0.49922214448451996
7,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,3,3,0.24118748307228088,0.2814302444458008,0.26130886375904083
8,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.2777874767780304,0.48505908250808716,0.3814232796430588
9,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.4091118276119232,0.25161343812942505,0.33036263287067413
10,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.564045250415802,0.4337022006511688,0.4988737255334854
11,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.434469997882843,0.1682923138141632,0.3013811558485031
12,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.16438926756381989,0.16821126639842987,0.16630026698112488
13,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.4063461422920227,0.43603724241256714,0.4211916923522949
14,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,0,0,0,0.2642108201980591,0.37911173701286316,0.3216612786054611
15,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,0.3860936760902405,0.4565342366695404,0.42131395637989044
16,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,18,18,0.0290774405002594,0.15528005361557007,0.09217874705791473
17,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,-0.10005375742912292,0.3491470515727997,0.12454664707183838
18,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,0.14638517796993256,0.3199189007282257,0.23315203934907913
19,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,0.296145498752594,0.2902893126010895,0.29321740567684174
20,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,0.004222424700856209,0.19342182576656342,0.09882212523370981
21,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,0.5532194375991821,0.16638202965259552,0.3598007336258888
22,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,0.06575287133455276,0.3034171164035797,0.18458499386906624
23,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,0.09452047199010849,0.28283175826072693,0.1886761151254177
24,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,1,1,1,0.6592684388160706,0.2860080599784851,0.47263824939727783
25,vit_supervised,vit_small_patch16_224,token_gradient,predicted,blocks.2,2,2,2,0.3959314525127411,0.23657424747943878,0.31625284999608994
