sample_idx,mode,xai_method,gradcam_target,layer,true_label,pred_label,target_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,supervised,gradcam,predicted,backbone.layer1,3,3,3,-0.19152900576591492,0.25235334038734436,0.03041216731071472
1,supervised,gradcam,predicted,backbone.layer1,8,8,8,0.32161611318588257,0.10563202947378159,0.21362407132983208
2,supervised,gradcam,predicted,backbone.layer1,8,8,8,0.4554778039455414,0.18083339929580688,0.31815560162067413
3,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.18388640880584717,0.2357649803161621,0.02593928575515747
4,supervised,gradcam,predicted,backbone.layer1,6,6,6,0.10904429852962494,0.4521239995956421,0.2805841490626335
5,supervised,gradcam,predicted,backbone.layer1,6,6,6,0.33485108613967896,0.5371493101119995,0.43600019812583923
6,supervised,gradcam,predicted,backbone.layer1,1,1,1,0.3440856337547302,0.4884944558143616,0.4162900447845459
7,supervised,gradcam,predicted,backbone.layer1,6,6,6,0.25280651450157166,0.398904025554657,0.3258552700281143
8,supervised,gradcam,predicted,backbone.layer1,3,3,3,0.1211932972073555,0.40294981002807617,0.26207155361771584
9,supervised,gradcam,predicted,backbone.layer1,1,1,1,-0.012878184206783772,0.11418163031339645,0.05065172305330634
10,supervised,gradcam,predicted,backbone.layer1,0,0,0,-0.15034398436546326,0.3187294900417328,0.08419275283813477
11,supervised,gradcam,predicted,backbone.layer1,9,9,9,-0.15261438488960266,0.13857696950435638,-0.007018707692623138
12,supervised,gradcam,predicted,backbone.layer1,5,5,5,-0.008506996557116508,0.09532620012760162,0.04340960178524256
13,supervised,gradcam,predicted,backbone.layer1,7,7,7,0.03303758427500725,0.01027232687920332,0.021654955577105284
14,supervised,gradcam,predicted,backbone.layer1,9,9,9,0.0072286841459572315,0.07195030152797699,0.03958949283696711
15,supervised,gradcam,predicted,backbone.layer1,8,8,8,0.40864717960357666,0.4033515751361847,0.4059993773698807
16,supervised,gradcam,predicted,backbone.layer1,5,5,5,0.1161157414317131,0.195557102560997,0.15583642199635506
17,supervised,gradcam,predicted,backbone.layer1,7,7,7,-0.04804924875497818,0.012913310900330544,-0.017567968927323818
18,supervised,gradcam,predicted,backbone.layer1,8,8,8,-0.0896807536482811,0.10374782979488373,0.007033538073301315
19,supervised,gradcam,predicted,backbone.layer1,6,6,6,-0.12716330587863922,0.4352410137653351,0.15403885394334793
20,supervised,gradcam,predicted,backbone.layer1,7,7,7,-0.15672312676906586,0.08851765096187592,-0.03410273790359497
21,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.06242795288562775,0.3446756899356842,0.20355182141065598
22,supervised,gradcam,predicted,backbone.layer1,4,4,4,0.23800028860569,0.0610663928091526,0.1495333407074213
23,supervised,gradcam,predicted,backbone.layer1,9,9,9,-0.06553444266319275,0.05151762440800667,-0.0070084091275930405
24,supervised,gradcam,predicted,backbone.layer1,5,5,5,0.07392896711826324,0.17473600804805756,0.1243324875831604
25,supervised,gradcam,predicted,backbone.layer1,2,2,2,0.02834492363035679,0.47038859128952026,0.24936675745993853
26,supervised,gradcam,predicted,backbone.layer1,4,4,4,0.21865405142307281,0.12277716398239136,0.1707156077027321
27,supervised,gradcam,predicted,backbone.layer1,0,0,0,0.10589965432882309,0.18421347439289093,0.145056564360857
28,supervised,gradcam,predicted,backbone.layer1,9,9,9,-0.055050019174814224,0.10849381983280182,0.026721900328993797
29,supervised,gradcam,predicted,backbone.layer1,6,6,6,0.2938605844974518,0.5517910122871399,0.42282579839229584
30,supervised,gradcam,predicted,backbone.layer1,6,6,6,0.07189302146434784,0.5220925807952881,0.29699280112981796
31,supervised,gradcam,predicted,backbone.layer1,5,5,5,0.016979331150650978,0.009972627274692059,0.013475979212671518
32,supervised,gradcam,predicted,backbone.layer1,4,4,4,0.13205958902835846,0.27269768714904785,0.20237863808870316
33,supervised,gradcam,predicted,backbone.layer1,5,5,5,0.010834937915205956,0.311235249042511,0.16103509347885847
