experiment,dataset,architecture,method,checkpoint,checkpoint_exists,num_parameters,trainable_parameters,backbone_parameters,head_parameters,training_total_parameters,evaluated_total_parameters,num_layers,depth_numeric,input_size,patch_size_or_conv_stem,feature_dim,num_heads,num_classes,flops_optional,flops_method,count_source,count_error,config_path,notes
experiment-c10-r18-sup,CIFAR-10,resnet18_cifar,supervised,experiments/experiment-c10-r18-sup/checkpoints/resnet18_supervised_best.pt,True,11173962,11173962,11168832,5130,11173962,11173962,ResNet-18: 8 residual blocks / 4 stages,18,32,"CIFAR stem: 3x3 stride1, no maxpool",512,,10,not_computed,not_computed,analytical_resnet18_supervised,,experiments/experiment-c10-r18-sup/configs/original_cifar10_resnet18_supervised.yaml,num_parameters is evaluation-model total; backbone_parameters is best for architecture fairness; training_total_parameters includes LeJEPA projector/predictor.
experiment-c10-r18-lejepa-v5-sigreg-002,CIFAR-10,resnet18_cifar,LeJEPA,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/checkpoints/resnet18_lejepa_probe_best.pt,True,11173962,11173962,11168832,5130,11827776,11173962,ResNet-18: 8 residual blocks / 4 stages,18,32,"CIFAR stem: 3x3 stride1, no maxpool",512,,10,not_computed,not_computed,analytical_resnet18_lejepa,,experiments/experiment-c10-r18-lejepa-v5-sigreg-002/configs/original_cifar10_resnet18_lejepa_v5_sigreg_002.yaml,num_parameters is evaluation-model total; backbone_parameters is best for architecture fairness; training_total_parameters includes LeJEPA projector/predictor.
experiment-c10-vit-sup,CIFAR-10,vit_tiny_cifar,supervised,experiments/experiment-c10-vit-sup/checkpoints/vit_supervised_best.pt,True,2693578,2693578,2691648,1930,2693578,2693578,6 transformer blocks,6,32,patch4,192,3,10,not_computed,not_computed,analytical_vit_supervised,,experiments/experiment-c10-vit-sup/configs/original_cifar10_vit_supervised.yaml,num_parameters is evaluation-model total; backbone_parameters is best for architecture fairness; training_total_parameters includes LeJEPA projector/predictor.
experiment-c10-vit-lejepa-v4-short-lr1e4-sig005,CIFAR-10,vit_tiny_cifar,LeJEPA,experiments/experiment-c10-vit-lejepa-v4-short-lr1e4-sig005/checkpoints/vit_lejepa_probe_best.pt,True,2693578,2693578,2691648,1930,3186752,2693578,6 transformer blocks,6,32,patch4,192,3,10,not_computed,not_computed,analytical_vit_lejepa,,experiments/experiment-c10-vit-lejepa-v4-short-lr1e4-sig005/configs/original_cifar10_vit_lejepa_v4_short_lr1e4_sig005.yaml,num_parameters is evaluation-model total; backbone_parameters is best for architecture fairness; training_total_parameters includes LeJEPA projector/predictor.
experiment-imagenet100-r18-sup,ImageNet-100,resnet18_imagenet,supervised,experiments/experiment-imagenet100-r18-sup/checkpoints/imagenet100_resnet18_supervised_best.pt,True,11227812,11227812,11176512,51300,11227812,11227812,ResNet-18: 8 residual blocks / 4 stages,18,224,ImageNet stem: 7x7 stride2 + maxpool,512,,100,not_computed,not_computed,analytical_resnet18_supervised,,experiments/experiment-imagenet100-r18-sup/configs/original_imagenet100_resnet18_supervised_glsas.yaml,num_parameters is evaluation-model total; backbone_parameters is best for architecture fairness; training_total_parameters includes LeJEPA projector/predictor.
experiment-imagenet100-r18-lejepa,ImageNet-100,resnet18_imagenet,LeJEPA,experiments/experiment-imagenet100-r18-lejepa/checkpoints/imagenet100_resnet18_lejepa_probe_best.pt,True,11227812,11227812,11176512,51300,11835456,11227812,ResNet-18: 8 residual blocks / 4 stages,18,224,ImageNet stem: 7x7 stride2 + maxpool,512,,100,not_computed,not_computed,analytical_resnet18_lejepa,,experiments/experiment-imagenet100-r18-lejepa/configs/original_imagenet100_resnet18_lejepa_glsas.yaml,num_parameters is evaluation-model total; backbone_parameters is best for architecture fairness; training_total_parameters includes LeJEPA projector/predictor.
experiment-imagenet100-vit-sup,ImageNet-100,vit_small_patch16_224,supervised,experiments/experiment-imagenet100-vit-sup/checkpoints/imagenet100_vit_supervised_best.pt,True,21704164,21704164,21665664,38500,21704164,21704164,12 transformer blocks,12,224,patch16,384,6,100,not_computed,not_computed,analytical_vit_supervised,,experiments/experiment-imagenet100-vit-sup/configs/original_imagenet100_vit_supervised_glsas.yaml,num_parameters is evaluation-model total; backbone_parameters is best for architecture fairness; training_total_parameters includes LeJEPA projector/predictor.
experiment-imagenet100-vit-lejepa,ImageNet-100,vit_small_patch16_224,LeJEPA,experiments/experiment-imagenet100-vit-lejepa/checkpoints/imagenet100_vit_lejepa_probe_best.pt,True,21704164,21704164,21665664,38500,22259072,21704164,12 transformer blocks,12,224,patch16,384,6,100,not_computed,not_computed,analytical_vit_lejepa,,experiments/experiment-imagenet100-vit-lejepa/configs/original_imagenet100_vit_lejepa_glsas.yaml,num_parameters is evaluation-model total; backbone_parameters is best for architecture fairness; training_total_parameters includes LeJEPA projector/predictor.
experiment-imagenets50-r18-sup,ImageNet-S-50,resnet18_imagenet,supervised,experiments/experiment-imagenets50-r18-sup/checkpoints/imagenets50_resnet18_supervised_best.pt,True,11202162,11202162,11176512,25650,11202162,11202162,ResNet-18: 8 residual blocks / 4 stages,18,224,ImageNet stem: 7x7 stride2 + maxpool,512,,50,not_computed,not_computed,analytical_resnet18_supervised,,experiments/experiment-imagenets50-r18-sup/configs/original_imagenets50_resnet18_supervised_glsas.yaml,num_parameters is evaluation-model total; backbone_parameters is best for architecture fairness; training_total_parameters includes LeJEPA projector/predictor.
experiment-imagenets50-r18-lejepa,ImageNet-S-50,resnet18_imagenet,LeJEPA,experiments/experiment-imagenets50-r18-lejepa/checkpoints/imagenets50_resnet18_lejepa_probe_best.pt,True,11202162,11202162,11176512,25650,11835456,11202162,ResNet-18: 8 residual blocks / 4 stages,18,224,ImageNet stem: 7x7 stride2 + maxpool,512,,50,not_computed,not_computed,analytical_resnet18_lejepa,,experiments/experiment-imagenets50-r18-lejepa/configs/original_imagenets50_resnet18_lejepa_glsas.yaml,num_parameters is evaluation-model total; backbone_parameters is best for architecture fairness; training_total_parameters includes LeJEPA projector/predictor.
