sample_idx,mode,architecture,model_id,xai_method,layer,true_label,pred_label,target_label,has_classifier,corr_pca_xai,soft_iou_pca_xai,lsas
0,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.16423994302749634,0.14881689846515656,0.15652842074632645
1,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.8909075856208801,0.40691301226615906,0.6489102989435196
2,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.742550253868103,0.42086881399154663,0.5817095339298248
3,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.7687739133834839,0.2835782766342163,0.5261760950088501
4,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,-0.19604957103729248,0.2069791704416275,0.005464799702167511
5,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,-0.23240993916988373,0.23536214232444763,0.001476101577281952
6,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,-0.11116046458482742,0.17113135755062103,0.029985446482896805
7,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.8254905343055725,0.4901946485042572,0.6578425914049149
8,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.8771719336509705,0.34858909249305725,0.6128805130720139
9,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.5738261342048645,0.3645164370536804,0.46917128562927246
10,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.6905907392501831,0.39784175157546997,0.5442162454128265
11,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.8122581243515015,0.45272669196128845,0.632492408156395
12,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.8260787725448608,0.4569375514984131,0.641508162021637
13,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.3185800015926361,0.3340393304824829,0.3263096660375595
14,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.8615254759788513,0.523231565952301,0.6923785209655762
15,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.7246741056442261,0.37749817967414856,0.5510861426591873
16,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.8838294148445129,0.44037869572639465,0.6621040552854538
17,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.7935484051704407,0.4156995713710785,0.6046239882707596
18,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.6156546473503113,0.39123791456222534,0.5034462809562683
19,public_vit_lejepa_inference,hf_okai_lejepa_vitb16,/leonardo_scratch/large/userexternal/apromots/doubleN/cv/hf_models/okai_lejepa_vitb16,last_attention,patch_latent,0,-1,-1,False,0.0037613254971802235,0.16012252867221832,0.08194192708469927
